"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1113","Elk","Wasatch Mtns, West Heber","Antlerless","Any Legal Weapon","Female Only","29","21.0","8.0","38.1","7.7","3.1","2025","2026","harvest_2025.csv"
"EA1113","Elk","","","","","23","4.8","9.0","91.0","38.9","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1114","Elk","","","","","29","5.2","17.0","19.0","57.7","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1114","Elk","Wasatch Mtns, West Timpanogos","Antlerless","Any Legal Weapon","Female Only","24","19.0","9.0","47.4","4.7","2.9","2025","2026","harvest_2025.csv"
"EA1117","Elk","","","","","136","7.0","20.0","92.0","14.5","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1117","Elk","Zion","Antlerless","Any Legal Weapon","Female Only","214","164.0","26.0","15.9","9.0","2.6","2025","2026","harvest_2025.csv"
"EA1118","Elk","","","","","3","8.5","1.0","17.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1118","Elk","Alton","CWMU Antlerless","Any Legal Weapon","Female Only","6","5.0","1.0","20.0","7.2","2.0","2025","2026","harvest_2025.csv"
"EA1119","Elk","Bar J Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","20","20.0","15.0","75.0","2.4","4.4","2025","2026","harvest_2025.csv"
"EA1120","Elk","Bear Mountain","CWMU Antlerless","Any Legal Weapon","Female Only","21","19.0","9.0","47.4","3.0","3.6","2025","2026","harvest_2025.csv"
"EA1120","Elk","","","","","17","3.9","4.0","3.0","21.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1121","Elk","Boobe Hole","CWMU Antlerless","Any Legal Weapon","Female Only","10","10.0","7.0","70.0","1.5","4.4","2025","2026","harvest_2025.csv"
"EA1121","Elk","","","","","10","2.6","6.0","4.0","60.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1122","Elk","","","","","5","3.0","2.0","4.0","40.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1122","Elk","Causey Spring","CWMU Antlerless","Any Legal Weapon","Female Only","5","5.0","1.0","20.0","6.2","3.0","2025","2026","harvest_2025.csv"
"EA1124","Elk","","","","","12","2.1","3.0","3.0","25.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1124","Elk","Chimney Rock","CWMU Antlerless","Any Legal Weapon","Female Only","15","15.0","14.0","93.3","3.3","4.6","2025","2026","harvest_2025.csv"
"EA1125","Elk","Coldwater Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","25","25.0","25.0","100.0","1.3","4.9","2025","2026","harvest_2025.csv"
"EA1125","Elk","","","","","19","1.8","14.0","1.0","72.2","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1129","Elk","Deseret","CWMU Antlerless","Any Legal Weapon","Female Only","608","580.0","332.0","57.2","2.7","3.8","2025","2026","harvest_2025.csv"
"EA1130","Elk","","","","","6","5.0","1.0","17.0","20.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1130","Elk","Double Cone","CWMU Antlerless","Any Legal Weapon","Female Only","7","6.0","4.0","66.7","2.2","4.2","2025","2026","harvest_2025.csv"
"EA1131","Elk","","","","","29","1.7","22.0","6.0","75.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1131","Elk","Durst Mountain","CWMU Antlerless","Any Legal Weapon","Female Only","33","33.0","24.0","72.7","1.8","4.3","2025","2026","harvest_2025.csv"
"EA1132","Elk","","","","","59","4.3","24.0","6.0","40.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1132","Elk","East Fork Chalk Creek","CWMU Antlerless","Any Legal Weapon","Female Only","51","42.0","11.0","26.2","3.3","3.5","2025","2026","harvest_2025.csv"
"EA1134","Elk","Ensign Ranches","CWMU Antlerless","Any Legal Weapon","Female Only","91","87.0","57.0","65.5","2.0","4.0","2025","2026","harvest_2025.csv"
"EA1134","Elk","","","","","100","2.2","55.0","4.0","55.1","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1135","Elk","Folley Ridge","CWMU Antlerless","Any Legal Weapon","Female Only","20","19.0","12.0","63.2","1.7","4.3","2025","2026","harvest_2025.csv"
"EA1135","Elk","","","","","18","2.1","11.0","6.0","60.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1136","Elk","Grass Valley/Clark Canyon","CWMU Antlerless","Any Legal Weapon","Female Only","81","80.0","37.0","46.3","3.3","3.8","2025","2026","harvest_2025.csv"
"EA1137","Elk","Grazing Pasture","CWMU Antlerless","Any Legal Weapon","Female Only","15","15.0","13.0","86.7","2.6","4.9","2025","2026","harvest_2025.csv"
"EA1137","Elk","","","","","14","3.4","14.0","4.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
