hunt_code,species,hunt_name,active_2026,harvest_quality_index,demand_pressure_signal,demand_pressure_category,point_creep_quality_adjustment,harvest_success_recent,harvest_success_3yr_avg,harvest_success_delta_1yr,harvest_success_trend_direction,hunter_satisfaction_recent,hunter_satisfaction_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,average_age_recent,average_age_3yr_avg,percent_female_recent,percent_adult_male_recent,population_signal_recent,pursuit_pressure_recent,harvest_feature_source_years,harvest_feature_match_method,harvest_feature_data_quality_grade,harvest_feature_reason_codes
PB5002,Pronghorn,"Book Cliffs, South",YES,78.163,73.842,HIGH_DEMAND_SIGNAL,0.1,87.5,70.833,37.5,INCREASING,4.3,4.15,5.9,3.967,7,5.333,8,7.333,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
PB5027,Pronghorn,"Book Cliffs, South",YES,94.68,74.202,HIGH_DEMAND_SIGNAL,0.1,100,97.667,3.4,INCREASING,4.4,4.5,1.5,1.5,36,31,36,31.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
RS1001,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",YES,70.667,54.667,MODERATE_DEMAND_SIGNAL,0,100,100,0,FLAT,2,2,20,12.5,1,1,1,1,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
RS6701,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",YES,86.511,65.535,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4.2,4.6,8.3,8.533,6,5.667,6,5.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EA1266,Elk,"Box Elder, Hansel Mtn",YES,46.623,56.642,MODERATE_DEMAND_SIGNAL,0,52.6,30.067,33.8,INCREASING,3.1,3.1,11.3,8.633,10,5.333,19,18.333,,,30,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
EA2026,Elk,"Box Elder, Hansel Mtn",YES,48.566,65.181,HIGH_DEMAND_SIGNAL,0.1,38.9,24.1,22.2,INCREASING,3.4,3.4,6.1,6.9,28,16.667,72,66.667,,,39.286,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
RE1000,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",YES,83.111,68.063,HIGH_DEMAND_SIGNAL,0.1,80,80,0,FLAT,4,4,2,1.7,4,4,5,5,,,,,,,2022|2025,EXACT_HUNT_CODE_HISTORY,B,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
RS1003,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",YES,97.778,75.873,HIGH_DEMAND_SIGNAL,0.25,100,100,0,FLAT,5,5,2,1.5,1,1,1,1,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
RS6703,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",YES,89.2,63.976,MODERATE_DEMAND_SIGNAL,0,100,100,0,FLAT,4.6,4.65,7.8,4.867,5,5.667,5,5.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
RS6704,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",YES,97.222,73.752,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,5,4.75,2.5,2.333,4,5.333,4,5.333,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
RS6722,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",YES,59.137,33.123,LOW_DEMAND_SIGNAL,0,66.7,88.9,-33.3,DECREASING,4,4.5,14,10.9,2,2.667,3,3,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DA1031,Deer,"Oquirrh-Stansbury, Settlement Cyn",YES,64.077,75.33,HIGH_DEMAND_SIGNAL,0.25,73.3,43.833,56.3,INCREASING,3.5,3.35,4.7,9.533,11,10.667,15,12,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DA1033,Deer,"San Juan, Monticello",YES,73.7,85.506,HIGH_DEMAND_SIGNAL,0.25,80,61,77,INCREASING,4.6,2.95,1.8,3.267,4,2.333,5,2.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DA1042,Deer,"San Juan, Monticello",YES,79.978,70.931,HIGH_DEMAND_SIGNAL,0.1,100,59.667,96,INCREASING,4,5.85,1.7,3.233,4,2.667,4,2.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
PB5003,Pronghorn,"Box Elder, Promontory",YES,28.056,30.261,LOW_DEMAND_SIGNAL,0,0,0,0,FLAT,2,2.5,11.5,5.833,0,0,2,2.333,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
