hunt_code,hunt_name,species,sex_type,hunt_type,season,permits_2025_res,permits_2026_res,delta_res,permits_2025_nr,permits_2026_nr,delta_nr,permits_2025_total,permits_2026_total,delta_total,pct_change_total,change_status
DB1554,Southwest Desert,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,1,,,0,,,1,300,299,29900.0%,CHANGED
MB6258,Jacob's Creek CWMU,Moose,Bull,CWMU,Contact Operator for 2026 season dates,,1,,,0,,300,1,-299,-99.7%,CHANGED
EA1022,"Manti, North",Elk,Antlerless,General Season,Oct 04 2025 - Oct 16 2025,5,270,265,0,30,30,5,300,295,5900.0%,CHANGED
DB1783,Ogden,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,3,,,0,,,3,297,294,9800.0%,CHANGED
EA2027,Cache,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,7,,,0,,,7,300,293,4185.7%,CHANGED
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Summer,"May 25 - June 28, 2026",,5,,,0,,297,5,-292,-98.3%,CHANGED
EA1139,Hardscrabble CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,,10,,,0,,300,10,-290,-96.7%,CHANGED
EA1167,South Canyon CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,270,12,-258,30,0,-30,300,12,-288,-96.0%,CHANGED
EA2011,Manti,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,11,,,1,,,12,300,288,2400.0%,CHANGED
EB3124,Wasatch Mtns,Elk,Bull,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",,15,,,2,,300,17,-283,-94.3%,CHANGED
DB1608,Morgan-South Rich,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,36,,,4,,,40,320,280,700.0%,CHANGED
DB1582,Vernal/Bonanza,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,3,,,0,,,3,280,277,9233.3%,CHANGED
GO6818,"Wasatch Mtns, Box Elder Peak",Mountain Goat,Hunters Choice,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,,3,,,0,,280,3,-277,-98.9%,CHANGED
EA1129,Deseret CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,135,425,290,15,0,-15,150,425,275,183.3%,CHANGED
EB3552,Skull Crack CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,,1,,,0,,275,1,-274,-99.6%,CHANGED
EB3529,Circle E Ranch CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,247,2,-245,28,0,-28,275,2,-273,-99.3%,CHANGED
DB1799,Chalk Creek,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,,,,,20,292,272,1360.0%,CHANGED
PB5020,"West Desert, Rush Valley",Pronghorn,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,8,,,1,,280,9,-271,-96.8%,CHANGED
DB1572,Nine Mile,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,9,,,1,,,10,280,270,2700.0%,CHANGED
DB1269,North Promontory CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,243,1,-242,27,0,-27,270,1,-269,-99.6%,CHANGED
DB1583,Yellowstone,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,10,,,1,,,11,280,269,2445.5%,CHANGED
DB1794,"Wasatch Mtns, East",Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,2,,,0,,,2,271,269,13450.0%,CHANGED
EA1078,Fishlake/Thousand Lakes,Elk,Antlerless,General Season,Oct 04 2025 - Oct 16 2025,2,243,241,0,27,27,2,270,268,13400.0%,CHANGED
DB1523,Yellowstone,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,12,,,1,,,13,280,267,2053.8%,CHANGED
DB1512,Nine Mile,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,13,,,2,,,15,280,265,1766.7%,CHANGED
EB3137,West Desert Deep Creek,Elk,Bull,Limited Entry,Sept 01 2026 - Sept 30 2026,,13,,,2,,280,15,-265,-94.6%,CHANGED
DB1606,East Canyon,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,640,380,-260,-40.6%,CHANGED
EL3068,Diamond Mtn,Elk,Bull,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,280,21,-259,-92.5%,CHANGED
DB1593,Nine Mile,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,21,,,2,,,23,280,257,1117.4%,CHANGED
DB1596,Fishlake,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,,,,,,,3,260,257,8566.7%,CHANGED
EB3195,Diamond Mtn,Elk,Bull,Limited Entry,Nov 28 2026 - Dec 13 2026,,4,,,1,,260,5,-255,-98.1%,CHANGED
DB1790,"San Juan, Abajo Mtns",Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,7,,,1,,,8,261,253,3162.5%,CHANGED
BR7201,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Fall,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",,18,,,2,,271,20,-251,-92.6%,CHANGED
EA2016,Nebo,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,22,,,2,,,24,275,251,1045.8%,CHANGED
EA1113,"Wasatch Mtns, West Heber",Elk,Antlerless,General Season,Nov 15 2025 - Jan 31 2026,,27,,,3,,280,30,-250,-89.3%,CHANGED
BR7111,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Summer,"May 25 - June 28, 2026",,1,,,0,,250,1,-249,-99.6%,CHANGED
DB1206,Bear Mountain CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,225,1,-224,25,0,-25,250,1,-249,-99.6%,CHANGED
DB1623,Cedar/Stansbury,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,1,,,0,,,1,250,249,24900.0%,CHANGED
BR7212,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",,2,,,0,,250,2,-248,-99.2%,CHANGED
DB1624,Cedar/Stansbury,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,2,,,0,,,2,250,248,12400.0%,CHANGED
BR7316,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",,14,,,1,,261,15,-246,-94.3%,CHANGED
EA1208,Nebo,Elk,Antlerless,General Season,Nov 15 2025 - Jan 18 2026,27,247,220,3,28,25,30,275,245,816.7%,CHANGED
DB1519,Fishlake,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,,,,,,,16,260,244,1525.0%,CHANGED
DB1579,Fishlake,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,16,260,244,1525.0%,CHANGED
EA1164,SJ Ranch CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,,6,,,0,,250,6,-244,-97.6%,CHANGED
DB1782,North Slope,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,89,,,10,,,99,340,241,243.4%,CHANGED
DB1798,Zion,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,,,,,16,256,240,1500.0%,CHANGED
TK1006,Southeastern Area,Turkey,Bearded,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",10,,,1,,,11,250,239,2172.7%,CHANGED
DB1619,"West Desert, Swasey",Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,4,,,1,,,5,240,235,4700.0%,CHANGED
EA2033,Kamas,Elk,Antlerless,General Season,Aug 16 2025 - Sep 17 2025,13,225,212,2,25,23,15,250,235,1566.7%,CHANGED
DB1293,South Canyon CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,207,1,-206,23,0,-23,230,1,-229,-99.6%,CHANGED
EA1111,"Wasatch Mtns, Wallsburg",Elk,Antlerless,General Season,Nov 15 2025 - Dec 14 2025,,31,,,4,,260,35,-225,-86.5%,CHANGED
DB1541,Mt Dutton,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,16,240,224,1400.0%,CHANGED
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",,5,,,0,,228,5,-223,-97.8%,CHANGED
DB1510,Monroe,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,1,,,0,,,1,220,219,21900.0%,CHANGED
DB1570,Monroe,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,1,,,0,,,1,220,219,21900.0%,CHANGED
DB1786,Pine Valley,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,,,,,14,228,214,1528.6%,CHANGED
DB1349,Weber Florence Creek/Stillman Creek CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,198,9,-189,22,0,-22,220,9,-211,-95.9%,CHANGED
EA1021,Nebo,Elk,Antlerless,General Season,Oct 04 2025 - Oct 16 2025,18,207,189,2,23,21,20,230,210,1050.0%,CHANGED
DB1801,Morgan-South Rich,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,10,,,1,,,11,211,200,1818.2%,CHANGED
DB1291,Skull Valley South CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,180,1,-179,20,0,-20,200,1,-199,-99.5%,CHANGED
DB1306,Washakie CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,180,1,-179,20,0,-20,200,1,-199,-99.5%,CHANGED
EA1117,Zion,Elk,Antlerless,General Season,Nov 11 2025 - Jan 11 2026,,198,,,22,,21,220,199,947.6%,CHANGED
EA1268,"North Slope, Summit",Elk,Antlerless,General Season,Aug 16 2025 - Sep 17 2025,1,180,179,0,20,20,1,200,199,19900.0%,CHANGED
EA2026,"Box Elder, Hansel Mtn",Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,1,,,0,,,1,200,199,19900.0%,CHANGED
DB1232,Durst Mountain CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,180,2,-178,20,0,-20,200,2,-198,-99.0%,CHANGED
EA1269,Ogden (Excludes Hyrum),Elk,Antlerless,General Season,Dec 01 2025 - Dec 31 2025,2,180,178,0,20,20,2,200,198,9900.0%,CHANGED
EB3530,Jacob's Creek CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,,2,,,0,,200,2,-198,-99.0%,CHANGED
MB6208,East Fork Chalk Creek CWMU,Moose,Bull,CWMU,Contact Operator for 2026 season dates,180,2,-178,20,0,-20,200,2,-198,-99.0%,CHANGED
EA2037,Yellowstone,Elk,Antlerless,General Season,Aug 16 2025 - Sep 17 2025,3,180,177,0,20,20,3,200,197,6566.7%,CHANGED
DB1592,Kamas,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,3,,,1,,,4,200,196,4900.0%,CHANGED
PB5331,Mt Dutton/Paunsaugunt,Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,13,,,2,,211,15,-196,-92.9%,CHANGED
EA2034,"Nine Mile, Anthro",Elk,Antlerless,General Season,Aug 16 2025 - Sep 17 2025,4,180,176,1,20,19,5,200,195,3900.0%,CHANGED
EB3126,Manti,Elk,Bull,Limited Entry,Oct 03 2026 - Oct 15 2026,1,175,174,0,20,20,1,195,194,19400.0%,CHANGED
PD1047,Antelope Creek CWMU,Pronghorn,Doe,CWMU,Contact operator for 2025 season dates,,6,,,0,,200,6,-194,-97.0%,CHANGED
DB1508,Kamas,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,6,,,1,,,7,200,193,2757.1%,CHANGED
EA1177,Woodruff Creek South CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,180,8,-172,20,0,-20,200,8,-192,-96.0%,CHANGED
EL3199,Wasatch Mtns,Elk,Bull,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,200,14,-186,-93.0%,CHANGED
MB6009,Diamond Mtn/Vernal,Moose,Bull,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,,2,,,0,,186,2,-184,-98.9%,CHANGED
EA1120,Bear Mountain CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,180,20,-160,20,0,-20,200,20,-180,-90.0%,CHANGED
EA2003,East Canyon,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,,,,,,,320,500,180,56.3%,CHANGED
EA1038,"La Sal, La Sal Mtns",Elk,Antlerless,General Season,Oct 04 2025 - Oct 16 2025,20,180,160,2,20,18,22,200,178,809.1%,CHANGED
DB1038,Diamond Mtn,Deer,Buck,Limited Entry,Sept 23 2026 - Oct 01 2026,,22,,,2,,200,24,-176,-88.0%,CHANGED
EB3614,Tunnel Hollow CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,157,1,-156,18,0,-18,175,1,-174,-99.4%,CHANGED
DB1568,Kamas,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,24,,,3,,,27,200,173,640.7%,CHANGED
EA1089,Diamond Mtn,Elk,Antlerless,General Season,Nov 01 2025 - Nov 09 2025,,45,,,5,,220,50,-170,-77.3%,CHANGED
EA1131,Durst Mountain CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,180,30,-150,20,0,-20,200,30,-170,-85.0%,CHANGED
EA1236,East Canyon,Elk,Antlerless,General Season,Dec 01 2025 - Jan 11 2026,,135,,,15,,320,150,-170,-53.1%,CHANGED
EA1282,"Ogden, North",Elk,Antlerless,General Season,Dec 16 2025 - Jan 31 2026,27,180,153,3,20,17,30,200,170,566.7%,CHANGED
EA1237,"La Sal, La Sal Mtns-North",Elk,Antlerless,General Season,Nov 17 2025 - Dec 07 2025,9,157,148,1,18,17,10,175,165,1650.0%,CHANGED
EA1280,"La Sal, La Sal Mtns-North",Elk,Antlerless,General Season,Dec 08 2025 - Dec 31 2025,10,157,147,1,18,17,11,175,164,1490.9%,CHANGED
EA1106,"Wasatch Mtns, Avintaquin",Elk,Antlerless,General Season,Jan 03 2026 - Jan 18 2026,,180,,,20,,360,200,-160,-44.4%,CHANGED
EB3006,Manti,Elk,Bull,Limited Entry,Aug 15 2026 - Sept 15 2026,5,148,143,0,17,17,5,165,160,3200.0%,CHANGED
PB5052,"West Desert, Snake Valley",Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,95,,,11,,260,106,-154,-59.2%,CHANGED
EA1229,Morgan-South Rich,Elk,Antlerless,General Season,Dec 22 2025 - Jan 31 2026,7,144,137,1,16,15,8,160,152,1900.0%,CHANGED
DS6625,Mineral Mtns,Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,,4,,,0,,155,4,-151,-97.4%,CHANGED
EA1140,Heaston East CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,157,24,-133,18,0,-18,175,24,-151,-86.3%,CHANGED
EA1172,Three C CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,144,9,-135,16,0,-16,160,9,-151,-94.4%,CHANGED
DB1209,Blind Springs CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,135,1,-134,15,0,-15,150,1,-149,-99.3%,CHANGED
DB1305,Wallsburg CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,,1,,,0,,150,1,-149,-99.3%,CHANGED
DB1337,Little Pole Canyon CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,135,1,-134,15,0,-15,150,1,-149,-99.3%,CHANGED
EL3086,Fillmore Pahvant,Elk,Bull,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,137,,,15,,,152,3,-149,-98.0%,CHANGED
DB1248,Heaston East CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,135,2,-133,15,0,-15,150,2,-148,-98.7%,CHANGED
EA1166,Soldier Summit CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,147,16,-131,16,0,-16,163,16,-147,-90.2%,CHANGED
PB5300,Antelope Creek CWMU,Pronghorn,Buck,CWMU,Contact operator for 2026 season dates,,4,,,0,,150,4,-146,-97.3%,CHANGED
BR7320,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",130,4,-126,14,0,-14,144,4,-140,-97.2%,CHANGED
EA1175,Wallsburg CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,,10,,,0,,150,10,-140,-93.3%,CHANGED
EA2040,Kamas,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,9,,,1,,,10,150,140,1400.0%,CHANGED
EA1141,Hiawatha CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,135,12,-123,15,0,-15,150,12,-138,-92.0%,CHANGED
DB1800,East Canyon,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,,,,,320,186,-134,-41.9%,CHANGED
EA1225,"Book Cliffs, Bitter Creek/South",Elk,Antlerless,General Season,Nov 17 2025 - Dec 14 2025,,147,,,16,,292,163,-129,-44.2%,CHANGED
DB1292,Soldier Summit CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,117,2,-115,13,0,-13,130,2,-128,-98.5%,CHANGED
EA1224,"Book Cliffs, Bitter Creek/South",Elk,Antlerless,General Season,Oct 04 2025 - Oct 16 2025,,117,,,13,,256,130,-126,-49.2%,CHANGED
DB1250,Indian Creek CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,112,1,-111,13,0,-13,125,1,-124,-99.2%,CHANGED
EB3515,Double Cone CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,112,1,-111,13,0,-13,125,1,-124,-99.2%,CHANGED
DB1281,Rattlesnake Pass CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,112,2,-110,13,0,-13,125,2,-123,-98.4%,CHANGED
EA2039,"Fillmore, Pahvant",Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,26,,,3,,,29,150,121,417.2%,CHANGED
EA1035,"Kamas, Oakley",Elk,Antlerless,General Season,Nov 08 2025 - Dec 31 2025,4,112,108,1,13,12,5,125,120,2400.0%,CHANGED
EB3565,North Peaks CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,108,1,-107,12,0,-12,120,1,-119,-99.2%,CHANGED
EA1130,Double Cone CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,112,7,-105,13,0,-13,125,7,-118,-94.4%,CHANGED
EB3610,Sharp Mountain CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,108,2,-106,12,0,-12,120,2,-118,-98.3%,CHANGED
DB1615,"Beaver, West",Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,14,130,116,828.6%,CHANGED
EA1033,Kamas,Elk,Antlerless,General Season,Nov 08 2025 - Jan 18 2026,8,112,104,1,13,12,9,125,116,1288.9%,CHANGED
DA1049,"Vernal, Ashley Valley",Deer,Antlerless,General Season,Aug 16 2025 - Dec 12 2025,135,,,15,,,150,35,-115,-76.7%,CHANGED
EA1272,"East Canyon, East",Elk,Antlerless,General Season,Dec 01 2025 - Jan 31 2026,31,135,104,4,15,11,35,150,115,328.6%,CHANGED
DB1614,"Beaver, West",Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,,,,,,,16,130,114,712.5%,CHANGED
EA1039,"La Sal, La Sal Mtns",Elk,Antlerless,General Season,Nov 17 2025 - Dec 31 2025,34,135,101,4,15,11,38,150,112,294.7%,CHANGED
EB3039,Manti,Elk,Bull,Limited Entry,Nov 07 2026 - Nov 15 2026,3,102,99,0,11,11,3,113,110,3666.7%,CHANGED
DB1785,Panguitch Lake,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,,,,,3,112,109,3633.3%,CHANGED
LO1592,Kamas,Deer,Buck,General Season - Private Land Only,Oct 08 2025 - Oct 12 2025 - PRIVATE LAND ONLY,99,,,11,,,110,1,-109,-99.1%,CHANGED
EB3064,Fishlake/Thousand Lakes,Elk,Bull,Limited Entry,Oct 03 2026 - Oct 15 2026,2,99,97,0,11,11,2,110,108,5400.0%,CHANGED
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",,7,,,0,,112,7,-105,-93.8%,CHANGED
PB5049,Southwest Desert,Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,1,94,93,0,11,11,1,105,104,10400.0%,CHANGED
DB1264,Mountain Meadow CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,90,1,-89,10,0,-10,100,1,-99,-99.0%,CHANGED
DB1303,North Peaks CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,90,1,-89,10,0,-10,100,1,-99,-99.0%,CHANGED
DB1524,Southwest Desert,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,1,,,0,,,1,100,99,9900.0%,CHANGED
EA1058,"North Slope, Henry's Fork-Burnt Fork",Elk,Antlerless,General Season,Nov 08 2025 - Jan 31 2026,1,90,89,0,10,10,1,100,99,9900.0%,CHANGED
EA1101,Southwest Desert,Elk,Antlerless,General Season,Nov 20 2025 - Jan 11 2026,1,90,89,0,10,10,1,100,99,9900.0%,CHANGED
EA2015,Paunsaugunt,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,1,,,0,,,1,100,99,9900.0%,CHANGED
EB3554,South Canyon CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,90,1,-89,10,0,-10,100,1,-99,-99.0%,CHANGED
EB3613,Little Pole Canyon CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,90,1,-89,10,0,-10,100,1,-99,-99.0%,CHANGED
MB6265,Little Pole Canyon CWMU,Moose,Bull,CWMU,Contact Operator for 2026 season dates,90,1,-89,10,0,-10,100,1,-99,-99.0%,CHANGED
DB1222,Coldwater Ranch CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,90,2,-88,10,0,-10,100,2,-98,-98.0%,CHANGED
DB1289,Sharp Mountain CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,90,2,-88,10,0,-10,100,2,-98,-98.0%,CHANGED
DB1584,Southwest Desert,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,2,,,0,,,2,100,98,4900.0%,CHANGED
EA1024,"Manti, South",Elk,Antlerless,General Season,Nov 19 2025 - Jan 31 2026,,90,,,10,,2,100,98,4900.0%,CHANGED
EA1085,Vernal/Bonanza,Elk,Antlerless,General Season,Aug 16 2025 - Sep 17 2025,2,90,88,0,10,10,2,100,98,4900.0%,CHANGED
EA1198,Bear Springs CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,,2,,,0,,100,2,-98,-98.0%,CHANGED
EA2005,"North Slope, West Daggett",Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,2,,,0,,,2,100,98,4900.0%,CHANGED
EB3557,Strawberry Ridge CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,90,2,-88,10,0,-10,100,2,-98,-98.0%,CHANGED
EB3517,East Fork Chalk Creek CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,90,3,-87,10,0,-10,100,3,-97,-97.0%,CHANGED
EB3545,Cactus Ranch LLC CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,90,3,-87,10,0,-10,100,3,-97,-97.0%,CHANGED
EA1020,"Manti, Mohrland-Stump Flat",Elk,Antlerless,General Season,Nov 27 2025 - Jan 31 2026,,108,,,12,,25,120,95,380.0%,CHANGED
BR7118,Yellowstone,Black Bear,Either Sex,Limited Entry - Summer,"May 25 - June 28, 2026",89,5,-84,10,0,-10,99,5,-94,-94.9%,CHANGED
EA1243,"Vernal, Buckskin Hills-Jensen",Elk,Antlerless,General Season,Jan 01 2026 - Jan 31 2026,6,90,84,0,10,10,6,100,94,1566.7%,CHANGED
EB3018,Fishlake/Thousand Lakes,Elk,Bull,Limited Entry,Aug 15 2026 - Sept 15 2026,1,84,83,0,9,9,1,93,92,9200.0%,CHANGED
LO1631,Box Elder,Deer,Buck,General Season - Private Land Only,Oct 08 2025 - Oct 12 2025 - PRIVATE LAND ONLY,84,,,9,,,93,1,-92,-98.9%,CHANGED
EA1256,Little Pole Canyon CWMU,Elk,Antlerless,CWMU,Contact operator for 2025 season dates,90,9,-81,10,0,-10,100,9,-91,-91.0%,CHANGED
EB3174,Nebo/San Pitch Mtns,Elk,Bull,Limited Entry,Nov 28 2026 - Dec 13 2026,95,13,-82,11,2,-9,106,15,-91,-85.8%,CHANGED
EA1240,"Nine Mile, Range Creek",Elk,Antlerless,General Season,Nov 27 2025 - Jan 31 2026,,135,,,15,,240,150,-90,-37.5%,CHANGED
EA1265,"Wasatch Mtns, Tabby Mtn",Elk,Antlerless,General Season,Dec 20 2025 - Dec 30 2025,9,90,81,1,10,9,10,100,90,900.0%,CHANGED
DB1260,Middle Ridge CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,81,1,-80,9,0,-9,90,1,-89,-98.9%,CHANGED
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,Antlerless,General Season,Nov 27 2025 - Jan 31 2026,10,90,80,1,10,9,11,100,89,809.1%,CHANGED
EA1087,Bonanza/Vernal,Elk,Antlerless,General Season,Oct 04 2025 - Oct 17 2025,10,90,80,1,10,9,11,100,89,809.1%,CHANGED
EL3164,Book Cliffs Bitter Creek/East,Elk,Bull,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,94,,,11,,,105,16,-89,-84.8%,CHANGED
TK1022,Southern Region - Select areas only,Turkey,Either Sex,Fall Management,"Oct 1, 2025 - Jan 4, 2026",,,,,,,66,155,89,134.8%,CHANGED
