reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5078,Parker Mtn,25C,15,,15.0,12,,,,2.9,78.6,,5,12|15|15|2.9|78.6,,25C PB5078 Parker Mtn 12 15 15 2.9 78.6,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,12,15,15.0,2.9,78.6,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5062,Pine Valley,30,7,,7.0,4,,,,3.7,57.1,,5,4|7|7|3.7|57.1,,30 PB5062 Pine Valley 4 7 7 3.7 57.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,7,7.0,3.7,57.1,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5056,"San Rafael, North",12,21,,21.0,16,,,,3.0,76.2,,5,16|21|21|3.0|76.2,,"12 PB5056 San Rafael, North 16 21 21 3.0 76.2",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,16,21,21.0,3.0,76.2,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,,Pronghorn,PB5024,Southwest Desert,20,31,,31.0,26,,,,2.8,83.9,,5,26|31|31|2.8|83.9,,20 PB5024 Southwest Desert 26 31 31 2.8 83.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,26,31,31.0,2.8,83.9,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,,Pronghorn,PB5072,Vernal,9B,20,,20.0,13,,,,3.3,63.2,,5,13|20|20|3.3|63.2,,9B PB5072 Vernal 13 20 20 3.3 63.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,13,20,20.0,3.3,63.2,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5025,Beaver,22,42,,42.0,40,,,,2.2,95.2,,5,40|42|42|2.2|95.2,,22 PB5025 Beaver 40 42 42 2.2 95.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,40,42,42.0,2.2,95.2,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5026,"Book Cliffs, Bitter Creek",10,53,,50.0,45,,,,1.6,91.1,,5,45|53|50|1.6|91.1,,"10 PB5026 Book Cliffs, Bitter Creek 45 53 50 1.6 91.1",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,45,53,50.0,1.6,91.1,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5027,"Book Cliffs, South",10,31,,30.0,29,,,,1.4,96.6,,5,29|31|30|1.4|96.6,,"10 PB5027 Book Cliffs, South 29 31 30 1.4 96.6",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,29,31,30.0,1.4,96.6,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5028,"Box Elder, Promontory",1,16,,15.0,9,,,,2.3,57.1,,5,9|16|15|2.3|57.1,,"1 PB5028 Box Elder, Promontory 9 16 15 2.3 57.1",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,16,15.0,2.3,57.1,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5029,"Box Elder, Puddle Valley",1,18,,18.0,17,,,,1.8,94.1,,5,17|18|18|1.8|94.1,,"1 PB5029 Box Elder, Puddle Valley 17 18 18 1.8 94.1",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,17,18,18.0,1.8,94.1,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5030,"Box Elder, Snowville",1,39,,38.0,36,,,,2.2,94.7,,5,36|39|38|2.2|94.7,,"1 PB5030 Box Elder, Snowville 36 39 38 2.2 94.7",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,36,39,38.0,2.2,94.7,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5031,"Box Elder, West",1,40,,40.0,32,,,,3.0,80.0,,5,32|40|40|3.0|80.0,,"1 PB5031 Box Elder, West 32 40 40 3.0 80.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,32,40,40.0,3.0,80.0,,,,,,
