reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit_name,survey_n,lambs_per_100_ewes,rams_per_100_ewes,population_estimate,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2015,2016,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",124.0,42.0,65.0,207.0,2015 124 42 65 207,True,True,True
2016,2017,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",102.0,40.0,98.0,170.0,2018 102 40 98 170,True,True,True
2019,2020,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",98.0,37.0,63.0,163.0,2021 98 37 63 163,True,True,True
2022,2023,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, North",145.0,39.0,63.0,240.0,2024 145 39 63 240,True,True,True
2015,2016,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",216.0,32.0,65.0,360.0,2015 216 32 65 360,True,True,True
2016,2017,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",133.0,25.0,97.0,222.0,2018 133 25 97 222,True,True,True
2019,2020,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",138.0,31.0,103.0,230.0,2021 138 31 103 230,True,True,True
2022,2023,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, South",161.0,36.0,79.0,270.0,2024 161 36 79 270,True,True,True
2015,2016,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,498.0,30.0,41.0,830.0,2015 498 30 41 830,True,True,True
2016,2017,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,484.0,40.0,43.0,807.0,2018 484 40 43 807,True,True,True
2019,2020,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,277.0,49.0,27.0,462.0,2021 277 49 27 462,True,True,True
2022,2023,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,9,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Zion,358.0,40.0,42.0,600.0,2024 358 40 42 600,True,True,True
