reviewed_family,hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
BLACK_BEAR,Boulder/Kaiparowits,BR7012,455,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7012,455,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",20,2,22,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,24
BLACK_BEAR,Fishlake/Thousand Lakes,BR7013,175,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7013,175,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,25
BLACK_BEAR,San Juan,BR7014,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7014,710,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",35,3,38,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,26
BLACK_BEAR,Diamond Mtn/Vernal/Bonanza,BR7015,444,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7015,444,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,27
BLACK_BEAR,Wasatch Mtns West-Central,BR7016,845,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7016,845,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",36,4,40,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,28
BLACK_BEAR,Cache/Ogden,BR7017,92,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7017,92,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,29
BLACK_BEAR,Kamas/North Slope Summit,BR7018,251,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7018,251,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",5,0,5,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,30
BLACK_BEAR,Monroe,BR7020,629,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7020,629,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,31
BLACK_BEAR,Dolores Triangle,BR7021,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7021,108,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,32
BLACK_BEAR,La Sal Mtns,BR7022,617,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7022,617,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",40,3,43,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,33
BLACK_BEAR,Beaver,BR7100,628,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7100,628,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",9,1,10,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,34
BLACK_BEAR,Book Cliffs Bitter Creek/South,BR7101,449,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7101,449,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",14,1,15,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,35
BLACK_BEAR,Book Cliffs Little Creek Roadless,BR7102,12,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7102,12,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,36
BLACK_BEAR,Manti North,BR7104,52,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7104,52,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",17,1,18,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,37
BLACK_BEAR,Manti South/San Rafael North,BR7105,744,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7105,744,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,38
BLACK_BEAR,Nebo,BR7106,616,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7106,616,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",8,0,8,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,39
BLACK_BEAR,Mt Dutton,BR7109,630,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7109,630,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,40
BLACK_BEAR,Nine Mile,BR7110,615,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7110,615,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,41
BLACK_BEAR,North Slope Three Corners/West Daggett,BR7111,289,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7111,289,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,42
