hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
"San Rafael, North",EA1084,194,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1084,194,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,4,1,5,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,42
Vernal/Bonanza,EA1085,614,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1085,614,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,90,10,100,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,43
Bonanza/Vernal,EA1087,614,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1087,614,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 17 2025,90,10,100,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,44
Diamond Mtn,EA1089,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1089,206,Antlerless,Elk,Any Legal Weapon,General Season,Nov 01 2025 - Nov 09 2025,45,5,50,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,45
Diamond Mtn,EA1090,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1090,206,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Nov 23 2025,45,5,50,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,46
"Vernal, Mosby Mtn",EA1094,814,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1094,814,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 04 2026,90,10,100,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,47
Southwest Desert,EA1101,625,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1101,625,Antlerless,Elk,Any Legal Weapon,General Season,Nov 20 2025 - Jan 11 2026,90,10,100,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,48
"Wasatch Mtns, Avintaquin",EA1106,224,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1106,224,Antlerless,Elk,Any Legal Weapon,General Season,Jan 03 2026 - Jan 18 2026,180,20,200,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,49
"Wasatch Mtns, Salt Lake",EA1110,234,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1110,234,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,40,5,45,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,50
"Wasatch Mtns, Wallsburg",EA1111,238,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1111,238,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 14 2025,31,4,35,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,51
"Wasatch Mtns, Wallsburg",EA1112,238,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1112,238,Antlerless,Elk,Any Legal Weapon,General Season,Dec 20 2025 - Jan 31 2026,49,6,55,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,52
"Wasatch Mtns, West Heber",EA1113,240,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1113,240,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,27,3,30,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,53
"Wasatch Mtns, West Timpanogos",EA1114,480,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1114,480,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,22,3,25,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,54
Zion,EA1117,635,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1117,635,Antlerless,Elk,Any Legal Weapon,General Season,Nov 11 2025 - Jan 11 2026,198,22,220,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,55
Alton CWMU,EA1118,526,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1118,526,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,6,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,56
Bar J Ranch CWMU,EA1119,527,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1119,527,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,12,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,57
Bear Mountain CWMU,EA1120,582,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1120,582,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,58
Boobe Hole CWMU,EA1121,529,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1121,529,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,10,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,59
Causey Spring CWMU,EA1122,560,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1122,560,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,60
Chimney Rock CWMU,EA1124,732,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1124,732,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,12,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,61
Coldwater Ranch CWMU,EA1125,505,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1125,505,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,25,0,25,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,62
Deseret CWMU,EA1129,568,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1129,568,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,425,0,425,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,63
Double Cone CWMU,EA1130,516,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1130,516,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,7,0,7,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,64
Durst Mountain CWMU,EA1131,567,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1131,567,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,30,0,30,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,65
East Fork Chalk Creek CWMU,EA1132,520,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1132,520,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,30,0,30,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,66
Ensign Ranches CWMU,EA1134,522,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1134,522,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,60,0,60,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,67
Folley Ridge CWMU,EA1135,579,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1135,579,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,68
Grass Valley/Clark Canyon CWMU,EA1136,525,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1136,525,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,50,0,50,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,69
Grazing Pasture CWMU,EA1137,530,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1137,530,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,9,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,70
Guildersleeve CWMU,EA1138,573,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1138,573,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,71
Hardscrabble CWMU,EA1139,577,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1139,577,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,10,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,72
Heaston East CWMU,EA1140,555,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1140,555,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,24,0,24,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,73
Hiawatha CWMU,EA1141,550,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1141,550,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,12,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,74
Indian Head CWMU,EA1142,735,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1142,735,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,12,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,75
Circle E Ranch CWMU,EA1143,549,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1143,549,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,21,0,21,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,76
Johnson Mountain Ranch CWMU,EA1145,531,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1145,531,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,77
Jump Creek CWMU,EA1146,734,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1146,734,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,9,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,78
