historical_2024_code,historical_2025_code,current_2026_code,mapping_status,mapping_confidence,hunt_name_2024,hunt_name_2025,hunt_name_2026,hunt_type_2026,weapon_2026,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,source_2024_page,source_2025_page,numeric_comparison_2024_to_2025,numeric_comparison_2025_to_2026,review_note
,BR7237,BR7237,NEW_IN_2025_AND_CURRENT_2026,HIGH,,Monroe - Any Legal Weapon,Monroe,Limited Entry - Fall,Any Legal Weapon,,,,1,0,1,1,0,1,,77,LEFT_SOURCE_MISSING,MATCH,Code is absent from 2024 draw evidence but present in 2025 draw evidence and current 2026 permits.
,,BR7238,CURRENT_SPLIT_CHILD_NO_PRIOR_DRAW_ROW,HIGH,,,Dolores Triangle,Limited Entry - Fall,Any Legal Weapon,,,,,,,2,0,2,,,NO_SOURCE_ON_EITHER_SIDE,LEFT_SOURCE_MISSING,Dolores Triangle current row appears as a 2026 split/addition from the old La Sal family; keep as current-only evidence.
BR7208,BR7208,BR7239,HISTORICAL_CODE_RECODED_TO_CURRENT,HIGH,La Sal - Any Legal Weapon,La Sal - Any Legal Weapon,La Sal Mtns,Limited Entry - Fall,Any Legal Weapon,6,0,6,6,0,6,6,0,6,61,60,MATCH,MATCH,Old La Sal fall any-legal-weapon row now appears as La Sal Mtns fall.
BR7300,BR7300,BR7300,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/South",Limited Entry - Multiseason,Multiseason,3,0,3,9,1,10,9,1,10,78,78,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7301,BR7301,BR7301,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless",Limited Entry - Multiseason,Multiseason,2,0,2,5,0,5,5,0,5,79,79,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7303,BR7303,BR7303,EXACT_CODE_CURRENT,HIGH,Manti North - Any Legal Weapon,Manti North - Any Legal Weapon,"Manti, North",Limited Entry - Multiseason,Multiseason,10,1,11,13,1,14,13,1,14,80,80,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7304,BR7304,BR7304,EXACT_CODE_CURRENT,HIGH,Manti South/san Rafael North - Any Legal Weapon,Manti South/san Rafael North - Any Legal Weapon,"Manti, South/San Rafael, North",Limited Entry - Multiseason,Multiseason,12,1,13,18,2,20,18,2,20,81,81,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7305,BR7305,BR7305,EXACT_CODE_CURRENT,HIGH,Nebo - Any Legal Weapon,Nebo - Any Legal Weapon,Nebo,Limited Entry - Multiseason,Multiseason,3,0,3,5,0,5,5,0,5,82,82,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
,,BR7307,CURRENT_CODE_REUSED_FOR_CONSERVATION_PERMIT,HIGH,,,La Sal,Multiseason - Conservation,Multiseason,,,,,,,,,4,,,NO_SOURCE_ON_EITHER_SIDE,LEFT_SOURCE_MISSING,BR7307 was a 2025 La Sal limited-entry multiseason draw row; in 2026 it is the La Sal conservation package.
BR7308,BR7308,BR7308,EXACT_CODE_CURRENT,HIGH,"North Slope, Three Corners/west Daggett - Any Legal Weapon","North Slope, Three Corners/west Daggett - Any Legal Weapon","North Slope, Three Corners/West Daggett",Limited Entry - Multiseason,Multiseason,1,0,1,1,0,1,1,0,1,84,84,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7309,BR7309,BR7309,EXACT_CODE_CURRENT,HIGH,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/Zion,Limited Entry - Multiseason,Multiseason,4,0,4,4,0,4,4,0,4,85,85,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7310,BR7310,BR7310,EXACT_CODE_CURRENT,HIGH,Boulder/kaiparowits - Any Legal Weapon,Boulder/kaiparowits - Any Legal Weapon,Boulder/Kaiparowits,Limited Entry - Multiseason,Multiseason,9,1,10,10,1,11,10,1,11,86,86,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7311,BR7311,BR7311,EXACT_CODE_CURRENT,HIGH,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/Thousand Lakes,Limited Entry - Multiseason,Multiseason,2,0,2,3,0,3,3,0,3,87,87,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7312,BR7312,BR7312,EXACT_CODE_CURRENT,HIGH,San Juan - Any Legal Weapon,San Juan - Any Legal Weapon,San Juan,Limited Entry - Multiseason,Multiseason,9,1,10,11,1,12,11,1,12,88,88,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7313,BR7313,BR7313,EXACT_CODE_CURRENT,HIGH,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/Vernal/Bonanza,Limited Entry - Multiseason,Multiseason,7,0,7,5,0,5,5,0,5,89,89,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7314,BR7314,BR7314,EXACT_CODE_CURRENT,HIGH,Yellowstone - Any Legal Weapon,Yellowstone - Any Legal Weapon,Yellowstone,Limited Entry - Multiseason,Multiseason,2,0,2,3,0,3,3,0,3,90,90,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7315,BR7315,BR7315,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon","Wasatch Mtns, Avintaquin/Currant Creek",Limited Entry - Multiseason,Multiseason,5,0,5,3,0,3,3,0,3,91,91,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7316,BR7316,BR7316,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-Central",Limited Entry - Multiseason,Multiseason,13,1,14,14,1,15,14,1,15,92,92,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7317,BR7317,BR7317,EXACT_CODE_CURRENT,HIGH,Nine Mile - Any Legal Weapon,Nine Mile - Any Legal Weapon,Nine Mile,Limited Entry - Multiseason,Multiseason,7,0,7,9,0,9,9,1,10,93,93,DIFFERS,DIFFERS,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7318,BR7318,BR7318,EXACT_CODE_CURRENT,HIGH,Beaver - Any Legal Weapon,Beaver -Any Legal Weapon,Beaver,Limited Entry - Multiseason,Multiseason,2,0,2,1,0,1,1,0,1,94,94,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7320,BR7320,BR7320,EXACT_CODE_CURRENT,HIGH,Cache/ogden - Any Legal Weapon,Cache/ogden - Any Legal Weapon,Cache/Ogden,Limited Entry - Multiseason,Multiseason,1,0,1,4,0,4,4,0,4,95,95,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7321,BR7321,BR7321,EXACT_CODE_CURRENT,HIGH,"Kamas/north Slope, Summit - Any Legal Weapon","Kamas/north Slope, Summit - Any Legal Weapon","Kamas/North Slope, Summit",Limited Entry - Multiseason,Multiseason,4,0,4,5,0,5,5,0,5,96,96,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7322,BR7322,BR7322,EXACT_CODE_CURRENT,HIGH,Mt Dutton - Any Legal Weapon,Mt Dutton - Any Legal Weapon,Mt Dutton,Limited Entry - Multiseason,Multiseason,1,0,1,1,0,1,1,0,1,97,97,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7323,BR7323,BR7323,EXACT_CODE_CURRENT,HIGH,Paunsaugunt - Any Legal Weapon,Paunsaugunt - Any Legal Weapon,Paunsaugunt,Limited Entry - Multiseason,Multiseason,1,0,1,1,0,1,1,0,1,98,98,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
,,BR7324,CURRENT_CONSERVATION_NO_DRAW_SOURCE,HIGH,,,Chalk Creek/East Canyon/Morgan-South Rich,Conservation,Multiseason,,,,,,,,,,,,NO_SOURCE_ON_EITHER_SIDE,NO_SOURCE_ON_EITHER_SIDE,Current conservation row does not appear as a public draw-odds row; do not force a draw-results match.
,BR7325,BR7325,NEW_IN_2025_AND_CURRENT_2026,HIGH,,Chalk Creek/east Canyon/morgan-south Rich -Any Legal Weapon,Chalk Creek/East Canyon/Morgan-South Rich,Limited Entry - Multiseason,Multiseason,,,,1,0,1,1,0,1,,99,LEFT_SOURCE_MISSING,MATCH,Code is absent from 2024 draw evidence but present in 2025 draw evidence and current 2026 permits.
BR7307,BR7307,BR7326,HISTORICAL_CODE_RECODED_BECAUSE_CODE_REUSED,HIGH,La Sal - Any Legal Weapon,La Sal - Any Legal Weapon,La Sal Mtns,Limited Entry - Multiseason,Multiseason,9,1,10,13,1,14,13,1,14,83,83,DIFFERS,MATCH,Old La Sal limited-entry multiseason row moved; BR7307 is reused for conservation in 2026.
BR7019,,,RETIRED_AFTER_2024_NO_2025_OR_2026_MATCH,HIGH,Chalk Creek/east Canyon/morgan-south Rich - Any Legal Weapon,,,,,5,0,5,,,,,,,29,,RIGHT_SOURCE_MISSING,NO_SOURCE_ON_EITHER_SIDE,Present in 2024 draw evidence but absent from 2025 draw odds. BR7019 has no same-season current 2026 equivalent.
