current_hunt_code,database_match_status,database_boundary_id,database_species,database_hunt_name,database_sex_type,database_hunt_type,database_weapon,evidence_record_count,source_row_count,evidence_domains,source_datasets,reported_years,model_target_years,possible_fill_fields,review_statuses
BR1001,CURRENT_CODE_MATCH,5002,Black Bear,Black Bear Harvest Objective Units,Either Sex,Harvest Objective,Any Legal Weapon,16,82,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2025 | 2026,2026,,COMPARISON_EVIDENCE
BR1007,CURRENT_CODE_MATCH,5003,Black Bear,Black Bear Pursuit - Resident,Either Sex,Pursuit,Pursuit Only,14,79,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2025 | 2026,2026,,COMPARISON_EVIDENCE
BR1008,CURRENT_CODE_MATCH,7,Black Bear,Book Cliffs,Either Sex,Restricted Pursuit - Summer,Pursuit Only,29,214,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1009,CURRENT_CODE_MATCH,684,Black Bear,La Sal,Either Sex,Restricted Pursuit - Summer,Pursuit Only,29,247,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1010,CURRENT_CODE_MATCH,710,Black Bear,San Juan,Either Sex,Restricted Pursuit - Summer,Pursuit Only,26,223,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1011,CURRENT_CODE_MATCH,7,Black Bear,Book Cliffs,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,29,211,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,,COMPARISON_EVIDENCE
BR1012,CURRENT_CODE_MATCH,684,Black Bear,La Sal,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,29,241,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1013,CURRENT_CODE_MATCH,710,Black Bear,San Juan,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,26,217,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1015,CURRENT_CODE_MATCH,7,Black Bear,Book Cliffs,Either Sex,Restricted Pursuit - Spring,Pursuit Only,23,190,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1016,CURRENT_CODE_MATCH,710,Black Bear,San Juan,Either Sex,Restricted Pursuit - Spring,Pursuit Only,23,193,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2025 | 2026,2026,permits_2025_draw_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
