hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR7001,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,13,177,25,24,49,36,3,2,5,54,TRUE_BEAR_BONUS_DRAW
BR7003,Manti North,Manti North - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,14,125,9,8,17,13,1,1,2,19,TRUE_BEAR_BONUS_DRAW
BR7004,Manti South/san Rafael North,Manti South/san Rafael North - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,15,154,9,9,18,9,1,1,2,20,TRUE_BEAR_BONUS_DRAW
BR7005,Nebo,Nebo - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,16,102,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7007,"Fillmore, Pahvant","Fillmore, Pahvant - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,17,10,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7008,La Sal,La Sal - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,18,354,20,20,40,62,2,1,3,43,TRUE_BEAR_BONUS_DRAW
BR7009,Mt Dutton,Mt Dutton - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,19,16,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7010,Panguitch Lake/zion,Panguitch Lake/zion - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,20,60,5,4,9,0,0,0,0,9,TRUE_BEAR_BONUS_DRAW
BR7011,Paunsaugunt,Paunsaugunt - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,21,20,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7012,Boulder/kaiparowits,Boulder/kaiparowits - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,22,56,10,10,20,11,1,1,2,22,TRUE_BEAR_BONUS_DRAW
BR7013,Fishlake/thousand Lakes,Fishlake/thousand Lakes - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,23,59,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7014,San Juan,San Juan - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,24,165,18,17,35,40,2,1,3,38,TRUE_BEAR_BONUS_DRAW
