reported_hunt_year,model_target_year,hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,source_permits,hunters,harvest,percent_success,avg_days,satisfaction,source_file,source_sha256,source_page,source_row,canonical_match_status,validation_status,validation_notes,calculated_percent_success,percent_success_delta
2025,2026,DB1004,163,Paunsaugunt,Deer,Buck,Premium Limited Entry,,Any Legal Weapon,90,88,82,93.2,6.7,4.1,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,47,DATABASE_MATCHED,VALID,,93.182,0.018
2025,2026,DB1005,94,Henry Mtns,Deer,Buck,Premium Limited Entry,,Muzzleloader,10,10,9,90.0,5.6,4.3,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,48,DATABASE_MATCHED,VALID,,90.0,0.0
2025,2026,DB1006,163,Paunsaugunt,Deer,Buck,Premium Limited Entry,,Muzzleloader,30,30,21,70.0,5.7,3.9,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,49,DATABASE_MATCHED,VALID,,70.0,0.0
2025,2026,DB1007,94,Henry Mtns,Deer,Buck,Premium Limited Entry,,Multiseason,2,2,2,100.0,11.0,4.5,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,50,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1008,163,Paunsaugunt,Deer,Buck,Premium Limited Entry,,Multiseason,6,6,6,100.0,22.0,4.7,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,51,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1009,94,Henry Mtns (Management Buck Deer),Deer,Buck,Management Buck Deer,,Any Legal Weapon,11,11,11,100.0,2.2,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,52,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1010,163,Paunsaugunt,Deer,Buck,Management Buck Deer,,Any Legal Weapon,29,28,26,92.9,4.9,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,53,DATABASE_MATCHED,VALID,,92.857,0.043
2025,2026,DB1011,7,Book Cliffs,Deer,Buck,Limited Entry,,Archery,52,50,44,88.0,6.6,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,54,DATABASE_MATCHED,VALID,,88.0,0.0
2025,2026,DB1012,85,"Fillmore, Oak Creek LE",Deer,Buck,Limited Entry,,Archery,13,13,11,84.6,9.2,4.4,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,55,DATABASE_MATCHED,VALID,,84.615,0.015
2025,2026,DB1013,108,Dolores Triangle,Deer,Buck,Limited Entry,,Archery,4,4,2,50.0,7.5,3.3,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,56,DATABASE_MATCHED,VALID,,50.0,0.0
2025,2026,DB1014,185,"San Juan, Elk Ridge",Deer,Buck,Limited Entry,,Archery,17,17,17,100.0,5.3,3.7,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,57,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1015,206,Diamond Mtn,Deer,Buck,Limited Entry,,Archery,23,22,19,86.4,7.6,4.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,58,DATABASE_MATCHED,VALID,,86.364,0.036
2025,2026,DB1016,248,"West Desert, Vernon",Deer,Buck,Limited Entry,,Archery,51,51,29,56.9,8.8,4.1,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,59,DATABASE_MATCHED,VALID,,56.863,0.037
2025,2026,DB1017,714,"Book Cliffs, North",Deer,Buck,Limited Entry,,Any Legal Weapon,128,125,117,93.6,3.7,4.1,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,60,DATABASE_MATCHED,VALID,,93.6,0.0
2025,2026,DB1018,15,"Book Cliffs, South",Deer,Buck,Limited Entry,,Any Legal Weapon,31,31,31,100.0,3.7,4.5,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,61,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1019,85,"Fillmore, Oak Creek LE",Deer,Buck,Limited Entry,,Any Legal Weapon,40,40,38,95.0,4.4,3.9,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,2,DATABASE_MATCHED,VALID,,95.0,0.0
2025,2026,DB1020,108,Dolores Triangle,Deer,Buck,Limited Entry,,Any Legal Weapon,12,12,12,100.0,4.0,4.4,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,3,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1022,185,"San Juan, Elk Ridge",Deer,Buck,Limited Entry,,Any Legal Weapon,45,45,40,88.9,4.8,3.9,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,4,DATABASE_MATCHED,VALID,,88.889,0.011
2025,2026,DB1023,206,Diamond Mtn,Deer,Buck,Limited Entry,,Any Legal Weapon,64,64,62,96.9,3.4,4.1,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,5,DATABASE_MATCHED,VALID,,96.875,0.025
2025,2026,DB1024,248,"West Desert, Vernon",Deer,Buck,Limited Entry,,Any Legal Weapon,154,151,129,85.4,4.4,3.5,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,6,DATABASE_MATCHED,VALID,,85.43,0.03
2025,2026,DB1025,7,Book Cliffs,Deer,Buck,Limited Entry,,Muzzleloader,51,50,43,86.0,3.8,4.2,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,7,DATABASE_MATCHED,VALID,,86.0,0.0
2025,2026,DB1026,32,"Cache, Crawford Mtn",Deer,Buck,Limited Entry,,Muzzleloader,8,8,8,100.0,4.8,3.9,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,2,8,DATABASE_MATCHED,VALID,,100.0,0.0
