hunt_code,species,hunt_name,reported_hunt_year,model_target_year,permits,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,source_file,source_page,section_title,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
DB1011,Mule Deer,Book Cliffs Archery,2024,2025,42,41.0,34,,,,4.8,83.8,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1012,Mule Deer,"Fillmore, Oak Creek LE Archery",2024,2025,15,15.0,10,,,,8.5,69.2,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1013,Mule Deer,"La Sal, Dolores Triangle Archery",2024,2025,4,4.0,4,,,,5.8,100.0,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1014,Mule Deer,"San Juan, Elk Ridge Archery",2024,2025,15,15.0,11,,,,9.3,73.3,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1015,Mule Deer,Diamond Mtn Archery,2024,2025,29,27.0,25,,,,7.7,92.0,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1016,Mule Deer,"West Desert, Vernon Archery",2024,2025,45,45.0,25,,,,11.9,54.8,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1017,Mule Deer,"Book Cliffs, North Any legal weapon",2024,2025,101,100.0,91,,,,4.5,90.6,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1018,Mule Deer,"Book Cliffs, South Any legal weapon",2024,2025,26,26.0,22,,,,4.8,84.6,,2024 mule deer.pdf,16,number harvest afield hunted rate (%),,True,True,True
DB1019,Mule Deer,"Fillmore, Oak Creek LE Any legal weapon",2024,2025,35,35.0,33,,,,4.7,93.8,,2024 mule deer.pdf,16,,,True,True,True
DB1020,Mule Deer,"La Sal, Dolores Triangle Any legal weapon",2024,2025,11,11.0,10,,,,3.7,90.0,,2024 mule deer.pdf,16,,,True,True,True
DB1022,Mule Deer,"San Juan, Elk Ridge Any legal weapon",2024,2025,42,42.0,30,,,,5.3,70.7,,2024 mule deer.pdf,16,,,True,True,True
DB1023,Mule Deer,Diamond Mtn Any legal weapon,2024,2025,102,101.0,97,,,,3.1,95.8,,2024 mule deer.pdf,16,,,True,True,True
DB1024,Mule Deer,"West Desert, Vernon Any legal weapon",2024,2025,147,147.0,127,,,,4.2,86.6,,2024 mule deer.pdf,16,,,True,True,True
DB1025,Mule Deer,Book Cliffs Muzzleloader,2024,2025,44,44.0,32,,,,4.2,73.8,,2024 mule deer.pdf,16,,,True,True,True
DB1026,Mule Deer,"Cache, Crawford Mtn Muzzleloader",2024,2025,9,9.0,8,,,,4.9,87.5,,2024 mule deer.pdf,16,,,True,True,True
