record_no,reported_hunt_year,model_target_year,source_class,species,sheep_type,hunt_code,selected_hunt_code,possible_hunt_codes,matched_hunt_name,matched_species,matched_unit_name,unit_crosswalk_status,unit_crosswalk_confidence,unit_crosswalk_method,unit_crosswalk_notes,database_match_status,location_of_kill,days_hunted,wound,hunter_satisfaction,horn_length_left_raw,horn_length_left_decimal,horn_length_right_raw,horn_length_right_decimal,base_circumference_left_raw,base_circumference_left_decimal,base_circumference_right_raw,base_circumference_right_decimal,age_of_sheep_raw,age_of_sheep_decimal,source_file,source_file_sha256,source_page,source_row_id,extraction_method,data_quality_flags,recommended_use
30,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Cottonwood,2,,4,32,32.0,31.75,31.75,14,14.0,14,14.0,6.5,6.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,30,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
31,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Tibbets Canyon,1,,5,33.75,33.75,33.375,33.375,14.25,14.25,14.25,14.25,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,31,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
32,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Long canyon,10,,4,28.25,28.25,28,28.0,13,13.0,13,13.0,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,32,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
33,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Bull Canyon,16,,4,18 4/8,18.5,18 2/8,18.25,12 4/8,12.5,12,12.0,4,4.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,33,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
34,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Mineral Cyn.,5,,4,22,22.0,22,22.0,13.25,13.25,13.25,13.25,6.5,6.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,34,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
35,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,DS6606,DS6606,"DS6606 San Juan, Lockhart",Desert Bighorn Sheep,"San Juan, Lockhart",MATCHED,HIGH,normalized_location_keyword,Distinctive Lockhart desert bighorn hunt name/location.,NO_HUNT_CODE_IN_SOURCE,Lockhart Basin,7,,5,29.75,29.75,30.25,30.25,14.75,14.75,14.75,14.75,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,35,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_MATCHED,bighorn measurement history only; do not use as quota or p_draw input
36,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,DS6606,DS6606,"DS6606 San Juan, Lockhart",Desert Bighorn Sheep,"San Juan, Lockhart",MATCHED,HIGH,normalized_location_keyword,Distinctive Lockhart desert bighorn hunt name/location.,NO_HUNT_CODE_IN_SOURCE,North Lockhart Bsn.,7,,5,27.5,27.5,26.25,26.25,12,12.0,11.5,11.5,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,36,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_MATCHED,bighorn measurement history only; do not use as quota or p_draw input
37,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Windgate Mesa,5,,4,30.75,30.75,30.25,30.25,14.375,14.375,14.25,14.25,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,37,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
38,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Chocolate drop,14,,3,25,25.0,25,25.0,14,14.0,14,14.0,6.5,6.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,38,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
39,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Dirty devil river drainage (hite),13,,4,28,28.0,28,28.0,13.25,13.25,13.25,13.25,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,39,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
40,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Ocean Point,18,,5,30.125,30.125,29.625,29.625,13.875,13.875,13.875,13.875,9.5,9.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,40,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
41,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Poison Spring,8,,5,26.125,26.125,27,27.0,14.375,14.375,14.5,14.5,5.5,5.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,41,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
42,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Poison springs,11,,4,25.75,25.75,26,26.0,13.25,13.25,13,13.0,10.5,10.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,42,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
43,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Dirty Devil River,2,,5,27 3/8,27.375,28 4/8,28.5,14,14.0,14,14.0,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,43,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
44,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Sam's Mesa,1,,4,27,27.0,27.25,27.25,15,15.0,14.75,14.75,6.5,6.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,44,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
45,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,GIBEX,8,,5,29 4/8,29.5,31 4/8,31.5,12 6/8,12.75,13 4/8,13.5,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,45,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
46,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Larry’s canyon,16,,5,20.4,20.4,20.5,20.5,12,12.0,12,12.0,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,46,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
47,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Stair Cyn,1,,5,30,30.0,27.25,27.25,14.5,14.5,14.5,14.5,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,47,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
48,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Buckhorn Wash,1,,5,27 1/8,27.125,28,28.0,12 1/2,12.5,12 3/8,12.375,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,48,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
49,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Buckhorn Wash,7,,5,28,28.0,27,27.0,13.25,13.25,13.25,13.25,8,8.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,49,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
50,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Box Flat,7,,5,30.375,30.375,30.25,30.25,13.875,13.875,13.75,13.75,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,50,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
51,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Buckhorn Draw,3,,5,23,23.0,24,24.0,,,14.25,14.25,6.5,6.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,51,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
52,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Between Swaseys and Ghost Rock,7,,3,27,27.0,23,23.0,13.625,13.625,13.75,13.75,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,52,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
53,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Ghost rock/ Eagle Canyon,13,,5,28,28.0,29,29.0,14,14.0,14,14.0,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,53,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
54,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,john's hole,3,,5,12.625,12.625,12.75,12.75,26.25,26.25,25.25,25.25,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,54,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
55,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Chimney Canyon,14,,5,22.125,22.125,23.25,23.25,13.25,13.25,13,13.0,8,8.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,55,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
56,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,near Swasey's Cabin,22,,4,27.5,27.5,29.375,29.375,14.25,14.25,14.25,14.25,8,8.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,56,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
57,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Goblin Valley,2,,5,28 6/8,28.75,26,26.0,13,13.0,13,13.0,10,10.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,57,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
58,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Chute Canyon,10,,5,28.5,28.5,28.75,28.75,12.75,12.75,13,13.0,11.5,11.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,58,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
59,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Hidden Splinder,12,,3,28.25,28.25,27.25,27.25,14,14.0,13.69,13.69,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,59,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
60,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Straight wash,7,,5,31.5,31.5,31,31.0,14,14.0,14.25,14.25,9.5,9.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,60,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
61,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,North of east cedar mountain,8,,5,28,28.0,27.25,27.25,13.75,13.75,13.75,13.75,11,11.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,61,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
62,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6608|DS6624,"DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,"San Rafael, Dirty Devil",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.,NO_HUNT_CODE_IN_SOURCE,Moroni slopes,3,,5,26.25,26.25,27,27.0,12.5,12.5,12.5,12.5,10.5,10.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,62,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
63,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Merwin Canyon,2,,5,31 1/2,31.5,32 1/4,32.25,14 1/2,14.5,14 1/4,14.25,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,63,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
