hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,permits_2025_draw_res,permits_2025_draw_nr,permits_2025_draw_total,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_res,permits_2026_draw_nr,permits_2026_draw_total,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,dwr_huntplanner_source_url,dwr_huntplanner_source_retrieved_at,dwr_huntplanner_management_stats_available,dwr_huntplanner_season_date_text,dwr_huntplanner_permits_2026_res,dwr_huntplanner_permits_2026_nr,dwr_huntplanner_permits_2026_total,dwr_huntplanner_percent_harvest_success_previous_hunting_season,dwr_huntplanner_current_age_3yr_average,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate
PB5048,208,Vernal,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Limited Entry,Sept 12 2026 - Sept 20 2026,54,6,60,,59,7,66,449,540,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,59,7,66,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,54,6,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,54,6,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5048,2026-05-29T07:31:31.653Z,true,Sept 12 2026 - Sept 20 2026,54,6,60,82,4.2,2.0-3.0,425,360
PB5072,208,Vernal,Buck,Pronghorn,Muzzleloader,Limited Entry,Limited Entry,Sept 23 2026 - Oct 01 2026,18,2,20,,20,2,22,464,555,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,20,2,22,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5072,2026-05-29T07:31:31.653Z,true,Sept 23 2026 - Oct 01 2026,18,2,20,63.2,4.2,2.0-3.0,425,360
EA2038,222,Wasatch Mtns,Antlerless,Elk,Archery,General Season,Antlerless,Aug 15 2026 - Sept 04 2026,1080,120,1200,,,,,,,,,475,24,499,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,1080,120,1200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA2038,2026-05-29T07:31:31.653Z,true,Aug 16 2025 - Sep 05 2025,1080,120,1200,10.9,,,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3022,222,Wasatch Mtns,Bull,Elk,Archery,Limited Entry,Mature Bull,Aug 15 2026 - Sept 15 2026,130,15,145,,160,16,176,212,251,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,160,16,176,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,130,15,145,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,130,15,145,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3022,2026-05-29T07:31:31.653Z,true,Aug 15 2026 - Sept 15 2026,130,15,145,18.6,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3072,222,Wasatch Mtns,Bull,Elk,Early Any Legal Weapon,Limited Entry,Mature Bull,Sept 16 2026 - Sept 20 2026,54,6,60,,65,6,71,242,281,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,65,6,71,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,54,6,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,54,6,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3072,2026-05-29T07:31:31.653Z,true,Sept 16 2026 - Sept 20 2026,54,6,60,65,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3073,222,Wasatch Mtns,Bull,Elk,Late Any Legal Weapon,Limited Entry,Mature Bull,Nov 07 2026 - Nov 15 2026,89,10,99,,110,11,121,243,282,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,110,11,121,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,89,10,99,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,89,10,99,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3073,2026-05-29T07:31:31.653Z,true,Nov 07 2026 - Nov 15 2026,89,10,99,66.9,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3100,222,Wasatch Mtns,Bull,Elk,Muzzleloader,Limited Entry,Mature Bull,Sept 21 2026 - Oct 02 2026,78,9,87,,96,9,105,258,297,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,96,9,105,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,78,9,87,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,78,9,87,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3100,2026-05-29T07:31:31.653Z,true,Sept 21 2026 - Oct 02 2026,78,9,87,67.5,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3124,222,Wasatch Mtns,Bull,Elk,Multiseason,Limited Entry,Mature Bull,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",15,2,17,,19,2,21,273,312,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,19,2,21,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,15,2,17,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,15,2,17,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3124,2026-05-29T07:31:31.653Z,true,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",15,2,17,76.9,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3127,222,Wasatch Mtns,Bull,Elk,Mid Any Legal Weapon,Limited Entry,Mature Bull,Oct 03 2026 - Oct 15 2026,155,17,172,,190,21,211,275,314,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,190,21,211,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,155,17,172,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,155,17,172,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3127,2026-05-29T07:31:31.653Z,true,Oct 03 2026 - Oct 15 2026,155,17,172,53.9,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EB3199,222,Wasatch Mtns,Bull,Elk,Late Archery,Limited Entry,Mature Bull,Nov 28 2026 - Dec 13 2026,9,1,10,,8,1,9,338,377,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,8,1,9,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,9,1,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,9,1,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3199,2026-05-29T07:31:31.653Z,true,Nov 28 2026 - Dec 13 2026,9,1,10,20,5.3,5.5-6.0,"1800 (Avintaquin), 3200 (Currant Creek), 3400 (West)","3100 (Avintaquin), 4600 (Currant Creek), 3700 (West)"
EL3022,222,Wasatch Mtns,Bull,Elk,Archery,Limited Entry - Private Land Only,Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3022,2026-05-29T07:31:31.653Z,false,Aug 16 2025 - Sept 16 2025 - Private Land Only,0,0,0,,,,,
EL3072,222,Wasatch Mtns,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3072,2026-05-29T07:31:31.653Z,false,Sept 17 2025 - Sept 21 2025 - Private Land Only,0,0,0,,,,,
EL3073,222,Wasatch Mtns,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3073,2026-05-29T07:31:31.653Z,false,Nov 08 2025 - Nov 16 2025 - Private Land Only,0,0,0,,,,,
EL3100,222,Wasatch Mtns,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3100,2026-05-29T07:31:31.653Z,false,Sept 22 2025 - Oct 03 2025 - Private Land Only,0,0,0,,,,,
EL3127,222,Wasatch Mtns,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3127,2026-05-29T07:31:31.653Z,false,Oct 04 2025 - Oct 16 2025 - Private Land Only,0,0,0,,,,,
EL3199,222,Wasatch Mtns,Bull,Elk,Archery,Limited Entry - Private Land Only,Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3199,2026-05-29T07:31:31.653Z,false,Nov 29 2025 - Dec 14 2025 - Private Land Only,0,0,0,,,,,
EA1106,224,"Wasatch Mtns, Avintaquin",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Jan 02 2027 - Jan 17 2027,180,20,200,,,,,,,,,153,19,172,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,180,20,200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1106,2026-05-29T07:31:31.653Z,true,Jan 03 2026 - Jan 18 2026,180,20,200,21.4,,,1800,3100
EA1217,224,"Wasatch Mtns, Avintaquin",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Oct 03 2026 - Oct 15 2026,135,15,150,,,,,,,,,130,11,141,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,135,15,150,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1217,2026-05-29T07:31:31.653Z,true,Oct 04 2025 - Oct 16 2025,135,15,150,20.5,,,1800,3100
EA1276,225,"Wasatch Mtns, Box Elder Peak",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Oct 03 2026 - Oct 15 2026,40,5,45,,,,,,,,,34,3,37,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,40,5,45,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1276,2026-05-29T07:31:31.653Z,false,Oct 04 2025 - Oct 16 2025,40,5,45,,,,,
GO6818,225,"Wasatch Mtns, Box Elder Peak",Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,3,0,3,,3,0,3,582,459,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,3,0,3,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Mountain+Goat&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=GO6818,2026-05-29T07:31:31.653Z,true,Sept 05 2026 - Nov 25 2026,3,0,3,100,,,550 (Box Elder/Lone Peak/Timpanogos),48
EA2013,227,"Wasatch Mtns, Currant Creek",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Antlerless,Aug 01 2026 - Jan 31 2027,,,2000,,,,,,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,2000,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,PRIVATE_LANDS_ONLY_ANTLERLESS_ELK,,,2000,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA2013,2026-05-29T07:31:31.653Z,true,Aug 01 2025 - Jan 31 2026,0,0,2000,41.2,,,3200,4600
GO6819,231,"Wasatch Mtns, Lone Peak",Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,1,0,1,,1,0,1,583,460,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Mountain+Goat&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=GO6819,2026-05-29T07:31:31.653Z,true,Sept 05 2026 - Nov 25 2026,1,0,1,50,,,550 (Box Elder/Lone Peak/Timpanogos),15
GO6813,233,"Wasatch Mtns, Provo Peak",Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,5,0,5,,5,0,5,579,456,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,5,0,5,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Mountain+Goat&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=GO6813,2026-05-29T07:31:31.653Z,true,Sept 05 2026 - Nov 25 2026,5,0,5,75,,,125,64
EA1110,234,"Wasatch Mtns, Salt Lake",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Nov 14 2026 - Jan 31 2027,40,5,45,,,,,,,,,38,4,42,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,40,5,45,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1110,2026-05-29T07:31:31.653Z,true,Nov 15 2025 - Jan 31 2026,40,5,45,42.4,,,3400 (entire West unit),3700 (entire West unit)
EA1111,238,"Wasatch Mtns, Wallsburg",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Nov 14 2026 - Dec 13 2026,31,4,35,,,,,,,,,31,2,33,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,31,4,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1111,2026-05-29T07:31:31.653Z,true,Nov 15 2025 - Dec 14 2025,31,4,35,28,,,3400 (entire West unit),3700 (entire West unit)
EA1112,238,"Wasatch Mtns, Wallsburg",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Dec 19 2026 - Jan 31 2027,49,6,55,,,,,,,,,50,5,55,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,49,6,55,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1112,2026-05-29T07:31:31.653Z,true,Dec 20 2025 - Jan 31 2026,49,6,55,17.9,,,3400 (entire West unit),3700 (entire West unit)
EA1113,240,"Wasatch Mtns, West Heber",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Nov 14 2026 - Jan 31 2027,27,3,30,,,,,,,,,27,3,30,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,27,3,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1113,2026-05-29T07:31:31.653Z,true,Nov 15 2025 - Jan 31 2026,27,3,30,38.9,,,3400 (entire West unit),3700 (entire West unit)
EB3137,241,"West Desert, Deep Creek",Bull,Elk,September Archery,Limited Entry,Mature Bull,Sept 01 2026 - Sept 30 2026,13,2,15,,13,1,14,280,319,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,13,1,14,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,13,2,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,13,2,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3137,2026-05-29T07:31:31.653Z,true,Sept 01 2026 - Sept 30 2026,13,2,15,58.3,7.3,3.5-4.5,350 (entire West Desert unit),350 (entire West Desert unit)
EB3144,241,"West Desert, Deep Creek",Bull,Elk,HAMSS,Limited Entry,Mature Bull,Nov 07 2026 - Nov 30 2026,13,2,15,,13,1,14,284,323,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,13,1,14,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,13,2,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,13,2,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3144,2026-05-29T07:31:31.653Z,true,Nov 07 2026 - Nov 30 2026,13,2,15,75,7.3,3.5-4.5,350 (entire West Desert unit),350 (entire West Desert unit)
EL3137,241,West Desert Deep Creek,Bull,Elk,Archery,Limited Entry - Private Land Only,Private Land Only,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3137,2026-05-29T07:31:31.653Z,false,Sept 01 2025 - Sept 30 2025 - Private Land Only,0,0,0,,,,,
EL3144,241,West Desert Deep Creek,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,Private Land Only,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3144,2026-05-29T07:31:31.653Z,false,Nov 08 2025 - Nov 30 2025 - Private Land Only,0,0,0,,,,,
PB5019,244,"West Desert, Riverbed",Buck,Pronghorn,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,18,2,20,,16,2,18,425,516,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,16,2,18,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5019,2026-05-29T07:31:31.653Z,true,Aug 15 2026 - Sept 11 2026,18,2,20,100,3.9,2.0-3.0,1200,800
