hunt_code,reported_hunt_year,model_target_year,species,hunt_name,harvest_2021_sum,harvest_success_percent_2021_mean,harvest_average_days_2021_mean,harvest_hunters_afield_2021_sum,harvest_permits_2021_sum,source_row_count_2021,harvest_source_files_2021,harvest_quality_flags_2021
BR7112,2021,2022,Black Bear,Panguitch Lake/Zion,1.0,33.0,1.0,0.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7113,2021,2022,Black Bear,Paunsaugunt,3.0,100.0,3.0,1.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7114,2021,2022,Black Bear,"Plateau, Boulder/Kaiparowits",10.0,50.0,10.0,3.0,20,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7115,2021,2022,Black Bear,"Plateau, Fishlake/Thousand Lakes",3.0,75.0,3.0,1.0,4,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7116,2021,2022,Black Bear,San Juan,16.0,59.0,16.0,7.0,27,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7117,2021,2022,Black Bear,"South Slope, Bonanza/Diamond Mtn/Vernal",4.0,44.0,4.0,3.0,9,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7118,2021,2022,Black Bear,"South Slope, Yellowstone",3.0,50.0,3.0,2.0,6,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7119,2021,2022,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",5.0,100.0,5.0,1.0,5,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7120,2021,2022,Black Bear,"Wasatch Mtns, West-Central",17.0,71.0,17.0,6.0,24,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7121,2021,2022,Black Bear,Cache/Ogden,1.0,100.0,1.0,0.0,1,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7122,2021,2022,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,5.0,83.0,5.0,3.0,6,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7123,2021,2022,Black Bear,"Kamas/North Slope, Summit",4.0,50.0,4.0,3.0,8,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7200,2021,2022,Black Bear,Beaver,2.0,33.0,2.0,1.0,6,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7201,2021,2022,Black Bear,"Book Cliffs, Bitter Creek/South",2.0,13.0,2.0,2.0,15,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7203,2021,2022,Black Bear,"Central Mtns, Manti-North",5.0,45.0,5.0,0.0,11,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7204,2021,2022,Black Bear,"Central Mtns, Manti-South/San Rafael, North",12.0,86.0,12.0,6.0,14,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7205,2021,2022,Black Bear,"Central Mtns, Nebo",3.0,75.0,3.0,3.0,4,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7207,2021,2022,Black Bear,"Fillmore, Pahvant",0.0,0.0,0.0,0.0,1,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7208,2021,2022,Black Bear,La Sal,4.0,67.0,4.0,2.0,6,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7209,2021,2022,Black Bear,Monroe,0.0,0.0,0.0,0.0,1,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7210,2021,2022,Black Bear,Mt Dutton,1.0,50.0,1.0,1.0,2,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7211,2021,2022,Black Bear,Nine Mile,10.0,36.0,10.0,5.0,28,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7212,2021,2022,Black Bear,"North Slope, Three Corners/West Daggett",2.0,100.0,2.0,2.0,2,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
