container,member,source_kind,source_priority,raw_rows,normalized_rows,unique_hunt_codes,active_database_codes,reported_hunt_years,header_count
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_elk_age_supplement.zip,big_game_oil_hunt_number_harvest_supplement_2024.csv,zip_species_or_supplement,45,385,385,385,360,2024,23
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_quality_features_elk_age_2024_for_2025.csv,zip_quality,75,26,0,0,0,,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_results_2024_for_2025_all_long_enhanced.csv,zip_long,60,2913,2767,1039,949,2024,47
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,desert_bighorn_statewide_1967_2024.csv,zip_species_or_supplement,45,58,0,0,0,,16
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,desert_bighorn_hunt_harvest_2024.csv,zip_species_or_supplement,45,22,22,22,19,2024,20
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,desert_bighorn_ram_harvest_by_unit_2015_2024.csv,zip_species_or_supplement,45,170,0,0,0,,15
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,desert_bighorn_trend_count_by_unit_2015_2024.csv,zip_species_or_supplement,45,150,0,0,0,,16
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,mountain_goat_billy_harvest_by_unit_2015_2024.csv,zip_species_or_supplement,45,150,0,0,0,,14
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,mountain_goat_nanny_harvest_by_unit_2015_2024.csv,zip_species_or_supplement,45,150,0,0,0,,14
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,mountain_goat_hunt_harvest_2024.csv,zip_species_or_supplement,45,17,17,17,17,2024,21
