source_file,source_sha256,pdf_page,printed_page,line_number,hunt_code,guidebook_line_text,database_present,predictive_present,database_hunt_name,database_species,database_sex_type,database_hunt_type,database_weapon,permits_2026_res,permits_2026_nr,permits_2026_total,season
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,42,BR7221,"Wasatch Mtns, West-Central BR7221 18 2",true,true,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,18,2,20,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,45,BR7219,Yellowstone BR7219 4 0,true,true,Yellowstone,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,4,0,4,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,9,BR7225,"Book Cliffs, Little Creek Roadless BR7225 5 0 Sept. 1-Nov. 8",true,true,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Spot and Stalk,Any Legal Weapon,5,0,5,"Sept. 1 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,22,BR7318,Beaver BR7318 1 0 All open seasons,true,true,Beaver,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,1,0,1,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,23,BR7300,"Book Cliffs, Bitter Creek/South BR7300 9 1 All open seasons",true,true,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,9,1,10,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,24,BR7301,"Book Cliffs, Little Creek Roadless BR7301 5 0 All open seasons",true,true,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,5,0,5,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,25,BR7310,Boulder/Kaiparowits BR7310 10 1 All open seasons,true,true,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,10,1,11,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,26,BR7320,Cache/Ogden BR7320 4 0 All open seasons,true,true,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,4,0,4,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,28,BR7325,BR7325 1 0 All open seasons,true,true,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,1,0,1,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,30,BR7313,Diamond Mtn/Vernal/Bonanza BR7313 5 0 All open seasons,true,true,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,5,0,5,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,31,BR7311,Fishlake/Thousand Lakes BR7311 3 0 All open seasons,true,true,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,3,0,3,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,32,BR7321,"Kamas/North Slope, Summit BR7321 5 0 All open seasons",true,true,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,5,0,5,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,33,BR7326,La Sal Mtns BR7326 13 1 All open seasons,true,true,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,13,1,14,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,34,BR7303,"Manti, North BR7303 13 1 All open seasons",true,true,Manti North,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,13,1,14,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,77,77,35,BR7304,"Manti, South/San Rafael, North BR7304 18 2 All open seasons",true,true,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,18,2,20,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,8,BR7322,Mt Dutton BR7322 1 0 All open seasons,true,true,Mt Dutton,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,1,0,1,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,9,BR7305,Nebo BR7305 5 0 All open seasons,true,true,Nebo,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,5,0,5,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,10,BR7317,Nine Mile BR7317 9 1 All open seasons,true,true,Nine Mile,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,9,1,10,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,11,BR7308,"North Slope, Three Corners/West Daggett BR7308 1 0 All open seasons",true,true,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,1,0,1,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,12,BR7309,Panguitch Lake/Zion BR7309 4 0 All open seasons,true,true,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,4,0,4,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,13,BR7323,Paunsaugunt BR7323 1 0 All open seasons,true,true,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,1,0,1,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,14,BR7312,San Juan BR7312 11 1 All open seasons,true,true,San Juan,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,11,1,12,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,16,BR7315,BR7315 3 0 All open seasons,true,true,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,3,0,3,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,18,BR7316,"Wasatch Mtns, West-Central BR7316 14 1 All open seasons",true,true,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,14,1,15,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,19,BR7314,Yellowstone BR7314 3 0 All open seasons,true,true,Yellowstone,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,3,0,3,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,28,BR1015,Book Cliffs BR1015 See below 2 March 28-May 25,true,true,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,0,2,2,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,29,BR1017,La Sal BR1017 See below 2 March 28-May 25,true,true,La Sal,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,0,2,2,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,78,78,30,BR1016,San Juan BR1016 See below 2 March 28-May 25,true,true,San Juan,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,0,2,2,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,79,79,8,BR1008,Book Cliffs BR1008 26 2 July 5-July 16,true,true,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,26,2,28,"July 5 - 16, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,79,79,9,BR1009,La Sal BR1009 14 1 July 5-July 16,true,true,La Sal,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,14,1,15,"July 5 - 16, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,79,79,10,BR1010,San Juan BR1010 14 1 July 5-July 16,true,true,San Juan,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,14,1,15,"July 5 - 16, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,79,79,13,BR1011,Book Cliffs BR1011 26 2 July 18-July 31,true,true,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,26,2,28,"July 18 - July 31, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,79,79,14,BR1012,La Sal BR1012 14 1 July 18-July 31,true,true,La Sal,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,14,1,15,"July 18 - July 31, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,79,79,15,BR1013,San Juan BR1013 14 1 July 18-July 31,true,true,San Juan,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,14,1,15,"July 18 - July 31, 2026"
