hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line
DB1080,52,BUCK_DEER_HUNT_TABLES,Deer,Nebo,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Nebo DB1080 Oct. 28-Nov. 5
DB1081,52,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,La Sal Mtns DB1081 Oct. 28-Nov. 5
DB1083,52,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Panguitch Lake DB1083 Oct. 28-Nov. 5
DB1084,52,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Boulder/Kaiparowits DB1084 Oct. 28-Nov. 5
DB1085,52,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"San Juan, Abajo Mtns DB1085 Oct. 28-Nov. 5"
DB1086,52,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Vernal/Bonanza DB1086 Oct. 28-Nov. 5
DB1087,53,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Wasatch Mtns, West DB1087 Oct. 28-Nov. 5"
DB1090,53,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, Floy Canyon",Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,"Book Cliffs, Floy Canyon DB1090 Nov. 7-Nov. 30"
DB1091,53,BUCK_DEER_HUNT_TABLES,Deer,Kaiparowits HAMSS,Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,Kaiparowits HAMSS DB1091 Nov. 7-Nov. 30
DB1100,52,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Chalk Creek DB1100 Oct. 28-Nov. 5
DB1101,52,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,East Canyon DB1101 Oct. 28-Nov. 5
DB1103,52,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Morgan-South Rich DB1103 Oct. 28-Nov. 5
DB1105,53,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,East Canyon DB1105 Nov. 7-Nov. 30
DB1106,50,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Thousand Lakes DB1106 Aug. 15-Sept. 11
DB1107,51,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Thousand Lakes DB1107 Sept. 23-Oct. 1
DB1108,51,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Thousand Lakes DB1108 Oct. 17-Oct. 25
DB1109,53,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,All limited-entry seasons,All limited-entry seasons,,,Thousand Lakes DB1109 All limited-entry seasons
DB1110,52,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Beaver, East DB1110 Oct. 28-Nov. 5"
DB1111,52,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Beaver, West DB1111 Oct. 28-Nov. 5"
DB1112,53,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"West Desert, Swasey DB1112 Oct. 28-Nov. 5"
DB1113,52,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Oquirrh/Tintic DB1113 Oct. 28-Nov. 5
DB1114,52,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Cedar/Stansbury DB1114 Oct. 28-Nov. 5
DB1115,51,BUCK_DEER_HUNT_TABLES,Deer,Little Rockies,Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,Little Rockies DB1115 Nov. 7-Nov. 30
DB1116,53,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Mancos Mesa",Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,"San Juan, Mancos Mesa DB1116 Nov. 7-Nov. 30"
DB1119,51,BUCK_DEER_HUNT_TABLES,Deer,Moab Valley,Nov. 7-Nov. 22,Nov. 7-Nov. 22,,,Moab Valley DB1119 Nov. 7-Nov. 22
DB1120,51,BUCK_DEER_HUNT_TABLES,Deer,Castle Valley,Nov. 7-Nov. 22,Nov. 7-Nov. 22,,,Castle Valley DB1120 Nov. 7-Nov. 22
DB1121,50,BUCK_DEER_HUNT_TABLES,Deer,Antelope Island (any legal weapon) (new),Nov. 16-20,Nov. 16-20,,,Antelope Island (any legal weapon) (new) DB1121 Nov. 16-20
DB1200,69,CWMU_HUNT_TABLES,Deer,Alton,Kane 3,,Kane,3,Alton DB1200 Kane 3
DB1201,69,CWMU_HUNT_TABLES,Deer,Alton (management buck),Kane 1,,Kane,1,Alton (management buck) DB1201 Kane 1
DB1202,70,CWMU_HUNT_TABLES,Deer,Antelope Creek,Duchesne 1,,Duchesne,1,Antelope Creek DB1202 Duchesne 1
DB1203,70,CWMU_HUNT_TABLES,Deer,Avintaquin Canyon,Duchesne 1,,Duchesne,1,Avintaquin Canyon DB1203 Duchesne 1
DB1204,70,CWMU_HUNT_TABLES,Deer,Bally Watts,Morgan 1,,Morgan,1,Bally Watts DB1204 Morgan 1
DB1205,70,CWMU_HUNT_TABLES,Deer,Bar J Ranch,Sevier 1,,Sevier,1,Bar J Ranch DB1205 Sevier 1
DB1206,70,CWMU_HUNT_TABLES,Deer,Bear Mountain,Sanpete 1,,Sanpete,1,Bear Mountain DB1206 Sanpete 1
DB1207,70,CWMU_HUNT_TABLES,Deer,Bear Springs,Weber 1,,Weber,1,Bear Springs DB1207 Weber 1
DB1208,70,CWMU_HUNT_TABLES,Deer,Blackhawk,Carbon 2,,Carbon,2,Blackhawk DB1208 Carbon 2
DB1209,70,CWMU_HUNT_TABLES,Deer,Blind Springs,Box Elder 1,,Box Elder,1,Blind Springs DB1209 Box Elder 1
DB1211,70,CWMU_HUNT_TABLES,Deer,Blue Spring Hills,Box Elder 1,,Box Elder,1,Blue Spring Hills DB1211 Box Elder 1
DB1212,70,CWMU_HUNT_TABLES,Deer,Bluebell,Cache 1,,Cache,1,Bluebell DB1212 Cache 1
DB1213,70,CWMU_HUNT_TABLES,Deer,Boobe Hole,Sevier 2,,Sevier,2,Boobe Hole DB1213 Sevier 2
DB1215,70,CWMU_HUNT_TABLES,Deer,Buckhorn Ranch,Duchesne/Wasatch 1,,Duchesne/Wasatch,1,Buckhorn Ranch DB1215 Duchesne/Wasatch 1
DB1216,70,CWMU_HUNT_TABLES,Deer,Castle Valley Outdoors,Emery 1,,Emery,1,Castle Valley Outdoors DB1216 Emery 1
DB1217,70,CWMU_HUNT_TABLES,Deer,Causey Spring,Weber 1,,Weber,1,Causey Spring DB1217 Weber 1
DB1219,70,CWMU_HUNT_TABLES,Deer,Chimney Rock,Morgan/Summit 2,,Morgan/Summit,2,Chimney Rock DB1219 Morgan/Summit 2
DB1222,70,CWMU_HUNT_TABLES,Deer,Coldwater Ranch,Cache 2,,Cache,2,Coldwater Ranch DB1222 Cache 2
DB1224,70,CWMU_HUNT_TABLES,Deer,Cotton Thomas,Box Elder 1,,Box Elder,1,Cotton Thomas DB1224 Box Elder 1
DB1227,70,CWMU_HUNT_TABLES,Deer,Deer Haven,San Juan 2,,San Juan,2,Deer Haven DB1227 San Juan 2
DB1228,70,CWMU_HUNT_TABLES,Deer,Deseret,Morgan/Rich/Weber 13,,Morgan/Rich/Weber,13,Deseret DB1228 Morgan/Rich/Weber 13
DB1229,70,CWMU_HUNT_TABLES,Deer,Dilly Ranch,Box Elder 1,,Box Elder,1,Dilly Ranch DB1229 Box Elder 1
DB1230,70,CWMU_HUNT_TABLES,Deer,Double R Ranch,Wasatch 2,,Wasatch,2,Double R Ranch DB1230 Wasatch 2
DB1231,70,CWMU_HUNT_TABLES,Deer,Dove Creek,Box Elder 2,,Box Elder,2,Dove Creek DB1231 Box Elder 2
DB1232,71,CWMU_HUNT_TABLES,Deer,Durst Mountain,Morgan 2,,Morgan,2,Durst Mountain DB1232 Morgan 2
DB1233,71,CWMU_HUNT_TABLES,Deer,East Fork Chalk Creek,Summit 4,,Summit,4,East Fork Chalk Creek DB1233 Summit 4
DB1234,71,CWMU_HUNT_TABLES,Deer,East Zion,Kane 1,,Kane,1,East Zion DB1234 Kane 1
DB1236,71,CWMU_HUNT_TABLES,Deer,Engineer Springs,Box Elder 1,,Box Elder,1,Engineer Springs DB1236 Box Elder 1
DB1237,71,CWMU_HUNT_TABLES,Deer,Ensign Ranches,Morgan/Rich/Summit 3,,Morgan/Rich/Summit,3,Ensign Ranches DB1237 Morgan/Rich/Summit 3
DB1238,71,CWMU_HUNT_TABLES,Deer,Folley Ridge,Morgan 3,,Morgan,3,Folley Ridge DB1238 Morgan 3
DB1239,71,CWMU_HUNT_TABLES,Deer,Fort Ranch,Box Elder 1,,Box Elder,1,Fort Ranch DB1239 Box Elder 1
DB1240,71,CWMU_HUNT_TABLES,Deer,George Creek,Box Elder 1,,Box Elder,1,George Creek DB1240 Box Elder 1
DB1241,71,CWMU_HUNT_TABLES,Deer,Golden Spike,Box Elder 1,,Box Elder,1,Golden Spike DB1241 Box Elder 1
DB1242,71,CWMU_HUNT_TABLES,Deer,Grass Valley/Clark Canyon,Summit 14,,Summit,14,Grass Valley/Clark Canyon DB1242 Summit 14
DB1243,71,CWMU_HUNT_TABLES,Deer,Grazing Pasture,Sevier 1,,Sevier,1,Grazing Pasture DB1243 Sevier 1
DB1244,71,CWMU_HUNT_TABLES,Deer,Green Canyon,Cache 1,,Cache,1,Green Canyon DB1244 Cache 1
DB1245,71,CWMU_HUNT_TABLES,Deer,Guildersleeve,Morgan 1,,Morgan,1,Guildersleeve DB1245 Morgan 1
DB1246,71,CWMU_HUNT_TABLES,Deer,Hardscrabble,Davis/Morgan/Salt Lake 2,,Davis/Morgan/Salt Lake,2,Hardscrabble DB1246 Davis/Morgan/Salt Lake 2
DB1248,71,CWMU_HUNT_TABLES,Deer,Heaston East,Salt Lake 2,,Salt Lake,2,Heaston East DB1248 Salt Lake 2
DB1249,71,CWMU_HUNT_TABLES,Deer,Hiawatha,Carbon 1,,Carbon,1,Hiawatha DB1249 Carbon 1
DB1250,71,CWMU_HUNT_TABLES,Deer,Indian Creek,Box Elder 1,,Box Elder,1,Indian Creek DB1250 Box Elder 1
DB1251,71,CWMU_HUNT_TABLES,Deer,Indian Head,Carbon/Duchesne/Utah 2,,Carbon/Duchesne/Utah,2,Indian Head DB1251 Carbon/Duchesne/Utah 2
DB1252,71,CWMU_HUNT_TABLES,Deer,Ingham Peak,Box Elder 3,,Box Elder,3,Ingham Peak DB1252 Box Elder 3
DB1253,70,CWMU_HUNT_TABLES,Deer,Circle E Ranch,Grand 1,,Grand,1,Circle E Ranch DB1253 Grand 1
DB1255,71,CWMU_HUNT_TABLES,Deer,Johnson Mountain Ranch,Sevier 1,,Sevier,1,Johnson Mountain Ranch DB1255 Sevier 1
DB1256,71,CWMU_HUNT_TABLES,Deer,Junction Valley,Box Elder 5,,Box Elder,5,Junction Valley DB1256 Box Elder 5
DB1258,71,CWMU_HUNT_TABLES,Deer,Little Red Creek,Wasatch 1,,Wasatch,1,Little Red Creek DB1258 Wasatch 1
DB1259,73,CWMU_HUNT_TABLES,Deer,Tunnel Hollow,Morgan/Summit 1,,Morgan/Summit,1,Tunnel Hollow DB1259 Morgan/Summit 1
DB1260,71,CWMU_HUNT_TABLES,Deer,Middle Ridge,Rich 1,,Rich,1,Middle Ridge DB1260 Rich 1
DB1261,72,CWMU_HUNT_TABLES,Deer,Minnie Maud Ridge,Carbon/Duchesne 5,,Carbon/Duchesne,5,Minnie Maud Ridge DB1261 Carbon/Duchesne 5
DB1263,72,CWMU_HUNT_TABLES,Deer,Moon Ranch,Duchesne 1,,Duchesne,1,Moon Ranch DB1263 Duchesne 1
