unit,hunt_name,hunt_code,hunt_number,boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,member_boundary_ids,merged_boundary_id
,Yellowstone,DB1792,DB1792,613,single_kmz,mapped,processed_data/boundaries/DB1792.geojson,,
,Southwest Desert,DB1793,DB1793,625,single_kmz,mapped,processed_data/boundaries/DB1793.geojson,,
,"Wasatch Mtns, East",DB1794,DB1794,621,single_kmz,mapped,processed_data/boundaries/DB1794.geojson,,
,"Wasatch Mtns, West",DB1795,DB1795,620,single_kmz,mapped,processed_data/boundaries/DB1795.geojson,,
,Zion,DB1798,DB1798,635,single_kmz,mapped,processed_data/boundaries/DB1798.geojson,,
,Chalk Creek,DB1799,DB1799,69,single_kmz,mapped,processed_data/boundaries/DB1799.geojson,,
,East Canyon,DB1800,DB1800,276,single_kmz,mapped,processed_data/boundaries/DB1800.geojson,,
,Morgan-South Rich,DB1801,DB1801,117,single_kmz,mapped,processed_data/boundaries/DB1801.geojson,,
,"Beaver, East",DB1802,DB1802,685,single_kmz,mapped,processed_data/boundaries/DB1802.geojson,,
,"Beaver, West",DB1803,DB1803,672,single_kmz,mapped,processed_data/boundaries/DB1803.geojson,,
,Cedar/Stansbury,DB1804,DB1804,925,single_kmz,mapped,processed_data/boundaries/DB1804.geojson,,
,Oquirrh/Tintic,DB1805,DB1805,927,single_kmz,mapped,processed_data/boundaries/DB1805.geojson,,
,"West Desert, Swasey",DB1806,DB1806,926,single_kmz,mapped,processed_data/boundaries/DB1806.geojson,,
,Box Elder,DB1561,DB1561,607,single_kmz,mapped,processed_data/boundaries/DB1561.geojson,,
,Manti/San Rafael,DB1563,DB1563,619,single_kmz,mapped,processed_data/boundaries/DB1563.geojson,,
,Nebo,DB1564,DB1564,616,single_kmz,mapped,processed_data/boundaries/DB1564.geojson,,
,Fillmore,DB1566,DB1566,804,single_kmz,mapped,processed_data/boundaries/DB1566.geojson,,
,Kamas,DB1568,DB1568,611,single_kmz,mapped,processed_data/boundaries/DB1568.geojson,,
,La Sal Mtns,DB1569,DB1569,617,single_kmz,mapped,processed_data/boundaries/DB1569.geojson,,
,Monroe,DB1570,DB1570,629,single_kmz,mapped,processed_data/boundaries/DB1570.geojson,,
,Mt Dutton,DB1571,DB1571,630,single_kmz,mapped,processed_data/boundaries/DB1571.geojson,,
,Nine Mile,DB1572,DB1572,615,single_kmz,mapped,processed_data/boundaries/DB1572.geojson,,
,North Slope,DB1573,DB1573,612,single_kmz,mapped,processed_data/boundaries/DB1573.geojson,,
,Ogden,DB1574,DB1574,609,single_kmz,mapped,processed_data/boundaries/DB1574.geojson,,
,Panguitch Lake,DB1576,DB1576,634,single_kmz,mapped,processed_data/boundaries/DB1576.geojson,,
,Pine Valley,DB1577,DB1577,636,single_kmz,mapped,processed_data/boundaries/DB1577.geojson,,
,Fishlake,DB1579,DB1579,633,single_kmz,mapped,processed_data/boundaries/DB1579.geojson,,
,"San Juan, Abajo Mtns",DB1581,DB1581,618,single_kmz,mapped,processed_data/boundaries/DB1581.geojson,,
,Vernal/Bonanza,DB1582,DB1582,614,single_kmz,mapped,processed_data/boundaries/DB1582.geojson,,
,Yellowstone,DB1583,DB1583,613,single_kmz,mapped,processed_data/boundaries/DB1583.geojson,,
,Southwest Desert,DB1584,DB1584,625,single_kmz,mapped,processed_data/boundaries/DB1584.geojson,,
,"Wasatch Mtns, East",DB1585,DB1585,621,single_kmz,mapped,processed_data/boundaries/DB1585.geojson,,
,"Wasatch Mtns, West",DB1586,DB1586,620,single_kmz,mapped,processed_data/boundaries/DB1586.geojson,,
,Zion,DB1589,DB1589,635,single_kmz,mapped,processed_data/boundaries/DB1589.geojson,,
,Chalk Creek,DB1602,DB1602,69,single_kmz,mapped,processed_data/boundaries/DB1602.geojson,,
,East Canyon,DB1606,DB1606,276,single_kmz,mapped,processed_data/boundaries/DB1606.geojson,,
,Morgan-South Rich,DB1610,DB1610,117,single_kmz,mapped,processed_data/boundaries/DB1610.geojson,,
,"Beaver, East",DB1612,DB1612,685,single_kmz,mapped,processed_data/boundaries/DB1612.geojson,,
,"Beaver, West",DB1615,DB1615,672,single_kmz,mapped,processed_data/boundaries/DB1615.geojson,,
,"West Desert, Swasey",DB1618,DB1618,926,single_kmz,mapped,processed_data/boundaries/DB1618.geojson,,
,Oquirrh/Tintic,DB1621,DB1621,927,single_kmz,mapped,processed_data/boundaries/DB1621.geojson,,
,Cedar/Stansbury,DB1624,DB1624,925,single_kmz,mapped,processed_data/boundaries/DB1624.geojson,,
,Cache,DB1628,DB1628,29,single_kmz,mapped,processed_data/boundaries/DB1628.geojson,,
,Boulder/Kaiparowits,DB1630,DB1630,455,single_kmz,mapped,processed_data/boundaries/DB1630.geojson,,
,"Beaver, West",DB1616,DB1616,672,single_kmz,mapped,processed_data/boundaries/DB1616.geojson,,
,Cache,DB1627,DB1627,29,single_kmz,mapped,processed_data/boundaries/DB1627.geojson,,
,Boulder/Kaiparowits,DB1629,DB1629,455,single_kmz,mapped,processed_data/boundaries/DB1629.geojson,,
,Box Elder,LO1531,LO1531,607,single_kmz,mapped,processed_data/boundaries/LO1531.geojson,,
,Manti/San Rafael,LO1533,LO1533,619,single_kmz,mapped,processed_data/boundaries/LO1533.geojson,,
,Nebo,LO1534,LO1534,616,single_kmz,mapped,processed_data/boundaries/LO1534.geojson,,
,Fillmore,LO1536,LO1536,804,single_kmz,mapped,processed_data/boundaries/LO1536.geojson,,
,Kamas,LO1538,LO1538,611,single_kmz,mapped,processed_data/boundaries/LO1538.geojson,,
,"La Sal, La Sal Mtns",LO1539,LO1539,617,single_kmz,mapped,processed_data/boundaries/LO1539.geojson,,
,Monroe,LO1540,LO1540,629,single_kmz,mapped,processed_data/boundaries/LO1540.geojson,,
,Mt Dutton,LO1541,LO1541,630,single_kmz,mapped,processed_data/boundaries/LO1541.geojson,,
,Nine Mile,LO1542,LO1542,615,single_kmz,mapped,processed_data/boundaries/LO1542.geojson,,
,North Slope,LO1543,LO1543,612,single_kmz,mapped,processed_data/boundaries/LO1543.geojson,,
,Ogden,LO1544,LO1544,609,single_kmz,mapped,processed_data/boundaries/LO1544.geojson,,
,Panguitch Lake,LO1546,LO1546,634,single_kmz,mapped,processed_data/boundaries/LO1546.geojson,,
,Pine Valley,LO1547,LO1547,636,single_kmz,mapped,processed_data/boundaries/LO1547.geojson,,
,Fishlake,LO1549,LO1549,633,single_kmz,mapped,processed_data/boundaries/LO1549.geojson,,
,"San Juan, Abajo Mtns",LO1551,LO1551,618,single_kmz,mapped,processed_data/boundaries/LO1551.geojson,,
,Vernal/Bonanza,LO1552,LO1552,614,single_kmz,mapped,processed_data/boundaries/LO1552.geojson,,
,Yellowstone,LO1553,LO1553,613,single_kmz,mapped,processed_data/boundaries/LO1553.geojson,,
,Southwest Desert,LO1554,LO1554,625,single_kmz,mapped,processed_data/boundaries/LO1554.geojson,,
,"Wasatch Mtns, East",LO1555,LO1555,621,single_kmz,mapped,processed_data/boundaries/LO1555.geojson,,
,"Wasatch Mtns, West",LO1556,LO1556,620,single_kmz,mapped,processed_data/boundaries/LO1556.geojson,,
,Zion,LO1559,LO1559,635,single_kmz,mapped,processed_data/boundaries/LO1559.geojson,,
,Fillmore,LO1591,LO1591,804,single_kmz,mapped,processed_data/boundaries/LO1591.geojson,,
,Kamas,LO1592,LO1592,611,single_kmz,mapped,processed_data/boundaries/LO1592.geojson,,
,Nine Mile,LO1593,LO1593,615,single_kmz,mapped,processed_data/boundaries/LO1593.geojson,,
,Panguitch Lake,LO1594,LO1594,634,single_kmz,mapped,processed_data/boundaries/LO1594.geojson,,
,Pine Valley,LO1595,LO1595,636,single_kmz,mapped,processed_data/boundaries/LO1595.geojson,,
,Fishlake,LO1596,LO1596,633,single_kmz,mapped,processed_data/boundaries/LO1596.geojson,,
,Zion,LO1597,LO1597,635,single_kmz,mapped,processed_data/boundaries/LO1597.geojson,,
,North Slope,LO1598,LO1598,612,single_kmz,mapped,processed_data/boundaries/LO1598.geojson,,
,Chalk Creek,LO1599,LO1599,69,single_kmz,mapped,processed_data/boundaries/LO1599.geojson,,
,Chalk Creek,LO1601,LO1601,69,single_kmz,mapped,processed_data/boundaries/LO1601.geojson,,
,East Canyon,LO1603,LO1603,276,single_kmz,mapped,processed_data/boundaries/LO1603.geojson,,
,East Canyon,LO1605,LO1605,276,single_kmz,mapped,processed_data/boundaries/LO1605.geojson,,
,Morgan-South Rich,LO1607,LO1607,117,single_kmz,mapped,processed_data/boundaries/LO1607.geojson,,
,Morgan-South Rich,LO1609,LO1609,117,single_kmz,mapped,processed_data/boundaries/LO1609.geojson,,
,"Beaver, East",LO1613,LO1613,685,single_kmz,mapped,processed_data/boundaries/LO1613.geojson,,
,"West Desert, Swasey",LO1619,LO1619,926,single_kmz,mapped,processed_data/boundaries/LO1619.geojson,,
,Oquirrh/Tintic,LO1622,LO1622,927,single_kmz,mapped,processed_data/boundaries/LO1622.geojson,,
,Cedar/Stansbury,LO1625,LO1625,925,single_kmz,mapped,processed_data/boundaries/LO1625.geojson,,
,Box Elder,LO1631,LO1631,607,single_kmz,mapped,processed_data/boundaries/LO1631.geojson,,
,Box Elder,LO1501,LO1501,607,single_kmz,mapped,processed_data/boundaries/LO1501.geojson,,
,Cache,LO1502,LO1502,29,single_kmz,mapped,processed_data/boundaries/LO1502.geojson,,
,Manti/San Rafael,LO1503,LO1503,619,single_kmz,mapped,processed_data/boundaries/LO1503.geojson,,
,Nebo,LO1504,LO1504,616,single_kmz,mapped,processed_data/boundaries/LO1504.geojson,,
,Fillmore,LO1506,LO1506,804,single_kmz,mapped,processed_data/boundaries/LO1506.geojson,,
,Kamas,LO1508,LO1508,611,single_kmz,mapped,processed_data/boundaries/LO1508.geojson,,
,"La Sal, La Sal Mtns",LO1509,LO1509,617,single_kmz,mapped,processed_data/boundaries/LO1509.geojson,,
,Monroe,LO1510,LO1510,629,single_kmz,mapped,processed_data/boundaries/LO1510.geojson,,
,Mt Dutton,LO1511,LO1511,630,single_kmz,mapped,processed_data/boundaries/LO1511.geojson,,
,Nine Mile,LO1512,LO1512,615,single_kmz,mapped,processed_data/boundaries/LO1512.geojson,,
,North Slope,LO1513,LO1513,612,single_kmz,mapped,processed_data/boundaries/LO1513.geojson,,
,Ogden,LO1514,LO1514,609,single_kmz,mapped,processed_data/boundaries/LO1514.geojson,,
,Panguitch Lake,LO1516,LO1516,634,single_kmz,mapped,processed_data/boundaries/LO1516.geojson,,
,Pine Valley,LO1517,LO1517,636,single_kmz,mapped,processed_data/boundaries/LO1517.geojson,,
,Boulder/Kaiparowits,LO1518,LO1518,455,single_kmz,mapped,processed_data/boundaries/LO1518.geojson,,
,Fishlake,LO1519,LO1519,633,single_kmz,mapped,processed_data/boundaries/LO1519.geojson,,
,"San Juan, Abajo Mtns",LO1521,LO1521,618,single_kmz,mapped,processed_data/boundaries/LO1521.geojson,,
,Vernal/Bonanza,LO1522,LO1522,614,single_kmz,mapped,processed_data/boundaries/LO1522.geojson,,
,Yellowstone,LO1523,LO1523,613,single_kmz,mapped,processed_data/boundaries/LO1523.geojson,,
,Southwest Desert,LO1524,LO1524,625,single_kmz,mapped,processed_data/boundaries/LO1524.geojson,,
,"Wasatch Mtns, East",LO1525,LO1525,621,single_kmz,mapped,processed_data/boundaries/LO1525.geojson,,
,"Wasatch Mtns, West",LO1526,LO1526,620,single_kmz,mapped,processed_data/boundaries/LO1526.geojson,,
,Zion,LO1529,LO1529,635,single_kmz,mapped,processed_data/boundaries/LO1529.geojson,,
,Chalk Creek,LO1600,LO1600,69,single_kmz,mapped,processed_data/boundaries/LO1600.geojson,,
,East Canyon,LO1604,LO1604,276,single_kmz,mapped,processed_data/boundaries/LO1604.geojson,,
,Morgan-South Rich,LO1608,LO1608,117,single_kmz,mapped,processed_data/boundaries/LO1608.geojson,,
,"Beaver, East",LO1611,LO1611,685,single_kmz,mapped,processed_data/boundaries/LO1611.geojson,,
,"Beaver, West",LO1614,LO1614,672,single_kmz,mapped,processed_data/boundaries/LO1614.geojson,,
,"West Desert, Swasey",LO1617,LO1617,926,single_kmz,mapped,processed_data/boundaries/LO1617.geojson,,
,Oquirrh/Tintic,LO1620,LO1620,927,single_kmz,mapped,processed_data/boundaries/LO1620.geojson,,
,Cedar/Stansbury,LO1623,LO1623,925,single_kmz,mapped,processed_data/boundaries/LO1623.geojson,,
,Box Elder,LO1561,LO1561,607,single_kmz,mapped,processed_data/boundaries/LO1561.geojson,,
,Manti/San Rafael,LO1563,LO1563,619,single_kmz,mapped,processed_data/boundaries/LO1563.geojson,,
,Nebo,LO1564,LO1564,616,single_kmz,mapped,processed_data/boundaries/LO1564.geojson,,
,Fillmore,LO1566,LO1566,804,single_kmz,mapped,processed_data/boundaries/LO1566.geojson,,
,Kamas,LO1568,LO1568,611,single_kmz,mapped,processed_data/boundaries/LO1568.geojson,,
,"La Sal, La Sal Mtns",LO1569,LO1569,617,single_kmz,mapped,processed_data/boundaries/LO1569.geojson,,
,Monroe,LO1570,LO1570,629,single_kmz,mapped,processed_data/boundaries/LO1570.geojson,,
,Mt Dutton,LO1571,LO1571,630,single_kmz,mapped,processed_data/boundaries/LO1571.geojson,,
,Nine Mile,LO1572,LO1572,615,single_kmz,mapped,processed_data/boundaries/LO1572.geojson,,
,North Slope,LO1573,LO1573,612,single_kmz,mapped,processed_data/boundaries/LO1573.geojson,,
,Ogden,LO1574,LO1574,609,single_kmz,mapped,processed_data/boundaries/LO1574.geojson,,
,Panguitch Lake,LO1576,LO1576,634,single_kmz,mapped,processed_data/boundaries/LO1576.geojson,,
,Pine Valley,LO1577,LO1577,636,single_kmz,mapped,processed_data/boundaries/LO1577.geojson,,
,Fishlake,LO1579,LO1579,633,single_kmz,mapped,processed_data/boundaries/LO1579.geojson,,
,"San Juan, Abajo Mtns",LO1581,LO1581,618,single_kmz,mapped,processed_data/boundaries/LO1581.geojson,,
,Vernal/Bonanza,LO1582,LO1582,614,single_kmz,mapped,processed_data/boundaries/LO1582.geojson,,
,Yellowstone,LO1583,LO1583,613,single_kmz,mapped,processed_data/boundaries/LO1583.geojson,,
,Southwest Desert,LO1584,LO1584,625,single_kmz,mapped,processed_data/boundaries/LO1584.geojson,,
,"Wasatch Mtns, East",LO1585,LO1585,621,single_kmz,mapped,processed_data/boundaries/LO1585.geojson,,
,"Wasatch Mtns, West",LO1586,LO1586,620,single_kmz,mapped,processed_data/boundaries/LO1586.geojson,,
,Zion,LO1589,LO1589,635,single_kmz,mapped,processed_data/boundaries/LO1589.geojson,,
,Chalk Creek,LO1602,LO1602,69,single_kmz,mapped,processed_data/boundaries/LO1602.geojson,,
,East Canyon,LO1606,LO1606,276,single_kmz,mapped,processed_data/boundaries/LO1606.geojson,,
,Morgan-South Rich,LO1610,LO1610,117,single_kmz,mapped,processed_data/boundaries/LO1610.geojson,,
,"Beaver, East",LO1612,LO1612,685,single_kmz,mapped,processed_data/boundaries/LO1612.geojson,,
,"Beaver, West",LO1615,LO1615,672,single_kmz,mapped,processed_data/boundaries/LO1615.geojson,,
,"West Desert, Swasey",LO1618,LO1618,926,single_kmz,mapped,processed_data/boundaries/LO1618.geojson,,
,Oquirrh/Tintic,LO1621,LO1621,927,single_kmz,mapped,processed_data/boundaries/LO1621.geojson,,
,Cedar/Stansbury,LO1624,LO1624,925,single_kmz,mapped,processed_data/boundaries/LO1624.geojson,,
,Cache,LO1628,LO1628,29,single_kmz,mapped,processed_data/boundaries/LO1628.geojson,,
,Boulder/Kaiparowits,LO1630,LO1630,455,single_kmz,mapped,processed_data/boundaries/LO1630.geojson,,
,"Beaver, West",LO1616,LO1616,672,single_kmz,mapped,processed_data/boundaries/LO1616.geojson,,
,Cache,LO1627,LO1627,29,single_kmz,mapped,processed_data/boundaries/LO1627.geojson,,
,Boulder/Kaiparowits,LO1629,LO1629,455,single_kmz,mapped,processed_data/boundaries/LO1629.geojson,,
,"Book Cliffs, North",DB1017,DB1017,714,single_kmz,mapped,processed_data/boundaries/DB1017.geojson,,
,"Book Cliffs, South",DB1018,DB1018,15,single_kmz,mapped,processed_data/boundaries/DB1018.geojson,,
,"Fillmore, Oak Creek LE",DB1019,DB1019,85,single_kmz,mapped,processed_data/boundaries/DB1019.geojson,,
,Dolores Triangle,DB1020,DB1020,108,single_kmz,mapped,processed_data/boundaries/DB1020.geojson,,
,"San Juan, Elk Ridge",DB1022,DB1022,185,single_kmz,mapped,processed_data/boundaries/DB1022.geojson,,
,Diamond Mtn,DB1023,DB1023,206,single_kmz,mapped,processed_data/boundaries/DB1023.geojson,,
,"West Desert, Vernon",DB1024,DB1024,248,single_kmz,mapped,processed_data/boundaries/DB1024.geojson,,
,Little Rockies,DB1115,DB1115,928,single_kmz,mapped,processed_data/boundaries/DB1115.geojson,,
,Moab Valley,DB1119,DB1119,930,single_kmz,mapped,processed_data/boundaries/DB1119.geojson,,
,Castle Valley,DB1120,DB1120,932,single_kmz,mapped,processed_data/boundaries/DB1120.geojson,,
,Book Cliffs,DB1011,DB1011,7,single_kmz,mapped,processed_data/boundaries/DB1011.geojson,,
,"Fillmore, Oak Creek LE",DB1012,DB1012,85,single_kmz,mapped,processed_data/boundaries/DB1012.geojson,,
,Dolores Triangle,DB1013,DB1013,108,single_kmz,mapped,processed_data/boundaries/DB1013.geojson,,
,"San Juan, Elk Ridge",DB1014,DB1014,185,single_kmz,mapped,processed_data/boundaries/DB1014.geojson,,
,Diamond Mtn,DB1015,DB1015,206,single_kmz,mapped,processed_data/boundaries/DB1015.geojson,,
,"West Desert, Vernon",DB1016,DB1016,248,single_kmz,mapped,processed_data/boundaries/DB1016.geojson,,
,"Book Cliffs, Floy Canyon",DB1090,DB1090,301,single_kmz,mapped,processed_data/boundaries/DB1090.geojson,,
,Kaiparowits HAMSS,DB1091,DB1091,314,single_kmz,mapped,processed_data/boundaries/DB1091.geojson,,
,East Canyon,DB1105,DB1105,276,single_kmz,mapped,processed_data/boundaries/DB1105.geojson,,
,Thousand Lakes,DB1106,DB1106,632,single_kmz,mapped,processed_data/boundaries/DB1106.geojson,,
,"San Juan, Mancos Mesa",DB1116,DB1116,929,single_kmz,mapped,processed_data/boundaries/DB1116.geojson,,
,Book Cliffs,DB1044,DB1044,7,single_kmz,mapped,processed_data/boundaries/DB1044.geojson,,
,"Fillmore, Oak Creek LE",DB1045,DB1045,85,single_kmz,mapped,processed_data/boundaries/DB1045.geojson,,
,"San Juan, Elk Ridge",DB1046,DB1046,185,single_kmz,mapped,processed_data/boundaries/DB1046.geojson,,
,Diamond Mtn,DB1047,DB1047,206,single_kmz,mapped,processed_data/boundaries/DB1047.geojson,,
,"West Desert, Vernon",DB1048,DB1048,248,single_kmz,mapped,processed_data/boundaries/DB1048.geojson,,
,Book Cliffs,DB1025,DB1025,7,single_kmz,mapped,processed_data/boundaries/DB1025.geojson,,
,"Cache, Crawford Mtn",DB1026,DB1026,32,single_kmz,mapped,processed_data/boundaries/DB1026.geojson,,
,Fillmore,DB1028,DB1028,804,single_kmz,mapped,processed_data/boundaries/DB1028.geojson,,
,"Fillmore, Oak Creek LE",DB1029,DB1029,85,single_kmz,mapped,processed_data/boundaries/DB1029.geojson,,
,Kamas,DB1030,DB1030,611,single_kmz,mapped,processed_data/boundaries/DB1030.geojson,,
,Dolores Triangle,DB1031,DB1031,108,single_kmz,mapped,processed_data/boundaries/DB1031.geojson,,
,Monroe,DB1032,DB1032,629,single_kmz,mapped,processed_data/boundaries/DB1032.geojson,,
,Nine Mile,DB1033,DB1033,615,single_kmz,mapped,processed_data/boundaries/DB1033.geojson,,
,Pine Valley,DB1034,DB1034,636,single_kmz,mapped,processed_data/boundaries/DB1034.geojson,,
,"San Juan, Elk Ridge",DB1037,DB1037,185,single_kmz,mapped,processed_data/boundaries/DB1037.geojson,,
,Diamond Mtn,DB1038,DB1038,206,single_kmz,mapped,processed_data/boundaries/DB1038.geojson,,
,Yellowstone,DB1039,DB1039,613,single_kmz,mapped,processed_data/boundaries/DB1039.geojson,,
,Southwest Desert,DB1040,DB1040,625,single_kmz,mapped,processed_data/boundaries/DB1040.geojson,,
,"Wasatch Mtns, East",DB1041,DB1041,621,single_kmz,mapped,processed_data/boundaries/DB1041.geojson,,
,"West Desert, Vernon",DB1042,DB1042,248,single_kmz,mapped,processed_data/boundaries/DB1042.geojson,,
,Zion,DB1043,DB1043,635,single_kmz,mapped,processed_data/boundaries/DB1043.geojson,,
,Mt Dutton,DB1053,DB1053,630,single_kmz,mapped,processed_data/boundaries/DB1053.geojson,,
,Ogden,DB1054,DB1054,609,single_kmz,mapped,processed_data/boundaries/DB1054.geojson,,
,Fishlake,DB1055,DB1055,633,single_kmz,mapped,processed_data/boundaries/DB1055.geojson,,
,North Slope,DB1065,DB1065,612,single_kmz,mapped,processed_data/boundaries/DB1065.geojson,,
,Box Elder,DB1077,DB1077,607,single_kmz,mapped,processed_data/boundaries/DB1077.geojson,,
,Cache,DB1078,DB1078,29,single_kmz,mapped,processed_data/boundaries/DB1078.geojson,,
,Manti/San Rafael,DB1079,DB1079,619,single_kmz,mapped,processed_data/boundaries/DB1079.geojson,,
,Nebo,DB1080,DB1080,616,single_kmz,mapped,processed_data/boundaries/DB1080.geojson,,
,La Sal Mtns,DB1081,DB1081,617,single_kmz,mapped,processed_data/boundaries/DB1081.geojson,,
,Panguitch Lake,DB1083,DB1083,634,single_kmz,mapped,processed_data/boundaries/DB1083.geojson,,
,Boulder/Kaiparowits,DB1084,DB1084,455,single_kmz,mapped,processed_data/boundaries/DB1084.geojson,,
,"San Juan, Abajo Mtns",DB1085,DB1085,618,single_kmz,mapped,processed_data/boundaries/DB1085.geojson,,
,Vernal/Bonanza,DB1086,DB1086,614,single_kmz,mapped,processed_data/boundaries/DB1086.geojson,,
,"Wasatch Mtns, West",DB1087,DB1087,620,single_kmz,mapped,processed_data/boundaries/DB1087.geojson,,
,Chalk Creek,DB1100,DB1100,69,single_kmz,mapped,processed_data/boundaries/DB1100.geojson,,
,East Canyon,DB1101,DB1101,276,single_kmz,mapped,processed_data/boundaries/DB1101.geojson,,
,Morgan-South Rich,DB1103,DB1103,117,single_kmz,mapped,processed_data/boundaries/DB1103.geojson,,
,Thousand Lakes,DB1107,DB1107,632,single_kmz,mapped,processed_data/boundaries/DB1107.geojson,,
,"Beaver, East",DB1110,DB1110,685,single_kmz,mapped,processed_data/boundaries/DB1110.geojson,,
,"Beaver, West",DB1111,DB1111,672,single_kmz,mapped,processed_data/boundaries/DB1111.geojson,,
,"West Desert, Swasey",DB1112,DB1112,926,single_kmz,mapped,processed_data/boundaries/DB1112.geojson,,
,Oquirrh/Tintic,DB1113,DB1113,927,single_kmz,mapped,processed_data/boundaries/DB1113.geojson,,
,Cedar/Stansbury,DB1114,DB1114,925,single_kmz,mapped,processed_data/boundaries/DB1114.geojson,,
,Thousand Lakes,DB1109,DB1109,632,single_kmz,mapped,processed_data/boundaries/DB1109.geojson,,
,Thousand Lakes,DB1108,DB1108,632,single_kmz,mapped,processed_data/boundaries/DB1108.geojson,,
,Paunsaugunt - Private Land Only,LD1004,LD1004,163,single_kmz,mapped,processed_data/boundaries/LD1004.geojson,,
,"Fillmore, Oak Creek LE - Private Land Only",LD1019,LD1019,85,single_kmz,mapped,processed_data/boundaries/LD1019.geojson,,
,Diamond Mtn - Private Land Only,LD1023,LD1023,206,single_kmz,mapped,processed_data/boundaries/LD1023.geojson,,
,Diamond Mtn Landowner Association,LO0009,LO0009,206,single_kmz,mapped,processed_data/boundaries/LO0009.geojson,,
,Paunsaugunt - Private Land Only,LD1001,LD1001,163,single_kmz,mapped,processed_data/boundaries/LD1001.geojson,,
,Diamond Mtn Landowner Association,LO0008,LO0008,206,single_kmz,mapped,processed_data/boundaries/LO0008.geojson,,
,Paunsaugunt - Private Land Only,LD1006,LD1006,163,single_kmz,mapped,processed_data/boundaries/LD1006.geojson,,
,Thousand Lakes - Private Land Only,LD1108,LD1108,632,single_kmz,mapped,processed_data/boundaries/LD1108.geojson,,
,Henry Mtns (Management Buck Deer),DB1009,DB1009,94,single_kmz,mapped,processed_data/boundaries/DB1009.geojson,,
,Paunsaugunt,DB1010,DB1010,163,single_kmz,mapped,processed_data/boundaries/DB1010.geojson,,
,Antelope Island,DB1121,DB1121,1,single_kmz,mapped,processed_data/boundaries/DB1121.geojson,,
,Paunsaugunt,DB1073,DB1073,163,single_kmz,mapped,processed_data/boundaries/DB1073.geojson,,
,Paunsaugunt,DB1074,DB1074,163,single_kmz,mapped,processed_data/boundaries/DB1074.geojson,,
,Antelope Island - Conservation/Expo,DB0009,DB0009,1,single_kmz,mapped,processed_data/boundaries/DB0009.geojson,,
,Antelope Island,DB1002,DB1002,1,single_kmz,mapped,processed_data/boundaries/DB1002.geojson,,
,Henry Mtns,DB1003,DB1003,94,single_kmz,mapped,processed_data/boundaries/DB1003.geojson,,
,Paunsaugunt,DB1004,DB1004,163,single_kmz,mapped,processed_data/boundaries/DB1004.geojson,,
,Henry Mtns,DB1000,DB1000,94,single_kmz,mapped,processed_data/boundaries/DB1000.geojson,,
,Paunsaugunt,DB1001,DB1001,163,single_kmz,mapped,processed_data/boundaries/DB1001.geojson,,
,Henry Mtns,DB1007,DB1007,94,single_kmz,mapped,processed_data/boundaries/DB1007.geojson,,
,Paunsaugunt,DB1008,DB1008,163,single_kmz,mapped,processed_data/boundaries/DB1008.geojson,,
,Henry Mtns,DB1005,DB1005,94,single_kmz,mapped,processed_data/boundaries/DB1005.geojson,,
,Paunsaugunt,DB1006,DB1006,163,single_kmz,mapped,processed_data/boundaries/DB1006.geojson,,
,Buck Deer - Statewide Permit,DB0007,DB0007,5108,merged_kmz,mapped,processed_data/boundaries/DB0007.geojson,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,DB0007_MERGED_2026
,Southeastern Navajo Buck Deer,DB0001,DB0001,866,single_kmz,mapped,processed_data/boundaries/DB0001.geojson,,
,Southern Navajo Buck Deer,DB0004,DB0004,865,single_kmz,mapped,processed_data/boundaries/DB0004.geojson,,
,Southern Paiute Buck Deer (early),DB0010,DB0010,865,single_kmz,mapped,processed_data/boundaries/DB0010.geojson,,
,Southern Paiute Buck Deer (late),DB0013,DB0013,865,single_kmz,mapped,processed_data/boundaries/DB0013.geojson,,
,Southeastern Navajo Buck Deer,DB0002,DB0002,866,single_kmz,mapped,processed_data/boundaries/DB0002.geojson,,
,Southern Navajo Buck Deer,DB0005,DB0005,865,single_kmz,mapped,processed_data/boundaries/DB0005.geojson,,
,Southern Paiute Buck Deer,DB0011,DB0011,865,single_kmz,mapped,processed_data/boundaries/DB0011.geojson,,
,Southeastern Navajo Buck Deer,DB0003,DB0003,866,single_kmz,mapped,processed_data/boundaries/DB0003.geojson,,
,Southern Navajo Buck Deer,DB0006,DB0006,865,single_kmz,mapped,processed_data/boundaries/DB0006.geojson,,
,Southern Paiute Buck Deer,DB0012,DB0012,865,single_kmz,mapped,processed_data/boundaries/DB0012.geojson,,
,"Kaiparowits, East",DS1002,DS1002,98,single_kmz,mapped,processed_data/boundaries/DS1002.geojson,,
,"Kaiparowits, Escalante East/West",DS1003,DS1003,5141,merged_kmz,mapped,processed_data/boundaries/DS1003.geojson,933;934,
,"San Rafael, Dirty Devil",DS1004,DS1004,193,single_kmz,mapped,processed_data/boundaries/DS1004.geojson,,
,"Kaiparowits, West",DS1006,DS1006,100,single_kmz,mapped,processed_data/boundaries/DS1006.geojson,,
,"San Rafael, South",DS1007,DS1007,195,single_kmz,mapped,processed_data/boundaries/DS1007.geojson,,
,"Pine Valley, Beaver Dam",DS6605,DS6605,305,single_kmz,mapped,processed_data/boundaries/DS6605.geojson,,
