"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"DB1263","Moon Ranch CWMU","Deer","Any Legal Weapon","CWMU","Moon Ranch","485","exact_norm_name"
"DB1264","Mountain Meadow CWMU","Deer","Any Legal Weapon","CWMU","Mountain Meadow","518","exact_norm_name"
"DB1265","Mountain Top CWMU","Deer","Any Legal Weapon","CWMU","Mountain Top","572","exact_norm_name"
"DB1266","Mt Carmel CWMU","Deer","Any Legal Weapon","CWMU","Mt Carmel","533","exact_norm_name"
"DB1269","North Promontory CWMU","Deer","Any Legal Weapon","CWMU","North Promontory","513","exact_norm_name"
"DB1270","Nucor West CWMU","Deer","Any Legal Weapon","CWMU","Nucor West","503","exact_norm_name"
"DB1271","Oak Ranch CWMU","Deer","Any Legal Weapon","CWMU","Oak Ranch","534","exact_norm_name"
"DB1272","Old Woman Plateau CWMU","Deer","Any Legal Weapon","CWMU","Old Woman Plateau","535","exact_norm_name"
"DB1273","Park Valley Hereford CWMU","Deer","Any Legal Weapon","CWMU","Park Valley Hereford","504","exact_norm_name"
"DB1274","Patmos Ridge CWMU","Deer","Any Legal Weapon","CWMU","Patmos Ridge","736","exact_norm_name"
"DB1275","Pine Canyon CWMU","Deer","Any Legal Weapon","CWMU","Pine Canyon","592","exact_norm_name"
"DB1277","Pocatello Valley CWMU","Deer","Any Legal Weapon","CWMU","Pocatello Valley","501","exact_norm_name"
"DB1279","Preston Nutter Ranch CWMU","Deer","Any Legal Weapon","CWMU","Preston Nutter Ranch","542","exact_norm_name"
"DB1280","Promontory Point CWMU","Deer","Any Legal Weapon","CWMU","Promontory Point","502","exact_norm_name"
"DB1281","Rattlesnake Pass CWMU","Deer","Any Legal Weapon","CWMU","Rattlesnake Pass","496","exact_norm_name"
"DB1282","Redd Ranches CWMU","Deer","Any Legal Weapon","CWMU","Redd Ranches","548","exact_norm_name"
"DB1283","Roan Cliffs CWMU","Deer","Any Legal Weapon","CWMU","Roan Cliffs","543","exact_norm_name"
"DB1285","Sand Creek CWMU","Deer","Any Legal Weapon","CWMU","Sand Creek","740","exact_norm_name"
"DB1286","Pisgah Mountain CWMU","Deer","Any Legal Weapon","CWMU","Pisgah Mountain","574","exact_norm_name"
"DB1287","Scofield Canyons CWMU","Deer","Any Legal Weapon","CWMU","Scofield Canyons","539","exact_norm_name"
"DB1288","Scofield West CWMU","Deer","Any Legal Weapon","CWMU","Scofield West","541","exact_norm_name"
"DB1289","Sharp Mountain CWMU","Deer","Any Legal Weapon","CWMU","Sharp Mountain","490","exact_norm_name"
"DB1290","Skull Crack CWMU","Deer","Any Legal Weapon","CWMU","Skull Crack","578","exact_norm_name"
"DB1291","Skull Valley South CWMU","Deer","Any Legal Weapon","CWMU","Skull Valley South","585","exact_norm_name"
"DB1292","Soldier Summit CWMU","Deer","Any Legal Weapon","CWMU","Soldier Summit","552","exact_norm_name"
"DB1293","South Canyon CWMU","Deer","Any Legal Weapon","CWMU","South Canyon","491","exact_norm_name"
"DB1294","Spring Creek Acres CWMU","Deer","Any Legal Weapon","CWMU","Spring Creek Acres","741","exact_norm_name"
"DB1295","Spring Creek/Dodge CWMU","Deer","Any Legal Weapon","CWMU","Spring Creek/Dodge","546","exact_norm_name"
"DB1298","Strawberry Ridge CWMU","Deer","Any Legal Weapon","CWMU","Strawberry Ridge","562","exact_norm_name"
"DB1299","Summit Point CWMU","Deer","Any Legal Weapon","CWMU","Summit Point","547","exact_norm_name"
"DB1300","Thatcher Mountain CWMU","Deer","Any Legal Weapon","CWMU","Thatcher Mountain","602","exact_norm_name"
"DB1301","Three C CWMU","Deer","Any Legal Weapon","CWMU","Three C","553","exact_norm_name"
"DB1303","North Peaks CWMU","Deer","Any Legal Weapon","CWMU","North Peaks","492","exact_norm_name"
"DB1304","Two Bear CWMU","Deer","Any Legal Weapon","CWMU","Two Bear","521","exact_norm_name"
"DB1305","Wallsburg CWMU","Deer","Any Legal Weapon","CWMU","Wallsburg","586","exact_norm_name"
"DB1306","Washakie CWMU","Deer","Any Legal Weapon","CWMU","Washakie","499","exact_norm_name"
"DB1308","West Hills CWMU","Deer","Any Legal Weapon","CWMU","West Hills","511","exact_norm_name"
"DB1309","West Willow Creek Ranch CWMU","Deer","Any Legal Weapon","CWMU","West Willow Creek Ranch","805","exact_norm_name"
"DB1312","Woodruff Creek South CWMU","Deer","Any Legal Weapon","CWMU","Woodruff Creek South","571","exact_norm_name"
"DB1317","Jacob's Creek CWMU","Deer","Any Legal Weapon","CWMU","Jacob's Creek","580","exact_norm_name"
