source_file,hunt_code,unit
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3044,13B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3009,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3045,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3046,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3087,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3111,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3182,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3183,13A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3006,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3038,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3039,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3084,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3108,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3126,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3172,16B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3010,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3047,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3048,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3088,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3112,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3184,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3185,23
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3011,24
