hunt_code,hunt_name,source_year,source_file,appears_in_draw_odds_pdf,has_point_level_bonus_rows,resident_bonus_permits_total,resident_regular_permits_total,resident_total_permits,nonresident_bonus_permits_total,nonresident_regular_permits_total,nonresident_total_permits,source_classification,engine_classification_before,engine_classification_after,correction_needed,data_quality_flags
BR7218,Diamond Mtn/Vernal/Bonanza,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,3,7,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7219,Yellowstone,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7220,Wasatch Mtns Avintaquin/Currant Creek,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7221,Wasatch Mtns West-Central,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7224,Book Cliffs Little Creek Roadless,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7225,Book Cliffs Little Creek Roadless,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7228,Cache/Ogden,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7229,Kamas/North Slope Summit,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7237,Monroe,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7238,Dolores Triangle,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7239,La Sal Mtns,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7300,Book Cliffs Bitter Creek/South,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7301,Book Cliffs Little Creek Roadless,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7303,Manti North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,6,13,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7304,Manti South/San Rafael North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7305,Nebo,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7307,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,6,13,0,1,1,TRUE_BEAR_BONUS_DRAW,CONSERVATION_OR_NON_PUBLIC,CONSERVATION_OR_NON_PUBLIC,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7308,North Slope Three Corners/West Daggett,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7309,Panguitch Lake/Zion,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7310,Boulder/Kaiparowits,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,5,10,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7311,Fishlake/Thousand Lakes,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,1,3,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7312,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,6,5,11,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7313,Diamond Mtn/Vernal/Bonanza,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7314,Yellowstone,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,1,3,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7315,Wasatch Mtns Avintaquin/Currant Creek,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,1,3,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7316,Wasatch Mtns West-Central,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7317,Nine Mile,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7318,Beaver,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7320,Cache/Ogden,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7321,Kamas/North Slope Summit,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7322,Mt Dutton,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7323,Paunsaugunt,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7324,Chalk Creek/East Canyon/Morgan-South Rich,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,CONSERVATION_OR_NON_PUBLIC,CONSERVATION_OR_NON_PUBLIC,CONSERVATION_OR_NON_PUBLIC,no,NON_PUBLIC_OR_EXCLUDED_SOURCE
BR7325,Chalk Creek/East Canyon/Morgan-South Rich,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7326,La Sal Mtns,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
