hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
BR7224,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Book Cliffs Little Creek Roadless,14,1,15
BR7225,False,True,True,False,not_OIL_LE_PLE,Spot and Stalk,Black Bear,Book Cliffs Little Creek Roadless,5,0,5
BR7226,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7227,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7228,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Cache/Ogden,1,0,1
BR7229,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Kamas/North Slope Summit,4,0,4
BR7230,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7231,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7232,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7233,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7234,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7235,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7236,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7237,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Monroe,1,0,1
BR7238,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Dolores Triangle,2,0,2
BR7239,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,La Sal Mtns,6,0,6
BR7300,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Book Cliffs Bitter Creek/South,9,1,10
BR7301,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Book Cliffs Little Creek Roadless,5,0,5
BR7303,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Manti North,13,1,14
BR7304,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Manti South/San Rafael North,18,2,20
BR7305,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Nebo,5,0,5
BR7307,False,True,True,False,not_OIL_LE_PLE,Multiseason - Conservation,Black Bear,La Sal,,,
BR7308,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,North Slope Three Corners/West Daggett,1,0,1
BR7309,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Panguitch Lake/Zion,4,0,4
BR7310,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Boulder/Kaiparowits,10,1,11
BR7311,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Fishlake/Thousand Lakes,3,0,3
BR7312,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,San Juan,11,1,12
BR7313,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Diamond Mtn/Vernal/Bonanza,5,0,5
BR7314,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Yellowstone,3,0,3
