hunt_code,hunt_name,species,boundary_id,row_origin,database_numeric_protected,target_database_status,target_2025_total,database_2025_total,target_2026_total,database_2026_total,database_allotment_2026_total,resolved_2026_res,resolved_2026_nr,resolved_2026_total,resolved_2026_source,overlay_action,review_priority,review_reason
DB1251,Indian Head CWMU,Deer,735,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1252,Ingham Peak CWMU,Deer,493,TARGET_AND_DATABASE,YES,MISMATCH,5,5,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1253,Circle E Ranch CWMU,Deer,549,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1255,Johnson Mountain Ranch CWMU,Deer,531,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1256,Junction Valley CWMU,Deer,589,TARGET_AND_DATABASE,YES,MISMATCH,6,6,0,5,,5,0,5,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1258,Little Red Creek CWMU,Deer,484,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1259,Tunnel Hollow CWMU,Deer,569,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1260,Middle Ridge CWMU,Deer,565,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1261,Minnie Maud Ridge CWMU,Deer,551,TARGET_AND_DATABASE,YES,MISMATCH,5,5,0,5,,5,0,5,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1263,Moon Ranch CWMU,Deer,485,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
