record_id,record_type,library_title,library_species,library_category,library_area,library_condition,library_source_pdf,document_file_status,database_match_status,database_hunt_code,database_hunt_name,database_species,database_hunt_type,database_season,database_permits_2026_res,database_permits_2026_nr,database_permits_2026_total,database_permits_2026_source,database_permit_allotment_2026_status,reconciliation_issue
permit_2022_2024_conservation_0018,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - Fillmore, Oak Creek LE",Buck Deer,Conservation Permits,"Fillmore, Oak Creek LE",Hunter's Choice of Season,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB1045,"Fillmore, Oak Creek LE",Deer,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,Best fuzzy match score 0.44; tied/weak candidates require review.
permit_2022_2024_conservation_0019,permit_allocation,2022-2024 Mule Deer Foundation Buck Deer - Henry Mtns,Buck Deer,Conservation Permits,Henry Mtns,Hunter's Choice of Season,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB1780,Mt Dutton,Deer,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,26,,,Best fuzzy match score 0.30; tied/weak candidates require review.
permit_2022_2024_conservation_0020,permit_allocation,2022-2024 Mule Deer Foundation Buck Deer - Paunsaugunt,Buck Deer,Conservation Permits,Paunsaugunt,Archery,2022-24_conservation_permits.pdf,,MATCH_HIGH,LD1001,Paunsaugunt - Private Land Only,Deer,Limited Entry - Private Land Only,Aug 16 2025 - Sept 12 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,
permit_2022_2024_conservation_0021,permit_allocation,2022-2024 Mule Deer Foundation Buck Deer - Paunsaugunt,Buck Deer,Conservation Permits,Paunsaugunt,Hunter's Choice of Season,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB1771,Cache,Deer,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,,,588,,,Best fuzzy match score 0.22; tied/weak candidates require review.
permit_2022_2024_conservation_0022,permit_allocation,2022-2024 Mule Deer Foundation Buck Deer - Paunsaugunt,Buck Deer,Conservation Permits,Paunsaugunt,Muzzleloader,2022-24_conservation_permits.pdf,,MATCH_HIGH,LD1006,Paunsaugunt - Private Land Only,Deer,Limited Entry - Private Land Only,Sept 24 2025 - Oct 02 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,
permit_2022_2024_conservation_0023,permit_allocation,2022-2024 Mule Deer Foundation Buck Deer - Paunsaugunt,Buck Deer,Conservation Permits,Paunsaugunt,Muzzleloader,2022-24_conservation_permits.pdf,,MATCH_HIGH,LD1006,Paunsaugunt - Private Land Only,Deer,Limited Entry - Private Land Only,Sept 24 2025 - Oct 02 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,
permit_2022_2024_conservation_0024,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - San Juan, Elk Ridge",Buck Deer,Conservation Permits,"San Juan, Elk Ridge",Hunter's Choice of Season,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB1046,"San Juan, Elk Ridge",Deer,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,Best fuzzy match score 0.44; tied/weak candidates require review.
permit_2022_2024_conservation_0025,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - South Slope, Diamond Mtn",Buck Deer,Conservation Permits,"South Slope, Diamond Mtn",Hunter's Choice of Season,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB1780,Mt Dutton,Deer,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,26,,,Best fuzzy match score 0.30; tied/weak candidates require review.
permit_2022_2024_conservation_0026,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - South Slope, Diamond Mtn",Buck Deer,Conservation Permits,"South Slope, Diamond Mtn",Hunter's Choice of Season,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB1780,Mt Dutton,Deer,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,26,,,Best fuzzy match score 0.30; tied/weak candidates require review.
permit_2022_2024_conservation_0027,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - South Slope, Diamond Mtn",Buck Deer,Conservation Permits,"South Slope, Diamond Mtn",Muzzleloader,2022-24_conservation_permits.pdf,,MATCH_HIGH,DB1038,Diamond Mtn,Deer,Limited Entry,Sept 23 2026 - Oct 01 2026,22,2,24,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
