hunt_code,hunt_name,species,hunt_type,weapon,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_source_file
BR7312,San Juan,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,
BR7314,Yellowstone,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,
BR7315,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,
BR7316,Wasatch Mtns West-Central,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,
BR7317,Nine Mile,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",9,1,10,
BR7318,Beaver,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7320,Cache/Ogden,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,
BR7321,Kamas/North Slope Summit,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,
BR7322,Mt Dutton,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7323,Paunsaugunt,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Conservation,Multiseason,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",,,,
BR7325,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7326,La Sal Mtns,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Statewide,Any Legal Weapon,"Sept 1 - Dec 31, 2026",,,,
LO0010,Diamond Mtn Landowner Association,Deer,Limited Entry - Private Land Only,Muzzleloader,Sept 23 2026 - Oct 01 2026 - Valid only on property enrolled in the Diamond Mtn LOA,,,,
