hunt_code,in_2023_harvest,in_2023_draw,in_active_database_2026,comparison_bucket
EA1293,NO,NO,YES,active_database_only
EA1294,NO,NO,YES,active_database_only
EA1295,NO,NO,YES,active_database_only
EA1296,NO,NO,YES,active_database_only
EA1297,NO,NO,YES,active_database_only
EA1298,NO,NO,YES,active_database_only
EA1299,NO,NO,YES,active_database_only
EA1300,NO,NO,YES,active_database_only
EA2000,NO,NO,YES,active_database_only
EA2002,NO,NO,YES,active_database_only
EA2003,NO,NO,YES,active_database_only
EA2004,NO,NO,YES,active_database_only
EA2005,NO,NO,YES,active_database_only
EA2006,NO,NO,YES,active_database_only
EA2008,NO,NO,YES,active_database_only
EA2009,NO,NO,YES,active_database_only
EA2010,NO,NO,YES,active_database_only
EA2011,NO,NO,YES,active_database_only
EA2012,NO,NO,YES,active_database_only
EA2013,NO,NO,YES,active_database_only
EA2014,NO,NO,YES,active_database_only
EA2015,NO,NO,YES,active_database_only
EA2016,NO,NO,YES,active_database_only
EA2017,NO,NO,YES,active_database_only
EA2018,NO,NO,YES,active_database_only
EA2019,NO,NO,YES,active_database_only
EA2020,NO,NO,YES,active_database_only
EA2021,NO,NO,YES,active_database_only
EA2026,NO,NO,YES,active_database_only
EA2027,NO,NO,YES,active_database_only
EA2028,NO,NO,YES,active_database_only
EA2029,NO,NO,YES,active_database_only
EA2030,NO,NO,YES,active_database_only
EA2033,NO,YES,YES,draw_only
EA2034,NO,YES,YES,draw_only
EA2035,NO,YES,NO,draw_only
EA2036,NO,YES,YES,draw_only
EA2037,NO,YES,YES,draw_only
EA2038,NO,YES,YES,draw_only
EA2039,NO,NO,YES,active_database_only
EA2040,NO,NO,YES,active_database_only
EA2041,NO,NO,YES,active_database_only
EA2045,NO,NO,YES,active_database_only
EA2046,NO,NO,YES,active_database_only
EB1000,NO,NO,YES,active_database_only
EB1001,NO,NO,YES,active_database_only
EB1002,NO,NO,YES,active_database_only
EB1003,NO,NO,YES,active_database_only
EB1004,NO,NO,YES,active_database_only
EB1005,NO,NO,YES,active_database_only
EB1007,NO,NO,YES,active_database_only
EB1009,NO,NO,YES,active_database_only
EB1010,NO,NO,YES,active_database_only
EB1011,NO,NO,YES,active_database_only
EB1012,NO,NO,YES,active_database_only
EB3000,YES,YES,YES,both
EB3002,YES,YES,YES,both
EB3003,YES,YES,YES,both
EB3005,YES,YES,YES,both
EB3006,YES,YES,YES,both
EB3008,YES,YES,YES,both
EB3009,YES,YES,YES,both
EB3010,YES,YES,YES,both
EB3011,YES,YES,YES,both
EB3013,YES,YES,YES,both
EB3015,YES,YES,YES,both
EB3018,YES,YES,YES,both
EB3019,YES,YES,YES,both
EB3020,YES,YES,YES,both
EB3022,YES,YES,YES,both
EB3024,YES,YES,YES,both
EB3025,YES,YES,YES,both
EB3028,YES,YES,YES,both
EB3031,YES,YES,YES,both
EB3032,YES,YES,YES,both
EB3033,YES,YES,YES,both
EB3036,YES,YES,YES,both
EB3037,YES,YES,YES,both
EB3038,YES,YES,YES,both
EB3039,YES,YES,YES,both
EB3042,YES,YES,YES,both
EB3043,YES,YES,YES,both
EB3044,YES,YES,YES,both
EB3045,YES,YES,YES,both
EB3046,YES,YES,YES,both
EB3047,YES,YES,YES,both
EB3048,YES,YES,YES,both
EB3049,YES,YES,YES,both
EB3050,YES,YES,YES,both
EB3053,YES,YES,YES,both
EB3056,YES,YES,YES,both
EB3057,YES,YES,YES,both
EB3063,YES,YES,YES,both
EB3064,YES,YES,YES,both
EB3065,YES,YES,YES,both
EB3066,YES,YES,YES,both
EB3067,YES,YES,YES,both
EB3068,YES,YES,YES,both
EB3069,YES,YES,YES,both
EB3072,YES,YES,YES,both
EB3073,YES,YES,YES,both
EB3077,YES,YES,YES,both
EB3079,YES,YES,YES,both
EB3081,YES,YES,YES,both
EB3083,YES,YES,YES,both
EB3084,YES,YES,YES,both
EB3086,YES,YES,YES,both
EB3087,YES,YES,YES,both
EB3088,YES,YES,YES,both
EB3089,YES,YES,YES,both
EB3091,YES,YES,YES,both
EB3093,YES,YES,YES,both
EB3096,YES,YES,YES,both
EB3097,YES,YES,YES,both
EB3098,YES,YES,YES,both
EB3100,YES,YES,YES,both
EB3102,YES,YES,YES,both
EB3104,YES,YES,YES,both
EB3105,YES,YES,YES,both
EB3107,YES,YES,YES,both
EB3108,YES,YES,YES,both
EB3110,YES,YES,YES,both
EB3111,YES,YES,YES,both
EB3112,YES,YES,YES,both
EB3113,YES,YES,YES,both
EB3115,YES,YES,YES,both
EB3117,YES,YES,YES,both
EB3120,YES,YES,YES,both
EB3121,YES,YES,YES,both
EB3122,YES,YES,YES,both
EB3124,YES,YES,YES,both
EB3126,YES,YES,YES,both
EB3127,YES,YES,YES,both
EB3128,NO,NO,YES,active_database_only
EB3130,YES,YES,YES,both
EB3132,YES,YES,YES,both
EB3135,YES,YES,YES,both
EB3136,YES,YES,YES,both
EB3137,YES,YES,YES,both
EB3139,YES,YES,YES,both
EB3142,YES,YES,YES,both
EB3143,YES,YES,YES,both
EB3144,YES,YES,YES,both
EB3145,YES,YES,YES,both
EB3146,YES,YES,YES,both
EB3147,YES,YES,YES,both
EB3148,YES,YES,YES,both
EB3149,YES,YES,YES,both
EB3150,YES,YES,YES,both
EB3151,YES,YES,YES,both
EB3152,YES,YES,YES,both
EB3153,YES,YES,YES,both
EB3154,YES,YES,YES,both
EB3155,YES,YES,YES,both
EB3156,YES,YES,YES,both
EB3157,YES,YES,YES,both
EB3158,YES,YES,YES,both
EB3159,YES,YES,YES,both
EB3160,YES,YES,YES,both
EB3161,YES,YES,YES,both
EB3162,YES,YES,YES,both
EB3163,YES,YES,YES,both
EB3164,YES,YES,YES,both
EB3165,YES,YES,YES,both
EB3166,YES,YES,YES,both
EB3167,YES,YES,YES,both
EB3168,YES,YES,YES,both
EB3169,YES,YES,YES,both
EB3170,YES,YES,YES,both
EB3171,YES,YES,YES,both
EB3172,YES,YES,YES,both
EB3173,YES,YES,YES,both
EB3174,YES,YES,YES,both
EB3175,YES,YES,YES,both
EB3176,YES,YES,YES,both
EB3177,YES,YES,YES,both
EB3178,YES,YES,YES,both
EB3179,YES,YES,YES,both
EB3180,YES,YES,YES,both
EB3181,YES,YES,YES,both
EB3182,YES,YES,YES,both
EB3183,YES,YES,YES,both
EB3184,YES,YES,YES,both
EB3185,YES,YES,YES,both
EB3186,YES,YES,YES,both
EB3187,YES,YES,YES,both
EB3188,YES,YES,YES,both
EB3189,YES,YES,YES,both
EB3190,YES,YES,YES,both
EB3191,YES,YES,YES,both
EB3192,YES,YES,YES,both
EB3193,YES,YES,YES,both
EB3194,YES,YES,YES,both
EB3195,YES,YES,YES,both
EB3196,YES,YES,YES,both
EB3197,YES,YES,YES,both
EB3198,YES,YES,YES,both
EB3199,YES,YES,YES,both
EB3205,NO,NO,YES,active_database_only
EB3208,NO,NO,YES,active_database_only
EB3209,NO,NO,YES,active_database_only
EB3210,NO,NO,YES,active_database_only
EB3500,YES,YES,YES,both
EB3501,YES,YES,YES,both
EB3502,YES,YES,YES,both
EB3503,YES,YES,YES,both
EB3504,YES,YES,YES,both
EB3505,YES,YES,YES,both
EB3506,YES,YES,YES,both
EB3508,YES,YES,YES,both
EB3509,YES,YES,YES,both
EB3510,YES,YES,NO,both
EB3511,YES,YES,YES,both
EB3514,YES,YES,YES,both
EB3515,YES,YES,YES,both
EB3516,YES,YES,YES,both
EB3517,YES,YES,YES,both
EB3519,YES,YES,YES,both
EB3520,YES,YES,YES,both
EB3521,YES,YES,YES,both
EB3522,YES,YES,YES,both
EB3523,YES,YES,YES,both
EB3524,YES,YES,YES,both
EB3525,YES,YES,YES,both
EB3526,YES,YES,YES,both
EB3527,YES,YES,YES,both
EB3528,YES,YES,YES,both
EB3529,YES,YES,YES,both
EB3530,YES,YES,YES,both
EB3531,YES,YES,YES,both
EB3532,YES,YES,YES,both
EB3533,YES,YES,YES,both
EB3534,YES,YES,YES,both
EB3536,YES,YES,YES,both
EB3538,YES,YES,YES,both
EB3540,YES,YES,YES,both
EB3541,YES,YES,YES,both
EB3542,YES,YES,NO,both
EB3543,YES,YES,YES,both
EB3544,YES,YES,YES,both
EB3545,YES,YES,YES,both
EB3546,YES,YES,YES,both
EB3547,YES,YES,YES,both
EB3548,YES,YES,YES,both
EB3549,YES,YES,YES,both
EB3550,YES,YES,YES,both
EB3551,YES,YES,YES,both
EB3552,YES,YES,YES,both
EB3553,YES,YES,YES,both
EB3554,YES,YES,YES,both
EB3555,YES,YES,YES,both
EB3557,YES,YES,YES,both
EB3558,YES,YES,YES,both
EB3559,YES,YES,YES,both
EB3561,YES,YES,NO,both
EB3562,YES,YES,YES,both
EB3563,YES,YES,NO,both
EB3564,YES,YES,YES,both
EB3565,YES,YES,YES,both
EB3603,YES,YES,YES,both
EB3604,YES,YES,YES,both
EB3606,YES,YES,YES,both
EB3607,YES,YES,YES,both
EB3608,YES,YES,YES,both
EB3609,YES,YES,NO,both
EB3610,YES,YES,YES,both
EB3611,YES,YES,YES,both
EB3612,YES,YES,NO,both
EB3613,YES,YES,YES,both
EB3614,YES,YES,YES,both
EB3616,YES,YES,NO,both
EB3619,NO,NO,YES,active_database_only
EB3620,NO,NO,YES,active_database_only
EL3000,NO,NO,YES,active_database_only
EL3002,NO,NO,YES,active_database_only
EL3003,NO,NO,YES,active_database_only
EL3005,NO,NO,YES,active_database_only
EL3006,NO,NO,YES,active_database_only
EL3008,NO,NO,YES,active_database_only
EL3009,NO,NO,YES,active_database_only
EL3010,NO,NO,YES,active_database_only
EL3011,NO,NO,YES,active_database_only
EL3013,NO,NO,YES,active_database_only
EL3015,NO,NO,YES,active_database_only
EL3018,NO,NO,YES,active_database_only
EL3019,NO,NO,YES,active_database_only
EL3020,NO,NO,YES,active_database_only
EL3022,NO,NO,YES,active_database_only
EL3024,NO,NO,YES,active_database_only
EL3025,NO,NO,YES,active_database_only
EL3028,NO,NO,YES,active_database_only
EL3031,NO,NO,YES,active_database_only
EL3032,NO,NO,YES,active_database_only
EL3033,NO,NO,YES,active_database_only
EL3036,NO,NO,YES,active_database_only
EL3037,NO,NO,YES,active_database_only
EL3038,NO,NO,YES,active_database_only
EL3039,NO,NO,YES,active_database_only
EL3042,NO,NO,YES,active_database_only
EL3043,NO,NO,YES,active_database_only
EL3044,NO,NO,YES,active_database_only
EL3045,NO,NO,YES,active_database_only
EL3046,NO,NO,YES,active_database_only
EL3047,NO,NO,YES,active_database_only
EL3048,NO,NO,YES,active_database_only
EL3049,NO,NO,YES,active_database_only
EL3050,NO,NO,YES,active_database_only
EL3053,NO,NO,YES,active_database_only
EL3056,NO,NO,YES,active_database_only
EL3057,NO,NO,YES,active_database_only
EL3063,NO,NO,YES,active_database_only
EL3064,NO,NO,YES,active_database_only
EL3065,NO,NO,YES,active_database_only
EL3066,NO,NO,YES,active_database_only
EL3067,NO,NO,YES,active_database_only
EL3068,NO,NO,YES,active_database_only
EL3069,NO,NO,YES,active_database_only
EL3072,NO,NO,YES,active_database_only
EL3073,NO,NO,YES,active_database_only
EL3077,NO,NO,YES,active_database_only
EL3079,NO,NO,YES,active_database_only
EL3081,NO,NO,YES,active_database_only
EL3083,NO,NO,YES,active_database_only
EL3084,NO,NO,YES,active_database_only
EL3086,NO,NO,YES,active_database_only
EL3087,NO,NO,YES,active_database_only
EL3088,NO,NO,YES,active_database_only
EL3089,NO,NO,YES,active_database_only
EL3091,NO,NO,YES,active_database_only
EL3093,NO,NO,YES,active_database_only
EL3096,NO,NO,YES,active_database_only
EL3097,NO,NO,YES,active_database_only
EL3098,NO,NO,YES,active_database_only
EL3100,NO,NO,YES,active_database_only
EL3126,NO,NO,YES,active_database_only
EL3127,NO,NO,YES,active_database_only
EL3130,NO,NO,YES,active_database_only
EL3132,NO,NO,YES,active_database_only
EL3135,NO,NO,YES,active_database_only
EL3136,NO,NO,YES,active_database_only
EL3137,NO,NO,YES,active_database_only
EL3139,NO,NO,YES,active_database_only
EL3142,NO,NO,YES,active_database_only
EL3143,NO,NO,YES,active_database_only
EL3144,NO,NO,YES,active_database_only
EL3145,NO,NO,YES,active_database_only
EL3146,NO,NO,YES,active_database_only
EL3147,NO,NO,YES,active_database_only
EL3148,NO,NO,YES,active_database_only
EL3149,NO,NO,YES,active_database_only
EL3150,NO,NO,YES,active_database_only
EL3151,NO,NO,YES,active_database_only
EL3152,NO,NO,YES,active_database_only
EL3153,NO,NO,YES,active_database_only
EL3154,NO,NO,YES,active_database_only
EL3155,NO,NO,YES,active_database_only
EL3158,NO,NO,YES,active_database_only
EL3159,NO,NO,YES,active_database_only
EL3160,NO,NO,YES,active_database_only
EL3161,NO,NO,YES,active_database_only
EL3162,NO,NO,YES,active_database_only
EL3163,NO,NO,YES,active_database_only
EL3164,NO,NO,YES,active_database_only
EL3166,NO,NO,YES,active_database_only
EL3167,NO,NO,YES,active_database_only
EL3168,NO,NO,YES,active_database_only
EL3169,NO,NO,YES,active_database_only
EL3170,NO,NO,YES,active_database_only
EL3171,NO,NO,YES,active_database_only
EL3172,NO,NO,YES,active_database_only
EL3173,NO,NO,YES,active_database_only
EL3174,NO,NO,YES,active_database_only
EL3175,NO,NO,YES,active_database_only
EL3176,NO,NO,YES,active_database_only
EL3177,NO,NO,YES,active_database_only
EL3179,NO,NO,YES,active_database_only
EL3180,NO,NO,YES,active_database_only
EL3181,NO,NO,YES,active_database_only
EL3182,NO,NO,YES,active_database_only
EL3183,NO,NO,YES,active_database_only
EL3184,NO,NO,YES,active_database_only
EL3185,NO,NO,YES,active_database_only
EL3186,NO,NO,YES,active_database_only
EL3187,NO,NO,YES,active_database_only
EL3188,NO,NO,YES,active_database_only
EL3189,NO,NO,YES,active_database_only
EL3190,NO,NO,YES,active_database_only
EL3191,NO,NO,YES,active_database_only
EL3192,NO,NO,YES,active_database_only
EL3193,NO,NO,YES,active_database_only
EL3194,NO,NO,YES,active_database_only
EL3195,NO,NO,YES,active_database_only
EL3196,NO,NO,YES,active_database_only
EL3197,NO,NO,YES,active_database_only
EL3198,NO,NO,YES,active_database_only
EL3199,NO,NO,YES,active_database_only
EL3205,NO,NO,YES,active_database_only
EL3208,NO,NO,YES,active_database_only
EL3210,NO,NO,YES,active_database_only
EX1000,NO,NO,YES,active_database_only
GO1000,NO,NO,YES,active_database_only
GO6800,YES,YES,YES,both
GO6801,YES,YES,YES,both
GO6803,YES,YES,YES,both
GO6804,YES,YES,YES,both
GO6805,YES,YES,YES,both
GO6806,YES,YES,YES,both
GO6807,YES,YES,YES,both
GO6808,YES,YES,YES,both
GO6810,YES,YES,YES,both
GO6813,YES,YES,YES,both
GO6814,YES,YES,YES,both
GO6817,YES,YES,YES,both
GO6818,YES,YES,YES,both
GO6819,YES,YES,YES,both
GO6820,YES,YES,YES,both
GO6821,YES,YES,YES,both
GO6822,YES,YES,YES,both
LD1001,NO,NO,YES,active_database_only
LD1004,NO,NO,YES,active_database_only
LD1006,NO,NO,YES,active_database_only
LD1019,NO,NO,YES,active_database_only
LD1023,NO,NO,YES,active_database_only
LD1108,NO,NO,YES,active_database_only
LO0008,NO,NO,YES,active_database_only
LO0009,NO,NO,YES,active_database_only
LO0010,NO,NO,YES,active_database_only
LO0011,NO,NO,YES,active_database_only
LO0012,NO,NO,YES,active_database_only
LO0013,NO,NO,YES,active_database_only
LO0014,NO,NO,YES,active_database_only
LO0015,NO,NO,YES,active_database_only
LO1501,NO,NO,YES,active_database_only
LO1502,NO,NO,YES,active_database_only
LO1503,NO,NO,YES,active_database_only
LO1504,NO,NO,YES,active_database_only
LO1506,NO,NO,YES,active_database_only
LO1508,NO,NO,YES,active_database_only
LO1509,NO,NO,YES,active_database_only
LO1510,NO,NO,YES,active_database_only
LO1511,NO,NO,YES,active_database_only
LO1512,NO,NO,YES,active_database_only
LO1513,NO,NO,YES,active_database_only
LO1514,NO,NO,YES,active_database_only
LO1516,NO,NO,YES,active_database_only
LO1517,NO,NO,YES,active_database_only
LO1518,NO,NO,YES,active_database_only
LO1519,NO,NO,YES,active_database_only
LO1521,NO,NO,YES,active_database_only
LO1522,NO,NO,YES,active_database_only
LO1523,NO,NO,YES,active_database_only
LO1524,NO,NO,YES,active_database_only
LO1525,NO,NO,YES,active_database_only
LO1526,NO,NO,YES,active_database_only
LO1529,NO,NO,YES,active_database_only
LO1531,NO,NO,YES,active_database_only
LO1533,NO,NO,YES,active_database_only
LO1534,NO,NO,YES,active_database_only
LO1536,NO,NO,YES,active_database_only
LO1538,NO,NO,YES,active_database_only
LO1539,NO,NO,YES,active_database_only
LO1540,NO,NO,YES,active_database_only
LO1541,NO,NO,YES,active_database_only
LO1542,NO,NO,YES,active_database_only
LO1543,NO,NO,YES,active_database_only
LO1544,NO,NO,YES,active_database_only
LO1546,NO,NO,YES,active_database_only
LO1547,NO,NO,YES,active_database_only
LO1549,NO,NO,YES,active_database_only
LO1551,NO,NO,YES,active_database_only
LO1552,NO,NO,YES,active_database_only
LO1553,NO,NO,YES,active_database_only
LO1554,NO,NO,YES,active_database_only
LO1555,NO,NO,YES,active_database_only
LO1556,NO,NO,YES,active_database_only
LO1559,NO,NO,YES,active_database_only
LO1561,NO,NO,YES,active_database_only
LO1563,NO,NO,YES,active_database_only
LO1564,NO,NO,YES,active_database_only
LO1566,NO,NO,YES,active_database_only
LO1568,NO,NO,YES,active_database_only
LO1569,NO,NO,YES,active_database_only
LO1570,NO,NO,YES,active_database_only
LO1571,NO,NO,YES,active_database_only
LO1572,NO,NO,YES,active_database_only
LO1573,NO,NO,YES,active_database_only
LO1574,NO,NO,YES,active_database_only
LO1576,NO,NO,YES,active_database_only
LO1577,NO,NO,YES,active_database_only
LO1579,NO,NO,YES,active_database_only
LO1581,NO,NO,YES,active_database_only
LO1582,NO,NO,YES,active_database_only
LO1583,NO,NO,YES,active_database_only
LO1584,NO,NO,YES,active_database_only
LO1585,NO,NO,YES,active_database_only
LO1586,NO,NO,YES,active_database_only
LO1589,NO,NO,YES,active_database_only
LO1591,NO,NO,YES,active_database_only
LO1592,NO,NO,YES,active_database_only
LO1593,NO,NO,YES,active_database_only
LO1594,NO,NO,YES,active_database_only
LO1595,NO,NO,YES,active_database_only
LO1596,NO,NO,YES,active_database_only
LO1597,NO,NO,YES,active_database_only
LO1598,NO,NO,YES,active_database_only
LO1599,NO,NO,YES,active_database_only
LO1600,NO,NO,YES,active_database_only
LO1601,NO,NO,YES,active_database_only
LO1602,NO,NO,YES,active_database_only
LO1603,NO,NO,YES,active_database_only
LO1604,NO,NO,YES,active_database_only
LO1605,NO,NO,YES,active_database_only
LO1606,NO,NO,YES,active_database_only
LO1607,NO,NO,YES,active_database_only
LO1608,NO,NO,YES,active_database_only
LO1609,NO,NO,YES,active_database_only
LO1610,NO,NO,YES,active_database_only
LO1611,NO,NO,YES,active_database_only
LO1612,NO,NO,YES,active_database_only
LO1613,NO,NO,YES,active_database_only
LO1614,NO,NO,YES,active_database_only
LO1615,NO,NO,YES,active_database_only
LO1616,NO,NO,YES,active_database_only
LO1617,NO,NO,YES,active_database_only
LO1618,NO,NO,YES,active_database_only
LO1619,NO,NO,YES,active_database_only
LO1620,NO,NO,YES,active_database_only
LO1621,NO,NO,YES,active_database_only
LO1622,NO,NO,YES,active_database_only
LO1623,NO,NO,YES,active_database_only
LO1624,NO,NO,YES,active_database_only
LO1625,NO,NO,YES,active_database_only
LO1627,NO,NO,YES,active_database_only
LO1628,NO,NO,YES,active_database_only
LO1629,NO,NO,YES,active_database_only
LO1630,NO,NO,YES,active_database_only
LO1631,NO,NO,YES,active_database_only
LP5025,NO,NO,YES,active_database_only
LP5031,NO,NO,YES,active_database_only
LP5033,NO,NO,YES,active_database_only
LP5046,NO,NO,YES,active_database_only
LP5049,NO,NO,YES,active_database_only
LP5051,NO,NO,YES,active_database_only
MA1000,NO,YES,NO,draw_only
MA1005,NO,YES,YES,draw_only
MA1006,NO,YES,NO,draw_only
MA1007,NO,NO,YES,active_database_only
MA1008,NO,NO,YES,active_database_only
MA1009,NO,NO,YES,active_database_only
MA1010,NO,NO,YES,active_database_only
MB1000,NO,NO,YES,active_database_only
MB6000,YES,YES,YES,both
MB6001,YES,YES,YES,both
MB6002,YES,YES,YES,both
MB6003,YES,YES,YES,both
MB6004,YES,YES,YES,both
MB6005,YES,YES,YES,both
MB6006,YES,YES,YES,both
MB6007,YES,YES,YES,both
MB6008,YES,YES,YES,both
MB6009,YES,YES,YES,both
MB6010,YES,YES,YES,both
MB6011,YES,YES,YES,both
MB6012,NO,NO,YES,active_database_only
MB6200,YES,NO,NO,harvest_only
MB6201,NO,NO,YES,active_database_only
MB6202,YES,YES,YES,both
MB6206,YES,YES,YES,both
MB6207,YES,YES,NO,both
MB6208,YES,YES,YES,both
MB6209,YES,NO,NO,harvest_only
MB6210,YES,YES,NO,both
MB6211,YES,YES,YES,both
MB6216,YES,NO,NO,harvest_only
MB6217,YES,NO,NO,harvest_only
MB6219,YES,YES,YES,both
MB6220,YES,NO,NO,harvest_only
MB6222,YES,YES,YES,both
MB6223,YES,YES,NO,both
MB6224,YES,YES,NO,both
MB6225,YES,YES,NO,both
MB6226,YES,YES,NO,both
MB6251,YES,YES,YES,both
MB6252,NO,YES,NO,draw_only
MB6254,YES,NO,NO,harvest_only
MB6256,YES,YES,YES,both
MB6257,YES,YES,NO,both
MB6258,YES,NO,YES,harvest_only
MB6259,YES,YES,NO,both
MB6262,YES,YES,YES,both
MB6265,NO,NO,YES,active_database_only
MB6266,NO,NO,YES,active_database_only
PB1000,NO,NO,YES,active_database_only
PB5000,YES,YES,YES,both
PB5001,YES,YES,YES,both
PB5002,YES,YES,YES,both
PB5003,YES,YES,YES,both
PB5004,YES,YES,YES,both
PB5005,YES,YES,YES,both
PB5006,YES,YES,YES,both
PB5008,YES,YES,YES,both
PB5009,YES,YES,YES,both
PB5011,YES,YES,YES,both
PB5012,YES,YES,YES,both
PB5013,YES,YES,YES,both
PB5015,YES,YES,YES,both
PB5016,YES,YES,YES,both
PB5017,YES,YES,YES,both
PB5018,YES,YES,YES,both
PB5019,YES,YES,YES,both
PB5020,YES,YES,YES,both
PB5021,YES,YES,YES,both
PB5024,YES,YES,YES,both
PB5025,YES,YES,YES,both
PB5026,YES,YES,YES,both
PB5027,YES,YES,YES,both
PB5028,YES,YES,YES,both
PB5029,YES,YES,YES,both
PB5030,YES,YES,YES,both
PB5031,YES,YES,YES,both
PB5032,YES,NO,NO,harvest_only
PB5033,YES,YES,YES,both
PB5034,YES,YES,YES,both
PB5035,YES,YES,YES,both
PB5037,YES,YES,YES,both
PB5038,YES,YES,YES,both
PB5039,YES,YES,YES,both
PB5040,YES,YES,YES,both
PB5041,YES,YES,YES,both
PB5042,YES,YES,YES,both
PB5044,YES,YES,YES,both
PB5045,YES,YES,YES,both
PB5046,YES,YES,YES,both
PB5047,YES,YES,YES,both
PB5048,YES,YES,YES,both
PB5049,YES,YES,YES,both
PB5050,YES,YES,YES,both
PB5051,YES,YES,YES,both
PB5052,YES,YES,YES,both
PB5053,YES,YES,YES,both
PB5054,YES,YES,YES,both
PB5055,YES,YES,YES,both
PB5056,YES,YES,YES,both
PB5059,YES,YES,YES,both
PB5060,YES,YES,YES,both
PB5061,YES,YES,YES,both
PB5062,YES,YES,YES,both
PB5065,YES,YES,YES,both
PB5066,YES,YES,YES,both
PB5072,YES,YES,YES,both
PB5073,YES,YES,YES,both
PB5074,YES,YES,YES,both
PB5075,YES,YES,YES,both
PB5076,YES,YES,YES,both
PB5077,YES,YES,YES,both
PB5078,YES,YES,YES,both
PB5079,NO,NO,YES,active_database_only
PB5080,NO,NO,YES,active_database_only
PB5300,YES,YES,YES,both
PB5302,YES,YES,YES,both
PB5303,YES,YES,NO,both
PB5305,YES,YES,YES,both
PB5306,YES,YES,YES,both
PB5307,YES,YES,NO,both
PB5309,YES,YES,YES,both
PB5311,YES,YES,YES,both
PB5312,YES,YES,YES,both
PB5313,YES,NO,NO,harvest_only
PB5314,YES,YES,YES,both
PB5315,YES,YES,YES,both
PB5325,YES,YES,YES,both
PB5326,YES,YES,YES,both
PB5327,YES,YES,YES,both
PB5328,YES,YES,YES,both
PB5329,YES,YES,YES,both
PB5330,YES,YES,YES,both
PB5331,YES,YES,YES,both
PB5332,YES,YES,YES,both
PB5337,YES,YES,YES,both
PB5338,YES,YES,YES,both
PB5339,YES,YES,YES,both
PB5341,YES,YES,NO,both
PB5342,YES,YES,YES,both
PB5345,NO,NO,YES,active_database_only
PB5346,NO,NO,YES,active_database_only
PD1000,NO,YES,YES,draw_only
PD1005,NO,YES,NO,draw_only
PD1012,NO,YES,YES,draw_only
PD1014,NO,YES,NO,draw_only
PD1016,NO,YES,NO,draw_only
PD1017,NO,YES,YES,draw_only
PD1025,NO,YES,NO,draw_only
PD1026,NO,YES,NO,draw_only
PD1031,NO,YES,YES,draw_only
PD1032,NO,YES,NO,draw_only
PD1033,NO,YES,YES,draw_only
PD1034,NO,YES,YES,draw_only
PD1035,NO,YES,YES,draw_only
PD1037,NO,YES,NO,draw_only
PD1038,NO,YES,NO,draw_only
PD1039,NO,NO,YES,active_database_only
PD1041,NO,YES,NO,draw_only
PD1043,NO,YES,YES,draw_only
PD1044,NO,YES,YES,draw_only
PD1047,NO,NO,YES,active_database_only
PD1048,NO,NO,YES,active_database_only
PD1049,NO,NO,YES,active_database_only
PD1050,NO,NO,YES,active_database_only
PD1051,NO,NO,YES,active_database_only
PD1052,NO,NO,YES,active_database_only
PD1053,NO,NO,YES,active_database_only
PD1054,NO,NO,YES,active_database_only
PD1055,NO,NO,YES,active_database_only
PD1056,NO,NO,YES,active_database_only
PD1057,NO,NO,YES,active_database_only
PD1058,NO,NO,YES,active_database_only
PD1059,NO,NO,YES,active_database_only
PD1060,NO,NO,YES,active_database_only
RE1000,NO,YES,YES,draw_only
RS0001,NO,NO,YES,active_database_only
RS1000,NO,NO,YES,active_database_only
RS1001,NO,NO,YES,active_database_only
RS1003,NO,NO,YES,active_database_only
RS1006,NO,NO,YES,active_database_only
RS6700,NO,NO,YES,active_database_only
RS6701,YES,YES,YES,both
RS6703,YES,YES,YES,both
RS6704,YES,YES,YES,both
RS6708,YES,YES,YES,both
RS6709,YES,YES,YES,both
RS6712,YES,YES,YES,both
RS6713,YES,YES,YES,both
RS6720,YES,YES,YES,both
RS6721,YES,YES,YES,both
RS6722,YES,YES,YES,both
RS6724,YES,YES,YES,both
RS6725,YES,YES,YES,both
RS6726,YES,YES,YES,both
RS6727,YES,YES,YES,both
TK0001,NO,NO,YES,active_database_only
TK1000,NO,NO,YES,active_database_only
TK1001,NO,NO,YES,active_database_only
TK1003,NO,NO,YES,active_database_only
TK1004,NO,NO,YES,active_database_only
TK1005,NO,NO,YES,active_database_only
TK1006,NO,NO,YES,active_database_only
TK1007,NO,NO,YES,active_database_only
TK1012,NO,NO,YES,active_database_only
TK1013,NO,NO,YES,active_database_only
TK1014,NO,NO,YES,active_database_only
TK1015,NO,NO,YES,active_database_only
TK1016,NO,NO,YES,active_database_only
TK1018,NO,NO,YES,active_database_only
TK1019,NO,NO,YES,active_database_only
TK1020,NO,NO,YES,active_database_only
TK1021,NO,NO,YES,active_database_only
TK1022,NO,NO,YES,active_database_only
