hunt_code,hunt_name,species,hunt_type,weapon,sex_type,boundary_id,in_2026_database_universe,has_2025_historical_permits,has_2026_current_permits,comparison_status,comparison_confidence,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permit_delta_total_exact_or_candidate,permit_delta_basis,mapped_2025_historical_codes,mapped_2025_historical_totals,mapped_2025_historical_total_sum_candidate,crosswalk_status,crosswalk_confidence,crosswalk_method,review_priority,review_reason
DB1045,"Fillmore, Oak Creek LE",Deer,Limited Entry,Multiseason,Buck,85,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1209,"Fillmore, Oak Creek LE",Elk,General Season,Any Legal Weapon,Antlerless,85,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,45,5,50,2025_DRAW_RESULTS_TABLES,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
LD1019,"Fillmore, Oak Creek LE - Private Land Only",Deer,Limited Entry - Private Land Only,Any Legal Weapon,Buck,85,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,Utah DWR Hunt Planner,,NOT_CALCULATED,DB1019,DB1019:32,32,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
EA2036,"Oquirrh-Stansbury, East",Elk,General Season,Any Legal Weapon,Antlerless,86,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,55,5,60,2025_DRAW_RESULTS_TABLES,63,7,70,2026_RAC_CURRENT_YEAR_ALLOTMENT,10,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7007,Fillmore Pahvant,Black Bear,Limited Entry - Spring,Any Legal Weapon,Either Sex,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7124,Fillmore Pahvant,Black Bear,Limited Entry - Summer,Any Legal Weapon,Either Sex,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7207,Fillmore Pahvant,Black Bear,Limited Entry - Fall,Any Legal Weapon,Either Sex,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1030,"Fillmore, Pahvant",Elk,General Season,Any Legal Weapon,Antlerless,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,45,5,50,2025_DRAW_RESULTS_TABLES,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1031,"Fillmore, Pahvant",Elk,General Season,Any Legal Weapon,Antlerless,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,45,5,50,2025_DRAW_RESULTS_TABLES,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA2039,"Fillmore, Pahvant",Elk,Private Lands Only,Any Legal Weapon,Antlerless,88,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,,,150,2026_RAC_CURRENT_YEAR_ALLOTMENT,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
EB3008,"Fillmore, Pahvant",Elk,Limited Entry,Archery,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,18,2,20,2025_DRAW_RESULTS_TABLES,19,2,21,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3042,"Fillmore, Pahvant",Elk,Limited Entry,Early Any Legal Weapon,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,8,1,9,2025_DRAW_RESULTS_TABLES,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3043,"Fillmore, Pahvant",Elk,Limited Entry,Late Any Legal Weapon,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,12,2,14,2025_DRAW_RESULTS_TABLES,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3086,"Fillmore, Pahvant",Elk,Limited Entry,Muzzleloader,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,12,1,13,2025_DRAW_RESULTS_TABLES,12,1,13,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3110,"Fillmore, Pahvant",Elk,Limited Entry,Multiseason,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,0,3,2025_DRAW_RESULTS_TABLES,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3180,"Fillmore, Pahvant",Elk,Limited Entry,Late Archery,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,13,2,15,2025_DRAW_RESULTS_TABLES,18,2,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3181,"Fillmore, Pahvant",Elk,Limited Entry,Mid Any Legal Weapon,Bull,88,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,22,3,25,2025_DRAW_RESULTS_TABLES,22,3,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EL3008,Fillmore Pahvant,Elk,Limited Entry - Private Land Only,Archery,Bull,88,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,16,,-4,CROSSWALK_CANDIDATE_SUM,EB3008,EB3008:20,20,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3042,Fillmore Pahvant,Elk,Limited Entry - Private Land Only,Any Legal Weapon,Bull,88,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,21,,12,CROSSWALK_CANDIDATE_SUM,EB3042,EB3042:9,9,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3043,Fillmore Pahvant,Elk,Limited Entry - Private Land Only,Any Legal Weapon,Bull,88,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,16,,2,CROSSWALK_CANDIDATE_SUM,EB3043,EB3043:14,14,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3086,Fillmore Pahvant,Elk,Limited Entry - Private Land Only,Muzzleloader,Bull,88,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,3,,-10,CROSSWALK_CANDIDATE_SUM,EB3086,EB3086:13,13,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3180,Fillmore Pahvant,Elk,Limited Entry - Private Land Only,Archery,Bull,88,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,14,,-1,CROSSWALK_CANDIDATE_SUM,EB3180,EB3180:15,15,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3181,Fillmore Pahvant,Elk,Limited Entry - Private Land Only,Any Legal Weapon,Bull,88,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,16,,-9,CROSSWALK_CANDIDATE_SUM,EB3181,EB3181:25,25,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
BR7017,Cache/Ogden,Black Bear,Limited Entry - Spring,Any Legal Weapon,Either Sex,92,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7121,Cache/Ogden,Black Bear,Limited Entry - Summer,Any Legal Weapon,Either Sex,92,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,0,4,2025_DRAW_RESULTS_TABLES,4,0,4,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7228,Cache/Ogden,Black Bear,Limited Entry - Fall,Any Legal Weapon,Either Sex,92,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7320,Cache/Ogden,Black Bear,Limited Entry - Multiseason,Multiseason,Either Sex,92,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,0,4,2025_DRAW_RESULTS_TABLES,4,0,4,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Limited Entry - Summer,Any Legal Weapon,Either Sex,93,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,7,0,7,2025_DRAW_RESULTS_TABLES,7,0,7,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6503,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Hunters Choice,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,2,6,2025_DRAW_RESULTS_TABLES,4,2,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6504,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Hunters Choice,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,2,7,2025_DRAW_RESULTS_TABLES,5,2,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6505,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Female Only,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,25,3,28,2025_DRAW_RESULTS_TABLES,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,-17,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6506,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Female Only,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,30,0,30,2025_DRAW_RESULTS_TABLES,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,-19,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6509,Henry Mtns,Bison,Once-in-a-lifetime,Archery,Hunters Choice,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,0,4,2025_DRAW_RESULTS_TABLES,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6516,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Hunters Choice,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,0,5,2025_DRAW_RESULTS_TABLES,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BI6539,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Female Only,94,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
DB1000,Henry Mtns Premium,Deer,Premium Limited Entry,Archery,Buck,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,8,1,9,2025_DRAW_RESULTS_TABLES,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1003,Henry Mtns Premium,Deer,Premium Limited Entry,Any Legal Weapon,Buck,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,21,3,24,2025_DRAW_RESULTS_TABLES,24,3,27,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1005,Henry Mtns Premium,Deer,Premium Limited Entry,Muzzleloader,Buck,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,8,1,9,2025_DRAW_RESULTS_TABLES,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1007,Henry Mtns Premium,Deer,Premium Limited Entry,Multiseason,Buck,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1009,Henry Mtns Management,Deer,Premium Limited Entry,Any Legal Weapon,Buck,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,10,1,11,2025_DRAW_RESULTS_TABLES,10,1,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DS6600,Henry Mtns,Desert Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,94,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,0,3,2025_DRAW_RESULTS_TABLES,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1077,Boulder-Circle Cliffs,Elk,General Season,Any Legal Weapon,Antlerless,96,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,27,3,30,2025_DRAW_RESULTS_TABLES,27,3,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5034,Kaiparowits,Pronghorn,Limited Entry,Any Legal Weapon,Buck,97,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,Conservation,Any Legal Weapon,Male Only,98,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,MEDIUM,,,,,1,0,1,Utah DWR 2025-2027 Conservation Permit Database,-10,CROSSWALK_CANDIDATE_SUM,DS6601,DS6601:11,11,PROMOTED_PINNED_CANDIDATE,MEDIUM,pinned_candidate,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
DS6601,"Kaiparowits, East",Desert Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,98,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,9,2,11,2025_DRAW_RESULTS_TABLES,10,3,13,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,Conservation,Any Legal Weapon,Male Only,100,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,MEDIUM,,,,,1,0,1,Utah DWR 2025-2027 Conservation Permit Database,-4,CROSSWALK_CANDIDATE_SUM,DS6603,DS6603:5,5,PROMOTED_PINNED_CANDIDATE,MEDIUM,pinned_candidate,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
DS6603,"Kaiparowits, West",Desert Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,100,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,1,5,2025_DRAW_RESULTS_TABLES,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,-1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
GO6804,High Uintas Kamas,Mountain Goat,Once-in-a-lifetime,Any Legal Weapon,Either Sex,102,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1035,"Kamas, Oakley",Elk,General Season,Any Legal Weapon,Antlerless,104,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,107,8,115,2025_DRAW_RESULTS_TABLES,90,10,100,2026_RAC_CURRENT_YEAR_ALLOTMENT,-15,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1207,"Nebo, Moroni Hills",Elk,General Season,Any Legal Weapon,Antlerless,107,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,9,1,10,2025_DRAW_RESULTS_TABLES,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1226,"Nebo, Moroni Hills",Elk,General Season,Any Legal Weapon,Antlerless,107,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,8,1,9,2025_DRAW_RESULTS_TABLES,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7021,Dolores Triangle,Black Bear,Limited Entry - Spring,Any Legal Weapon,Either Sex,108,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,2,0,2,,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
BR7126,Dolores Triangle,Black Bear,Limited Entry - Summer,Any Legal Weapon,Either Sex,108,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,6,0,6,,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
BR7238,Dolores Triangle,Black Bear,Limited Entry - Fall,Any Legal Weapon,Either Sex,108,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,2,0,2,,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
DB1013,Dolores Triangle,Deer,Limited Entry,Archery,Buck,108,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,0,4,2025_DRAW_RESULTS_TABLES,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1020,Dolores Triangle,Deer,Limited Entry,Any Legal Weapon,Buck,108,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,11,1,12,2025_DRAW_RESULTS_TABLES,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1031,Dolores Triangle,Deer,Limited Entry,Muzzleloader,Buck,108,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,0,4,2025_DRAW_RESULTS_TABLES,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1118,Dolores Triangle,Deer,Conservation,Multiseason,Buck,108,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,,,NOT_CALCULATED,,,,,,,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
EA1037,Dolores Triangle,Elk,General Season,Any Legal Weapon,Antlerless,108,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,44,6,50,2025_DRAW_RESULTS_TABLES,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3044,Dolores Triangle,Elk,Limited Entry,Late Any Legal Weapon,Bull,108,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,6,1,7,2025_DRAW_RESULTS_TABLES,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EL3044,La Sal Dolores Triangle,Elk,Limited Entry - Private Land Only,Any Legal Weapon,Bull,108,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,31,,24,CROSSWALK_CANDIDATE_SUM,EB3044,EB3044:7,7,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
PD1033,"San Rafael, Poison Springs Bench",Pronghorn,General Season,Any Legal Weapon,Doe,110,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,13,2,15,2025_DRAW_RESULTS_TABLES,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1003,"Monroe/Plateau, Sevier Valley",Deer,General Season,"Archery, Muzzleloader, Shotgun",Antlerless,115,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,14,1,15,2025_DRAW_RESULTS_TABLES,,,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1231,"West Desert, Tintic Valley",Elk,General Season,Any Legal Weapon,Antlerless,116,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,46,4,50,2025_DRAW_RESULTS_TABLES,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA2019,"West Desert, Tintic Valley",Elk,Private Lands Only,Any Legal Weapon,Antlerless,116,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,,,60,2026_RAC_CURRENT_YEAR_ALLOTMENT,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
DB1103,Morgan-South Rich,Deer,Limited Entry,Muzzleloader,Buck,117,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,7,0,7,2025_DRAW_RESULTS_TABLES,7,1,8,,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1607,Morgan-South Rich,Deer,General Season,Any Legal Weapon (Late),Buck,117,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,610,11,621,2025_DRAW_RESULTS_TABLES,,,640,,19,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1608,Morgan-South Rich,Deer,General Season,Archery,Buck,117,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,176,4,180,2025_DRAW_RESULTS_TABLES,,,320,,140,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1609,Morgan-South Rich,Deer,General Season,Any Legal Weapon (Early),Buck,117,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,226,4,230,2025_DRAW_RESULTS_TABLES,,,320,,90,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1610,Morgan-South Rich,Deer,General Season,Muzzleloader,Buck,117,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,87,0,87,2025_DRAW_RESULTS_TABLES,,,320,,233,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
