hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line,database_status,database_hunt_name,database_species,database_season,name_overlap_score,name_status,season_status,difference_severity,difference_reason
DB1091,53,BUCK_DEER_HUNT_TABLES,Deer,Kaiparowits HAMSS,Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,Kaiparowits HAMSS DB1091 Nov. 7-Nov. 30,MATCHED,HAMSS,Deer,Nov 07 2026 - Nov 30 2026,0.5,MATCH,MATCH,OK,
DB1100,52,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Chalk Creek DB1100 Oct. 28-Nov. 5,MATCHED,Chalk Creek,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1101,52,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,East Canyon DB1101 Oct. 28-Nov. 5,MATCHED,East Canyon,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1103,52,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Morgan-South Rich DB1103 Oct. 28-Nov. 5,MATCHED,Morgan-South Rich,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1105,53,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,East Canyon DB1105 Nov. 7-Nov. 30,MATCHED,HAMSS,Deer,Nov 07 2026 - Nov 30 2026,0.0,REVIEW,MATCH,WARNING,NAME_NEEDS_REVIEW
DB1106,50,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Thousand Lakes DB1106 Aug. 15-Sept. 11,MATCHED,Thousand Lakes,Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1107,51,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Thousand Lakes DB1107 Sept. 23-Oct. 1,MATCHED,Thousand Lakes,Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1108,51,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Thousand Lakes DB1108 Oct. 17-Oct. 25,MATCHED,Thousand Lakes,Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1109,53,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,All limited-entry seasons,All limited-entry seasons,,,Thousand Lakes DB1109 All limited-entry seasons,MATCHED,Thousand Lakes,Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1110,52,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Beaver, East DB1110 Oct. 28-Nov. 5",MATCHED,"Beaver, East",Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1111,52,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Beaver, West DB1111 Oct. 28-Nov. 5",MATCHED,"Beaver, West",Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1112,53,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"West Desert, Swasey DB1112 Oct. 28-Nov. 5",MATCHED,"West Desert, Swasey",Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1113,52,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Oquirrh/Tintic DB1113 Oct. 28-Nov. 5,MATCHED,Oquirrh/Tintic,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1114,52,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Cedar/Stansbury DB1114 Oct. 28-Nov. 5,MATCHED,Cedar/Stansbury,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1115,51,BUCK_DEER_HUNT_TABLES,Deer,Little Rockies,Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,Little Rockies DB1115 Nov. 7-Nov. 30,MATCHED,Little Rockies,Deer,Nov 07 2026 - Nov 30 2026,1.0,MATCH,MATCH,OK,
DB1116,53,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Mancos Mesa",Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,"San Juan, Mancos Mesa DB1116 Nov. 7-Nov. 30",MATCHED,HAMSS,Deer,Nov 07 2026 - Nov 30 2026,0.0,REVIEW,MATCH,WARNING,NAME_NEEDS_REVIEW
DB1119,51,BUCK_DEER_HUNT_TABLES,Deer,Moab Valley,Nov. 7-Nov. 22,Nov. 7-Nov. 22,,,Moab Valley DB1119 Nov. 7-Nov. 22,MATCHED,Moab Valley,Deer,Nov 07 2026 - Nov 22 2026,1.0,MATCH,MATCH,OK,
DB1120,51,BUCK_DEER_HUNT_TABLES,Deer,Castle Valley,Nov. 7-Nov. 22,Nov. 7-Nov. 22,,,Castle Valley DB1120 Nov. 7-Nov. 22,MATCHED,Castle Valley,Deer,Nov 07 2026 - Nov 22 2026,1.0,MATCH,MATCH,OK,
DB1121,50,BUCK_DEER_HUNT_TABLES,Deer,Antelope Island (any legal weapon) (new),Nov. 16-20,Nov. 16-20,,,Antelope Island (any legal weapon) (new) DB1121 Nov. 16-20,MATCHED,Antelope Island Management,Deer,"Nov 16 2026 - Nov 20, 2026",0.4,REVIEW,MATCH,WARNING,NAME_NEEDS_REVIEW
DB1200,69,CWMU_HUNT_TABLES,Deer,Alton,Kane 3,,Kane,3,Alton DB1200 Kane 3,MATCHED,Alton - Premium Buck CWMU,Deer,Contact operator for 2026 season dates,0.5,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1201,69,CWMU_HUNT_TABLES,Deer,Alton (management buck),Kane 1,,Kane,1,Alton (management buck) DB1201 Kane 1,MATCHED,Alton - Management Buck CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1202,70,CWMU_HUNT_TABLES,Deer,Antelope Creek,Duchesne 1,,Duchesne,1,Antelope Creek DB1202 Duchesne 1,MATCHED,Antelope Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1203,70,CWMU_HUNT_TABLES,Deer,Avintaquin Canyon,Duchesne 1,,Duchesne,1,Avintaquin Canyon DB1203 Duchesne 1,MATCHED,Avintaquin Canyon CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1204,70,CWMU_HUNT_TABLES,Deer,Bally Watts,Morgan 1,,Morgan,1,Bally Watts DB1204 Morgan 1,MATCHED,Bally Watts CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1205,70,CWMU_HUNT_TABLES,Deer,Bar J Ranch,Sevier 1,,Sevier,1,Bar J Ranch DB1205 Sevier 1,MATCHED,Bar J Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1206,70,CWMU_HUNT_TABLES,Deer,Bear Mountain,Sanpete 1,,Sanpete,1,Bear Mountain DB1206 Sanpete 1,MATCHED,Bear Mountain CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1207,70,CWMU_HUNT_TABLES,Deer,Bear Springs,Weber 1,,Weber,1,Bear Springs DB1207 Weber 1,MATCHED,Bear Springs CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1208,70,CWMU_HUNT_TABLES,Deer,Blackhawk,Carbon 2,,Carbon,2,Blackhawk DB1208 Carbon 2,MATCHED,Blackhawk CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1209,70,CWMU_HUNT_TABLES,Deer,Blind Springs,Box Elder 1,,Box Elder,1,Blind Springs DB1209 Box Elder 1,MATCHED,Blind Springs CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1211,70,CWMU_HUNT_TABLES,Deer,Blue Spring Hills,Box Elder 1,,Box Elder,1,Blue Spring Hills DB1211 Box Elder 1,MATCHED,Blue Spring Hills CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1212,70,CWMU_HUNT_TABLES,Deer,Bluebell,Cache 1,,Cache,1,Bluebell DB1212 Cache 1,MATCHED,Bluebell CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1213,70,CWMU_HUNT_TABLES,Deer,Boobe Hole,Sevier 2,,Sevier,2,Boobe Hole DB1213 Sevier 2,MATCHED,Boobe Hole CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1215,70,CWMU_HUNT_TABLES,Deer,Buckhorn Ranch,Duchesne/Wasatch 1,,Duchesne/Wasatch,1,Buckhorn Ranch DB1215 Duchesne/Wasatch 1,MATCHED,Buckhorn Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1216,70,CWMU_HUNT_TABLES,Deer,Castle Valley Outdoors,Emery 1,,Emery,1,Castle Valley Outdoors DB1216 Emery 1,MATCHED,Castle Valley Outdoors CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1217,70,CWMU_HUNT_TABLES,Deer,Causey Spring,Weber 1,,Weber,1,Causey Spring DB1217 Weber 1,MATCHED,Causey Spring CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1219,70,CWMU_HUNT_TABLES,Deer,Chimney Rock,Morgan/Summit 2,,Morgan/Summit,2,Chimney Rock DB1219 Morgan/Summit 2,MATCHED,Chimney Rock CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1222,70,CWMU_HUNT_TABLES,Deer,Coldwater Ranch,Cache 2,,Cache,2,Coldwater Ranch DB1222 Cache 2,MATCHED,Coldwater Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1224,70,CWMU_HUNT_TABLES,Deer,Cotton Thomas,Box Elder 1,,Box Elder,1,Cotton Thomas DB1224 Box Elder 1,MATCHED,Cotton Thomas CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1227,70,CWMU_HUNT_TABLES,Deer,Deer Haven,San Juan 2,,San Juan,2,Deer Haven DB1227 San Juan 2,MATCHED,Deer Haven CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1228,70,CWMU_HUNT_TABLES,Deer,Deseret,Morgan/Rich/Weber 13,,Morgan/Rich/Weber,13,Deseret DB1228 Morgan/Rich/Weber 13,MATCHED,Deseret CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1229,70,CWMU_HUNT_TABLES,Deer,Dilly Ranch,Box Elder 1,,Box Elder,1,Dilly Ranch DB1229 Box Elder 1,MATCHED,Dilly Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1230,70,CWMU_HUNT_TABLES,Deer,Double R Ranch,Wasatch 2,,Wasatch,2,Double R Ranch DB1230 Wasatch 2,MATCHED,Double R Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1231,70,CWMU_HUNT_TABLES,Deer,Dove Creek,Box Elder 2,,Box Elder,2,Dove Creek DB1231 Box Elder 2,MATCHED,Dove Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1232,71,CWMU_HUNT_TABLES,Deer,Durst Mountain,Morgan 2,,Morgan,2,Durst Mountain DB1232 Morgan 2,MATCHED,Durst Mountain CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1233,71,CWMU_HUNT_TABLES,Deer,East Fork Chalk Creek,Summit 4,,Summit,4,East Fork Chalk Creek DB1233 Summit 4,MATCHED,East Fork Chalk Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1234,71,CWMU_HUNT_TABLES,Deer,East Zion,Kane 1,,Kane,1,East Zion DB1234 Kane 1,MATCHED,East Zion CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1236,71,CWMU_HUNT_TABLES,Deer,Engineer Springs,Box Elder 1,,Box Elder,1,Engineer Springs DB1236 Box Elder 1,MATCHED,Engineer Springs CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1237,71,CWMU_HUNT_TABLES,Deer,Ensign Ranches,Morgan/Rich/Summit 3,,Morgan/Rich/Summit,3,Ensign Ranches DB1237 Morgan/Rich/Summit 3,MATCHED,Ensign Ranches CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1238,71,CWMU_HUNT_TABLES,Deer,Folley Ridge,Morgan 3,,Morgan,3,Folley Ridge DB1238 Morgan 3,MATCHED,Folley Ridge CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1239,71,CWMU_HUNT_TABLES,Deer,Fort Ranch,Box Elder 1,,Box Elder,1,Fort Ranch DB1239 Box Elder 1,MATCHED,Fort Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1240,71,CWMU_HUNT_TABLES,Deer,George Creek,Box Elder 1,,Box Elder,1,George Creek DB1240 Box Elder 1,MATCHED,George Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1241,71,CWMU_HUNT_TABLES,Deer,Golden Spike,Box Elder 1,,Box Elder,1,Golden Spike DB1241 Box Elder 1,MATCHED,Golden Spike CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1242,71,CWMU_HUNT_TABLES,Deer,Grass Valley/Clark Canyon,Summit 14,,Summit,14,Grass Valley/Clark Canyon DB1242 Summit 14,MATCHED,Grass Valley/Clark Canyon CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1243,71,CWMU_HUNT_TABLES,Deer,Grazing Pasture,Sevier 1,,Sevier,1,Grazing Pasture DB1243 Sevier 1,MATCHED,Grazing Pasture CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1244,71,CWMU_HUNT_TABLES,Deer,Green Canyon,Cache 1,,Cache,1,Green Canyon DB1244 Cache 1,MATCHED,Green Canyon CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1245,71,CWMU_HUNT_TABLES,Deer,Guildersleeve,Morgan 1,,Morgan,1,Guildersleeve DB1245 Morgan 1,MATCHED,Guildersleeve CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1246,71,CWMU_HUNT_TABLES,Deer,Hardscrabble,Davis/Morgan/Salt Lake 2,,Davis/Morgan/Salt Lake,2,Hardscrabble DB1246 Davis/Morgan/Salt Lake 2,MATCHED,Hardscrabble CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1248,71,CWMU_HUNT_TABLES,Deer,Heaston East,Salt Lake 2,,Salt Lake,2,Heaston East DB1248 Salt Lake 2,MATCHED,Heaston East CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1249,71,CWMU_HUNT_TABLES,Deer,Hiawatha,Carbon 1,,Carbon,1,Hiawatha DB1249 Carbon 1,MATCHED,Hiawatha CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1250,71,CWMU_HUNT_TABLES,Deer,Indian Creek,Box Elder 1,,Box Elder,1,Indian Creek DB1250 Box Elder 1,MATCHED,Indian Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1251,71,CWMU_HUNT_TABLES,Deer,Indian Head,Carbon/Duchesne/Utah 2,,Carbon/Duchesne/Utah,2,Indian Head DB1251 Carbon/Duchesne/Utah 2,MATCHED,Indian Head CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1252,71,CWMU_HUNT_TABLES,Deer,Ingham Peak,Box Elder 3,,Box Elder,3,Ingham Peak DB1252 Box Elder 3,MATCHED,Ingham Peak CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1253,70,CWMU_HUNT_TABLES,Deer,Circle E Ranch,Grand 1,,Grand,1,Circle E Ranch DB1253 Grand 1,MATCHED,Circle E Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1255,71,CWMU_HUNT_TABLES,Deer,Johnson Mountain Ranch,Sevier 1,,Sevier,1,Johnson Mountain Ranch DB1255 Sevier 1,MATCHED,Johnson Mountain Ranch CWMU,Deer,Contact operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1256,71,CWMU_HUNT_TABLES,Deer,Junction Valley,Box Elder 5,,Box Elder,5,Junction Valley DB1256 Box Elder 5,MATCHED,Junction Valley CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1258,71,CWMU_HUNT_TABLES,Deer,Little Red Creek,Wasatch 1,,Wasatch,1,Little Red Creek DB1258 Wasatch 1,MATCHED,Little Red Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1259,73,CWMU_HUNT_TABLES,Deer,Tunnel Hollow,Morgan/Summit 1,,Morgan/Summit,1,Tunnel Hollow DB1259 Morgan/Summit 1,MATCHED,Tunnel Hollow CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1260,71,CWMU_HUNT_TABLES,Deer,Middle Ridge,Rich 1,,Rich,1,Middle Ridge DB1260 Rich 1,MATCHED,Middle Ridge CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1261,72,CWMU_HUNT_TABLES,Deer,Minnie Maud Ridge,Carbon/Duchesne 5,,Carbon/Duchesne,5,Minnie Maud Ridge DB1261 Carbon/Duchesne 5,MATCHED,Minnie Maud Ridge CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1263,72,CWMU_HUNT_TABLES,Deer,Moon Ranch,Duchesne 1,,Duchesne,1,Moon Ranch DB1263 Duchesne 1,MATCHED,Moon Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1264,72,CWMU_HUNT_TABLES,Deer,Mountain Meadow,Box Elder 1,,Box Elder,1,Mountain Meadow DB1264 Box Elder 1,MATCHED,Mountain Meadow CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1265,72,CWMU_HUNT_TABLES,Deer,Mountain Top,Morgan/Summit 2,,Morgan/Summit,2,Mountain Top DB1265 Morgan/Summit 2,MATCHED,Mountain Top CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1266,72,CWMU_HUNT_TABLES,Deer,Mt Carmel,Kane 3,,Kane,3,Mt Carmel DB1266 Kane 3,MATCHED,Mt Carmel CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1269,72,CWMU_HUNT_TABLES,Deer,North Promontory,Box Elder 1,,Box Elder,1,North Promontory DB1269 Box Elder 1,MATCHED,North Promontory CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1270,72,CWMU_HUNT_TABLES,Deer,Nucor West,Box Elder 1,,Box Elder,1,Nucor West DB1270 Box Elder 1,MATCHED,Nucor West CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1271,72,CWMU_HUNT_TABLES,Deer,Oak Ranch,Sevier 3,,Sevier,3,Oak Ranch DB1271 Sevier 3,MATCHED,Oak Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1272,72,CWMU_HUNT_TABLES,Deer,Old Woman Plateau,Sevier 3,,Sevier,3,Old Woman Plateau DB1272 Sevier 3,MATCHED,Old Woman Plateau CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1273,72,CWMU_HUNT_TABLES,Deer,Park Valley Hereford,Box Elder 6,,Box Elder,6,Park Valley Hereford DB1273 Box Elder 6,MATCHED,Park Valley Hereford CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1274,72,CWMU_HUNT_TABLES,Deer,Patmos Ridge,Carbon 1,,Carbon,1,Patmos Ridge DB1274 Carbon 1,MATCHED,Patmos Ridge CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1275,72,CWMU_HUNT_TABLES,Deer,Pine Canyon,Morgan 2,,Morgan,2,Pine Canyon DB1275 Morgan 2,MATCHED,Pine Canyon CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1277,72,CWMU_HUNT_TABLES,Deer,Pocatello Valley,Box Elder 1,,Box Elder,1,Pocatello Valley DB1277 Box Elder 1,MATCHED,Pocatello Valley CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1279,72,CWMU_HUNT_TABLES,Deer,Preston Nutter Ranch,Carbon 1,,Carbon,1,Preston Nutter Ranch DB1279 Carbon 1,MATCHED,Preston Nutter Ranch CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1280,72,CWMU_HUNT_TABLES,Deer,Promontory Point,Box Elder 1,,Box Elder,1,Promontory Point DB1280 Box Elder 1,MATCHED,Promontory Point CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1281,72,CWMU_HUNT_TABLES,Deer,Rattlesnake Pass,Box Elder 2,,Box Elder,2,Rattlesnake Pass DB1281 Box Elder 2,MATCHED,Rattlesnake Pass CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1282,72,CWMU_HUNT_TABLES,Deer,Redd Ranches,Grand/San Juan 2,,Grand/San Juan,2,Redd Ranches DB1282 Grand/San Juan 2,MATCHED,Redd Ranches CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1283,72,CWMU_HUNT_TABLES,Deer,Roan Cliffs,Carbon 1,,Carbon,1,Roan Cliffs DB1283 Carbon 1,MATCHED,Roan Cliffs CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1285,72,CWMU_HUNT_TABLES,Deer,Sand Creek,Duchesne 1,,Duchesne,1,Sand Creek DB1285 Duchesne 1,MATCHED,Sand Creek CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1286,72,CWMU_HUNT_TABLES,Deer,Pisgah Mountain,Box Elder/Cache 2,,Box Elder/Cache,2,Pisgah Mountain DB1286 Box Elder/Cache 2,MATCHED,Pisgah Mountain CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1287,72,CWMU_HUNT_TABLES,Deer,Scofield Canyons,Carbon/Utah 1,,Carbon/Utah,1,Scofield Canyons DB1287 Carbon/Utah 1,MATCHED,Scofield Canyons CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1288,72,CWMU_HUNT_TABLES,Deer,Scofield West,Carbon/Utah 2,,Carbon/Utah,2,Scofield West DB1288 Carbon/Utah 2,MATCHED,Scofield West CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1289,72,CWMU_HUNT_TABLES,Deer,Sharp Mountain,Cache/Weber 2,,Cache/Weber,2,Sharp Mountain DB1289 Cache/Weber 2,MATCHED,Sharp Mountain CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1290,73,CWMU_HUNT_TABLES,Deer,Skull Crack,Morgan/Weber 1,,Morgan/Weber,1,Skull Crack DB1290 Morgan/Weber 1,MATCHED,Skull Crack CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1291,73,CWMU_HUNT_TABLES,Deer,Skull Valley South,Tooele 1,,Tooele,1,Skull Valley South DB1291 Tooele 1,MATCHED,Skull Valley South CWMU,Deer,Contact Operator for 2026 season dates,1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
