hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_draw_source,permits_2025_source,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_total,huntCode,code,title,unitName,unitCode,boundaryId,boundary_id_numeric,boundary_token,resolvedBoundaryIds,permits_2026_source,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,NOTES,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
DB1571,630,Mt Dutton,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,60,8,68,,2025_DRAW_RESULTS_TABLES,,56,16,28.6,4.6,3.1,Public,,,80,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1571,DB1571,Mt Dutton,Mt Dutton,630,630,630,630,"[""630""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1572,615,Nine Mile,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,127,8,135,,2025_DRAW_RESULTS_TABLES,,169,42,24.9,4.2,3,Public,,,280,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1572,DB1572,Nine Mile,Nine Mile,615,615,615,615,"[""615""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1573,612,North Slope,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,425,20,445,,2025_DRAW_RESULTS_TABLES,,410,95,23.2,4.6,3.1,Public,,,620,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1573,DB1573,North Slope,North Slope,612,612,612,612,"[""612""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1574,609,Ogden,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,254,4,258,,2025_DRAW_RESULTS_TABLES,,330,70,21.2,4.2,3.1,Public,,,540,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1574,DB1574,Ogden,Ogden,609,609,609,609,"[""609""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1576,634,Panguitch Lake,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,356,36,392,,2025_DRAW_RESULTS_TABLES,,346,141,40.8,4.3,3.7,Public,,,500,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1576,DB1576,Panguitch Lake,Panguitch Lake,634,634,634,634,"[""634""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1577,636,Pine Valley,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,423,48,471,,2025_DRAW_RESULTS_TABLES,,442,144,32.6,4.4,3.3,Public,,,600,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1577,DB1577,Pine Valley,Pine Valley,636,636,636,636,"[""636""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1579,633,Fishlake,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,197,20,217,,2025_DRAW_RESULTS_TABLES,,186,79,42.5,4,3.5,Public,,,260,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1579,DB1579,Fishlake,Fishlake,633,633,633,633,"[""633""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1581,618,"San Juan, Abajo Mtns",Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,426,47,473,,2025_DRAW_RESULTS_TABLES,,398,177,44.5,4,3.6,Public,,,560,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1581,DB1581,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",618,618,618,618,"[""618""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1582,614,Vernal/Bonanza,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,187,17,204,,2025_DRAW_RESULTS_TABLES,,184,115,62.5,3.9,3.7,Public,,,280,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1582,DB1582,Vernal/Bonanza,Vernal/Bonanza,614,614,614,614,"[""614""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1583,613,Yellowstone,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,185,20,205,,2025_DRAW_RESULTS_TABLES,,204,89,43.6,4.2,3.4,Public,,,280,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1583,DB1583,Yellowstone,Yellowstone,613,613,613,613,"[""613""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1584,625,Southwest Desert,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,63,9,72,,2025_DRAW_RESULTS_TABLES,,73,20,27.4,5.1,2.6,Public,,,100,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1584,DB1584,Southwest Desert,Southwest Desert,625,625,625,625,"[""625""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1585,621,"Wasatch Mtns, East",Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,847,42,889,,2025_DRAW_RESULTS_TABLES,,789,217,27.5,4.2,3.3,Public,,,1300,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1585,DB1585,"Wasatch Mtns, East","Wasatch Mtns, East",621,621,621,621,"[""621""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1586,620,"Wasatch Mtns, West",Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,507,11,518,,2025_DRAW_RESULTS_TABLES,,947,187,19.7,4,3.1,Public,,,1580,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1586,DB1586,"Wasatch Mtns, West","Wasatch Mtns, West",620,620,620,620,"[""620""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1589,635,Zion,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,407,48,455,,2025_DRAW_RESULTS_TABLES,,423,185,43.7,3.8,3.5,Public,,,675,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1589,DB1589,Zion,Zion,635,635,635,635,"[""635""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1602,69,Chalk Creek,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,161,7,168,,2025_DRAW_RESULTS_TABLES,,225,57,25.3,4,3.2,Public,,,440,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1602,DB1602,Chalk Creek,Chalk Creek,69,69,69,69,"[""69""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1606,276,East Canyon,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,137,0,137,,2025_DRAW_RESULTS_TABLES,,242,18,7.4,3.6,2.8,Public,,,380,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1606,DB1606,East Canyon,East Canyon,276,276,276,276,"[""276""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1610,117,Morgan-South Rich,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,87,0,87,,2025_DRAW_RESULTS_TABLES,,149,18,12.1,4.8,2.7,Public,,,320,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1610,DB1610,Morgan-South Rich,Morgan-South Rich,117,117,117,117,"[""117""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1612,685,"Beaver, East",Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,265,30,295,,2025_DRAW_RESULTS_TABLES,,275,93,33.8,4.1,3.3,Public,,,440,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1612,DB1612,"Beaver, East","Beaver, East",685,685,685,685,"[""685""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1615,672,"Beaver, West",Deer,General Season,General Season,General,Restricted Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,71,5,76,,2025_DRAW_RESULTS_TABLES,,79,31,39.2,4.5,3.7,Public,,,130,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1615,DB1615,"Beaver, West","Beaver, West",672,672,672,672,"[""672""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1618,926,"West Desert, Swasey",Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,57,7,64,,2025_DRAW_RESULTS_TABLES,,54,12,22.2,4.4,3.3,Public,,,80,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1618,DB1618,"West Desert, Swasey","West Desert, Swasey",926,926,926,926,"[""926""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1621,927,Oquirrh/Tintic,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,339,3,342,,2025_DRAW_RESULTS_TABLES,,341,114,33.4,4.2,3.3,Public,,,450,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1621,DB1621,Oquirrh/Tintic,Oquirrh/Tintic,927,927,927,927,"[""927""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1624,925,Cedar/Stansbury,Deer,General Season,General Season,General,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,161,16,177,,2025_DRAW_RESULTS_TABLES,,173,39,22.5,4.2,2.9,Public,,,250,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1624,DB1624,Cedar/Stansbury,Cedar/Stansbury,925,925,925,925,"[""925""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1628,29,Cache,Deer,General Season,General Season,General,Restricted Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,383,16,399,,2025_DRAW_RESULTS_TABLES,,428,111,25.9,4.3,3.1,Public,,,1160,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1628,DB1628,Cache,Cache,29,29,29,29,"[""29""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1630,455,Boulder/Kaiparowits,Deer,General Season,General Season,General,Restricted Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,236,33,269,,2025_DRAW_RESULTS_TABLES,,352,114,32.4,4.5,3.3,Public,,,720,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1630,DB1630,Boulder/Kaiparowits,Boulder/Kaiparowits,455,455,455,455,"[""455""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1616,672,"Beaver, West",Deer,General Season,General Season,General,Restricted Rifle,Buck,FALSE,STANDARD,Oct 17 2026 - Oct 25 2026,243,23,266,,2025_DRAW_RESULTS_TABLES,,276,143,51.8,4.7,3.4,Public,,,390,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1616,DB1616,"Beaver, West","Beaver, West",672,672,672,672,"[""672""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1627,29,Cache,Deer,General Season,General Season,General,Restricted Rifle,Buck,FALSE,STANDARD,Oct 17 2026 - Oct 25 2026,2647,58,2705,,2025_DRAW_RESULTS_TABLES,,2413,669,27.7,4.2,3,Public,,,3480,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1627,DB1627,Cache,Cache,29,29,29,29,"[""29""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1629,455,Boulder/Kaiparowits,Deer,General Season,General Season,General,Restricted Rifle,Buck,FALSE,STANDARD,Oct 17 2026 - Oct 25 2026,1094,120,1214,,2025_DRAW_RESULTS_TABLES,,1119,458,40.9,4.5,3.1,Public,,,960,TOTAL_ONLY,TOTAL_ONLY,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DB1629,DB1629,Boulder/Kaiparowits,Boulder/Kaiparowits,455,455,455,455,"[""455""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1531,607,Box Elder,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,18,12,66.7,4.5,4.3,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1531,LO1531,Box Elder,Box Elder,607,607,607,607,"[""607""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1533,619,Manti/San Rafael,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,22,14,63.6,4,3.9,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1533,LO1533,Manti/San Rafael,Manti/San Rafael,619,619,619,619,"[""619""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1534,616,Nebo,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,5,4,80,5.2,4.8,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1534,LO1534,Nebo,Nebo,616,616,616,616,"[""616""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1536,804,Fillmore,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,32,19,59.4,3.3,3.8,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1536,LO1536,Fillmore,Fillmore,804,804,804,804,"[""804""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1538,611,Kamas,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,,,,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1538,LO1538,Kamas,Kamas,611,611,611,611,"[""611""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1539,617,"La Sal, La Sal Mtns",Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,,,,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1539,LO1539,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",617,617,617,617,"[""617""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1540,629,Monroe,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,1,0,0,1,3,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1540,LO1540,Monroe,Monroe,629,629,629,629,"[""629""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1541,630,Mt Dutton,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,3,3,100,3,5,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1541,LO1541,Mt Dutton,Mt Dutton,630,630,630,630,"[""630""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1542,615,Nine Mile,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,13,7,53.8,4.9,4.6,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1542,LO1542,Nine Mile,Nine Mile,615,615,615,615,"[""615""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1543,612,North Slope,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,,,,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1543,LO1543,North Slope,North Slope,612,612,612,612,"[""612""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
LO1544,609,Ogden,Deer,Private Land Only,General Season - Private Land Only,Allocation,Any Legal Weapon (Late),Buck,FALSE,STANDARD,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,4,4,100,2.8,4.8,Private,,,2,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,BUCK DEER.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,LO1544,LO1544,Ogden,Ogden,609,609,609,609,"[""609""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
