hunt_code,hunt_name,species,reported_hunt_years,classification,active_2026_database,row_count
DB1109,Thousand Lakes,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1110,"Beaver, East",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1111,"Beaver, West",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1112,"West Desert, Swasey",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1113,Oquirrh/Tintic,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1114,Cedar/Stansbury,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1115,"Henry Mtns, Little Rockies",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1116,"San Juan, Mancos Mesa",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1119,Moab Valley,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1120,Castle Valley,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1200,Alton,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1201,Alton,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1202,Antelope Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1203,Avintaquin Canyon,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1204,Bally Watts,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1205,Bar J Ranch,Deer,2021|2022|2023|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1206,Bear Mountain,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1207,Bear Springs,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1208,Black Hawk,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1209,Blind Spring,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1210,Blue Creek,Deer,2021,HARVEST_ONLY_CODE,NO,1
DB1211,Blue Spring Hills,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1212,Bluebell,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1213,Boobe Hole,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1215,Buckhorn Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1216,Castle Valley Outdoors,Deer,2021|2022|2023|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1217,Causey Spring,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1219,Chimney Rock,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1221,Clear Valley Ranch,Limited Entry Buck Deer,2021|2022,SPECIAL_PERMIT_OVERLAY,NO,2
DB1222,Coldwater Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1223,Conover-Jensen,Deer,2021|2022|2023,SPECIAL_PERMIT_OVERLAY,NO,3
DB1224,Cotton Thomas,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1227,Deer Haven,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1228,Deseret,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1229,Dilly Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1230,Double R Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1231,Dove Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1232,Durst Mountain,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1233,East Fork Chalk Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1234,East Zion,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1236,Engineer Springs,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1237,Ensign Ranches,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1238,Folley Ridge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1239,Fort Ranch,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1240,George Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1241,Golden Spike,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1242,Grass Valley/Clark Canyon,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1243,Grazing Pasture,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1244,Green Canyon,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1245,Guildersleeve,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1246,Hardscrabble,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1248,Heaston East,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1249,Hiawatha,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1250,Indian Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1251,Indian Head,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1252,Ingham Peak,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1253,Circle E Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1255,Johnson Mountain Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1256,Junction Valley,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1257,Lazy H Ranch,Limited Entry Buck Deer,2021|2022,SPECIAL_PERMIT_OVERLAY,NO,2
DB1258,Little Red Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1259,Lone Tree Tunnel Hollow,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1260,Middle Ridge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1261,Minnie Maud Ridge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1263,Moon Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1264,Mountain Meadow,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1265,Mountain Top,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1266,Mt Carmel,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1267,Neil Creek,Limited Entry Buck Deer,2021|2022,SPECIAL_PERMIT_OVERLAY,NO,2
DB1269,North Promontory,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1270,Nucor West,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1271,Oak Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1272,Old Woman Plateau,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1273,Park Valley Hereford,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1274,Patmos Ridge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1275,Pine Canyon,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1276,Plymouth Peak,Mule Deer,2021|2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,4
DB1277,Pocatello Valley,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1278,Powder Mountain,Deer,2021|2022|2023,SPECIAL_PERMIT_OVERLAY,NO,3
DB1279,Preston Nutter Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1280,Promontory Point,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1281,Rattlesnake Pass,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1282,Redd Ranches,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1283,Roan Cliffs,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1285,Sand Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1286,Pisgah Mountain,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1287,Scofield Canyons,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1288,Scofield West,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1289,Sharp Mountain,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1290,Skull Crack,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1291,Skull Valley South,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1292,Soldier Summit,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1293,South Canyon,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1294,Spring Creek Acres,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1295,Spring Creek/Dodge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1297,Stillman Creek Ranch,Deer,2021|2022|2023,SPECIAL_PERMIT_OVERLAY,NO,3
DB1298,Strawberry Ridge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1299,Summit Point,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1300,Thatcher Mountain,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1301,Three C,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1302,TJ Cattle Company,Deer,2021,HARVEST_ONLY_CODE,NO,1
DB1303,North Peaks,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1304,Two Bear,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1305,Wallsburg,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1306,Washakie,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1307,Weber Florence Creek,Mule Deer,2021|2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,4
DB1308,West Hills,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1309,West Willow Creek Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1310,White's Valley,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1312,Woodruff Creek South,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1317,Jacob's Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1320,Deer Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,NO,5
DB1321,Mecham Ridge,Limited Entry Buck Deer,2021|2022,SPECIAL_PERMIT_OVERLAY,NO,2
DB1322,Pahvant Ensign,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1323,Rock House,Deer,2021|2022|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1324,Royal Ivory Outfitters,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,NO,5
DB1325,Double Cone,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1326,Rosette,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1327,Mountain Sky Ranch,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1328,Clear Creek,Deer,2021|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1329,Indian Canyon,Deer,2022|2023,SPECIAL_PERMIT_OVERLAY,NO,2
DB1330,Iron Spring,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1331,Raft River,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1332,West Ridge,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1333,5S Land and Livestock,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1334,Alton,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DB1335,Big Piney Ranch,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1336,First Light,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1337,Little Pole Canyon,Deer,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1338,Sweetwater,Mule Deer,2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,3
DB1339,Double J Valley,Deer,2022|2023,SPECIAL_PERMIT_OVERLAY,NO,2
DB1340,Tunnel Hollow,Deer,2022|2023,SPECIAL_PERMIT_OVERLAY,NO,2
DB1341,Dry Creek,Deer,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DB1342,Faust Valley,Deer,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DB1343,Red Iron,Deer,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,NO,3
DB1344,Salt Wells,Deer,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,NO,3
DB1345,Diamond Mountain CWMU,Deer,2024|2025,SPECIAL_PERMIT_OVERLAY,NO,2
DB1347,The Rose of Snowville,Deer,2024|2025,SPECIAL_PERMIT_OVERLAY,YES,2
DB1348,Kimberly,Deer,2024|2025,SPECIAL_PERMIT_OVERLAY,NO,2
DB1349,Weber Florence Creek/Stillman Creek,Deer,2024|2025,SPECIAL_PERMIT_OVERLAY,YES,2
DB1500,Beaver,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1501,Box Elder,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1502,Cache,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1503,Manti/San Rafael,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1504,Nebo,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1505,Chalk Creek/East Canyon/Morgan-South Rich,Deer,2021,HARVEST_ONLY_CODE,NO,1
DB1506,Fillmore,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1508,Kamas,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1509,La Sal Mtns,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1510,Monroe,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1511,Mt Dutton,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1512,Nine Mile,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1513,North Slope,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1514,Ogden,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1515,Oquirrh-Stansbury,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1516,Panguitch Lake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1517,Pine Valley,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1518,Boulder/Kaiparowits,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1519,Fishlake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1520,Thousand Lakes,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1521,"San Juan, Abajo Mtns",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1522,Vernal/Bonanza,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1523,Yellowstone,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1524,Southwest Desert,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1525,"Wasatch Mtns, East",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1526,"Wasatch Mtns, West",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1527,"West Desert, Tintic",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1528,"West Desert, West",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1529,Zion,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1530,Beaver,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1531,Box Elder,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1532,Cache,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1533,Manti/San Rafael,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1534,Nebo,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1535,Chalk Creek/East Canyon/Morgan-South Rich,Deer,2021,HARVEST_ONLY_CODE,NO,1
DB1536,Fillmore,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1538,Kamas,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1539,La Sal Mtns,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1540,Monroe,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1541,Mt Dutton,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1542,Nine Mile,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1543,North Slope,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1544,Ogden,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1545,Oquirrh-Stansbury,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1546,Panguitch Lake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1547,Pine Valley,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1548,Boulder/Kaiparowits,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1549,Fishlake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1550,Thousand Lakes,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1551,"San Juan, Abajo Mtns",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1552,Vernal/Bonanza,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1553,Yellowstone,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1554,Southwest Desert,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1555,"Wasatch Mtns, East",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1556,"Wasatch Mtns, West",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1557,"West Desert, Tintic",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1558,"West Desert, West",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1559,Zion,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1560,Beaver,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1561,Box Elder,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1562,Cache,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1563,Manti/San Rafael,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1564,Nebo,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1565,Chalk Creek/East Canyon/Morgan-South Rich,Deer,2021,HARVEST_ONLY_CODE,NO,1
DB1566,Fillmore,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1568,Kamas,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1569,La Sal Mtns,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1570,Monroe,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1571,Mt Dutton,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1572,Nine Mile,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1573,North Slope,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1574,Ogden,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1575,Oquirrh-Stansbury,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1576,Panguitch Lake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1577,Pine Valley,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1578,Boulder/Kaiparowits,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1579,Fishlake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1580,Thousand Lakes,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1581,"San Juan, Abajo Mtns",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1582,Vernal/Bonanza,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1583,Yellowstone,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1584,Southwest Desert,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1585,"Wasatch Mtns, East",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1586,"Wasatch Mtns, West",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1587,"West Desert, Tintic",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1588,"West Desert, West",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1589,Zion,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1590,Chalk Creek/East Canyon/Morgan-South Rich,Deer,2021,HARVEST_ONLY_CODE,NO,1
DB1591,Fillmore,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1592,Kamas,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1593,Nine Mile,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1594,Panguitch Lake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1595,Pine Valley,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1596,Fishlake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1597,Zion,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1598,North Slope,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1599,Chalk Creek,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1600,Chalk Creek,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1601,Chalk Creek,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1602,Chalk Creek,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1603,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1604,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1605,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1606,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1607,Morgan-South Rich,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1608,Morgan-South Rich,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1609,Morgan-South Rich,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1610,Morgan-South Rich,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1611,"Beaver, East",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1612,"Beaver, East",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1613,"Beaver, East",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1614,"Beaver, West",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1615,"Beaver, West",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1616,"Beaver, West",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1617,"West Desert, Swasey",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1618,"West Desert, Swasey",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1619,"West Desert, Swasey",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1620,Oquirrh/Tintic,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1621,Oquirrh/Tintic,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
