hunt_code,hunt_name,species,weapon,hunt_type,season,permit_family,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,current_rac_res,current_rac_nr,current_rac_total,current_runtime_res,current_runtime_nr,current_runtime_total,delta_rac_res,delta_rac_nr,delta_rac_total,delta_runtime_res,delta_runtime_nr,delta_runtime_total,comparison_status,significant_difference,notes
EA1131,Durst Mountain CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,30,0,30,,,,30,0,30,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1132,East Fork Chalk Creek CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,30,0,30,,,,30,0,30,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1134,Ensign Ranches CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,60,0,60,,,,60,0,60,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1135,Folley Ridge CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,20,0,20,,,,20,0,20,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1136,Grass Valley/Clark Canyon CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,50,0,50,,,,50,0,50,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1137,Grazing Pasture CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,9,0,9,,,,9,0,9,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1138,Guildersleeve CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,20,0,20,,,,20,0,20,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1139,Hardscrabble CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,10,0,10,,,,10,0,10,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1140,Heaston East CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,24,0,24,,,,24,0,24,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1141,Hiawatha CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,12,0,12,,,,12,0,12,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1142,Indian Head CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,12,0,12,,,,12,0,12,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1143,Circle E Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,21,0,21,,,,21,0,21,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1145,Johnson Mountain Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,20,0,20,,,,20,0,20,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1146,Jump Creek CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,9,0,9,,,,9,0,9,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1147,Little Red Creek CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,15,0,15,,,,15,0,15,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1149,Minnie Maud Ridge CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,15,0,15,,,,15,0,15,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1151,Moon Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,6,0,6,,,,6,0,6,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1153,Old Woman Plateau CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,4,0,4,,,,4,0,4,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1156,Preston Nutter Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,21,0,21,,,,21,0,21,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
