hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,hunt_class,season,NOTES,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,percent_harvest_success_previous_hunting_season,current_age_3yr_average,average_harvest_age,average_harvest_age_reported_hunt_year,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source
EA2019,116,"West Desert, Tintic Valley",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Antlerless,Aug 01 2026 - Jan 31 2027,,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,PRIVATE_LANDS_ONLY_ANTLERLESS_ELK,,,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,38,,6.4,2022,FF6D4B3D__2022_antlerless_hr.pdf,PASS,,350 (entire West Desert unit),350 (entire West Desert unit),,
DB1103,117,Morgan-South Rich,Buck,Deer,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,,68,83,Bonus Point Draw Results,7,0,7,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,7,1,8,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,50,,,,,,,16000,2450,,
DB1607,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Late),General Season,General Season,Oct 17 2026 - Oct 25 2026,,,,,610,11,621,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,640,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_TOTAL_ONLY,19.6,,,,,,,16000,2450,,
DB1608,117,Morgan-South Rich,Buck,Deer,Archery,General Season,General Season,Aug 15 2026 - Sept 11 2026,,,,,176,4,180,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,320,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_TOTAL_ONLY,12.9,,,,,,,16000,2450,,
DB1609,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Early),General Season,General Season,Oct 07 2026 - Oct 11 2026,,,,,226,4,230,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,320,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_TOTAL_ONLY,14.5,,,,,,,16000,2450,,
DB1610,117,Morgan-South Rich,Buck,Deer,Muzzleloader,General Season,General Season,Sept 23 2026 - Oct 01 2026,,,,,87,0,87,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,320,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_TOTAL_ONLY,6.7,,,,,,,16000,2450,,
DB1801,117,Morgan-South Rich,Buck,Deer,Dedicated Hunter,General Season,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,,,11,0,11,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,211,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_TOTAL_ONLY,8.3,,,,,,,16000,2450,,
EA1228,117,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Dec 01 2026 - Dec 21 2026,,,,,64,7,71,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,67,8,75,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,14.7,,,,,,,4200,5700,,
EA1229,117,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Dec 22 2026 - Jan 31 2027,,,,,147,13,160,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,144,16,160,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,53.6,,,,,,,4200,5700,,
EA2002,117,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Antlerless,Aug 01 2026 - Jan 31 2027,,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,PRIVATE_LANDS_ONLY_ANTLERLESS_ELK,,,600,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,34.4,,,,,,,4200,5700,,
EB3208,117,Morgan-South Rich,Bull,Elk,Late Any Legal Weapon,Limited Entry,Mature Bull,Dec 19 2026 - Dec 27 2026,,340,379,Bonus Point Draw Results,9,1,10,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,9,1,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
EL3208,117,Morgan-South Rich,Bull,Elk,Any Legal Weapon (Late),Limited Entry - Private Land Only,Private Land Only,Dec 20 2025 - Dec 28 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,,,,,,,,,
LO1607,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Late),General Season - Private Land Only,Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO1608,117,Morgan-South Rich,Buck,Deer,Archery,General Season - Private Land Only,Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO1609,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Early),General Season - Private Land Only,Private Land Only,Oct 08 2025 - Oct 12 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO1610,117,Morgan-South Rich,Buck,Deer,Muzzleloader,General Season - Private Land Only,Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1005,117,Morgan-South Rich,Antlerless,Moose,Any Legal Weapon,General Season,Antlerless,Sept 19 2026 - Oct 18 2026,,,,,6,1,7,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_ANTLERLESS_MOOSE,6,1,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,71.4,,5.5,2022,FF6D4B3D__2022_antlerless_hr.pdf,PASS,,,,,
MA1007,117,Morgan-South Rich,Antlerless,Moose,Archery,General Season,Antlerless,Aug 01 2026 - Sept 18 2026,,,,,3,0,3,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_ANTLERLESS_MOOSE,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
MB6005,117,Morgan-South Rich,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,,503,469,Bonus Point Draw Results,6,0,6,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Bull,LIVE_DWR_RES_NR_SPLIT,80,5,4.6,2023,2023 Hunt Success.pdf,PASS,3.75-4.25,500,690,,
EA1044,122,"Morgan-South Rich, South Rich",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Dec 01 2026 - Jan 31 2027,,,,,30,4,34,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,31,4,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,47.1,,,,,,,4200,5700,,
EA2034,128,"Nine Mile, Anthro",Antlerless,Elk,Archery,General Season,Antlerless,Aug 15 2026 - Sept 16 2026,,,,,8,1,9,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,180,20,200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,4.3,,,,,,,700,1200,,
EA2008,129,"Nine Mile, Anthro-Myton Bench",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Antlerless,Aug 01 2026 - Jan 31 2027,,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,PRIVATE_LANDS_ONLY_ANTLERLESS_ELK,,,250,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,12.5,,5.2,2022,FF6D4B3D__2022_antlerless_hr.pdf,PASS,,700,1200,,
PB5011,129,"Nine Mile, Anthro-Myton Bench",Buck,Pronghorn,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,,418,509,Bonus Point Draw Results,29,3,32,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,30,3,33,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,89.3,3.6,3.6,2021,21_bg_report.pdf,PASS,2.0-3.0,1100,750,,
PB5037,129,"Nine Mile, Anthro-Myton Bench",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Limited Entry,Sept 12 2026 - Sept 20 2026,,439,530,Bonus Point Draw Results,87,9,96,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,89,10,99,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,97.5,3.6,3.6,2021,21_bg_report.pdf,PASS,2.0-3.0,1100,750,7,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
PB5059,129,"Nine Mile, Anthro-Myton Bench",Buck,Pronghorn,Muzzleloader,Limited Entry,Limited Entry,Sept 23 2026 - Oct 01 2026,,458,549,Bonus Point Draw Results,30,2,32,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,30,3,33,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,89.3,3.6,3.6,2021,21_bg_report.pdf,PASS,2.0-3.0,1100,750,,
EA1054,132,"Nine Mile, West Anthro",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Dec 12 2026 - Dec 31 2026,,,,,45,4,49,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,45,5,50,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,52.9,,5.2,2022,FF6D4B3D__2022_antlerless_hr.pdf,PASS,,700 (entire Anthro unit),1200 (entire Anthro unit),,
EA1056,134,"North Slope, Greendale",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Nov 14 2026 - Nov 29 2026,,,,,4,0,4,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,0,,5.7,2023,A96251BE__2023_antlerless_hr.pdf,PASS,,,,,
EA1058,135,"North Slope, Henrys Fork-Burnt Fork",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Nov 07 2026 - Jan 30 2027,,,,,87,8,95,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,90,10,100,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,30.5,,5.7,2023,A96251BE__2023_antlerless_hr.pdf,PASS,,300 (entire Summit unit),200 (entire Summit unit),,
EA1196,138,"North Slope, Summit",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Oct 03 2026 - Oct 25 2026,,,,,68,7,75,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,67,8,75,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,12.5,,5.7,2023,A96251BE__2023_antlerless_hr.pdf,PASS,,300,200,,
EA1268,138,"North Slope, Summit",Antlerless,Elk,Archery,General Season,Antlerless,Aug 15 2026 - Sept 16 2026,,,,,79,2,81,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,180,20,200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,6,,,,,,,300,200,,
MB6006,138,"North Slope, Summit",Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,,504,470,Bonus Point Draw Results,19,3,22,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,20,3,23,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,5.7,,,,,3.75-4.25,200,130,,
PB5039,138,"North Slope, Summit",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Limited Entry,Sept 12 2026 - Sept 20 2026,,441,532,Bonus Point Draw Results,15,2,17,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,15,2,17,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,92.3,5,4.7,2022,968EFF87__2022_le_oial_all.pdf,PASS,2.0-3.0,,,,
EA1273,140,"North Slope, Three Corners",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Dec 19 2026 - Jan 03 2027,,,,,22,1,23,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,22,3,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
EA1274,140,"North Slope, Three Corners",Antlerless,Elk,Archery,General Season,Antlerless,Aug 15 2026 - Sept 04 2026,,,,,15,1,16,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,22,3,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
EA1277,140,"North Slope, Three Corners",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Nov 21 2026 - Nov 29 2026,,,,,22,2,24,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,22,3,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
EB3013,140,"North Slope, Three Corners",Bull,Elk,Archery,Limited Entry,Mature Bull,Aug 15 2026 - Sept 15 2026,,207,246,Bonus Point Draw Results,6,1,7,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,6,1,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,50,5.3,,,,,5.5-6.0,700,800,,
EB3053,140,"North Slope, Three Corners",Bull,Elk,Mid Any Legal Weapon,Limited Entry,Mature Bull,Oct 03 2026 - Oct 15 2026,,232,271,Bonus Point Draw Results,9,1,10,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,9,1,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,85.7,5.3,,,,,5.5-6.0,700,800,,
EB3091,140,"North Slope, Three Corners",Bull,Elk,Muzzleloader,Limited Entry,Mature Bull,Sept 21 2026 - Oct 02 2026,,253,292,Bonus Point Draw Results,4,0,4,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,4,0,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,75,5.3,,,,,5.5-6.0,700,800,,
EB3115,140,"North Slope, Three Corners",Bull,Elk,Multiseason,Limited Entry,Mature Bull,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",,268,307,Bonus Point Draw Results,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,5.3,5.7,2023,2023 Hunt Success.pdf,PASS,5.5-6.0,700,800,,
EB3210,140,"North Slope, Three Corners",Bull,Elk,Early Any Legal Weapon,Limited Entry,Mature Bull,Sept 16 2026 - Sept 20 2026,,341,380,Bonus Point Draw Results,5,0,5,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
EL3013,140,North Slope Three Corners,Bull,Elk,Archery,Limited Entry - Private Land Only,Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,5.7,2023,2023 Hunt Success.pdf,PASS,,,,,
EL3053,140,North Slope Three Corners,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,5.7,2023,2023 Hunt Success.pdf,PASS,,,,,
EL3091,140,North Slope Three Corners,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,5.7,2023,2023 Hunt Success.pdf,PASS,,,,,
EL3210,140,North Slope Three Corners,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,,,,,,,,,
RS6708,140,"North Slope, Three Corners",Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 14 2026 - Nov 30 2026,,91,592,2025 O.I.L. Draw Results PDF Hunt Year 2025,3,0,3,2025_OIL_DRAW_RESULTS_PDF_HUNT_YEAR_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,450 (entire High Uintas area),198 (entire High Uintas area),,
EA1060,142,"North Slope, West Daggett",Antlerless,Elk,Muzzleloader,General Season,Antlerless,Oct 28 2026 - Nov 05 2026,,,,,17,1,18,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,6.7,,5.7,2023,A96251BE__2023_antlerless_hr.pdf,PASS,,1300,1250,,
EA1061,142,"North Slope, West Daggett",Antlerless,Elk,Muzzleloader,General Season,Antlerless,Sept 23 2026 - Oct 01 2026,,,,,18,2,20,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,16.7,,5.7,2023,A96251BE__2023_antlerless_hr.pdf,PASS,,1300,1250,,
EA1250,142,"North Slope, West Daggett",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Oct 03 2026 - Oct 25 2026,,,,,27,3,30,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,27,3,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,25,,5.7,2023,A96251BE__2023_antlerless_hr.pdf,PASS,,1300,1250,,
