hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,source_file_2026,link_key
DB1519,633,Fishlake,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,260,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1519_RESIDENT
DB1521,618,"San Juan, Abajo Mtns",Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,560,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1521_RESIDENT
DB1522,614,Vernal/Bonanza,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,420,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1522_RESIDENT
DB1523,613,Yellowstone,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,280,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1523_RESIDENT
DB1524,625,Southwest Desert,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,100,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1524_RESIDENT
DB1525,621,"Wasatch Mtns, East",Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,1300,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1525_RESIDENT
DB1526,620,"Wasatch Mtns, West",Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,1580,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1526_RESIDENT
DB1529,635,Zion,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,675,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1529_RESIDENT
DB1531,607,Box Elder,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,2080,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1531_RESIDENT
DB1533,619,Manti/San Rafael,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,5400,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1533_RESIDENT
DB1534,616,Nebo,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,3180,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1534_RESIDENT
DB1536,804,Fillmore,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,920,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1536_RESIDENT
DB1538,611,Kamas,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,400,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1538_RESIDENT
DB1539,617,La Sal Mtns,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1080,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1539_RESIDENT
DB1540,629,Monroe,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,660,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1540_RESIDENT
DB1541,630,Mt Dutton,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,240,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1541_RESIDENT
DB1542,615,Nine Mile,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,560,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1542_RESIDENT
DB1543,612,North Slope,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1240,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1543_RESIDENT
DB1544,609,Ogden,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1620,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1544_RESIDENT
DB1546,634,Panguitch Lake,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1000,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1546_RESIDENT
DB1547,636,Pine Valley,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1200,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1547_RESIDENT
DB1549,633,Fishlake,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,520,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1549_RESIDENT
DB1551,618,"San Juan, Abajo Mtns",Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1680,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1551_RESIDENT
DB1552,614,Vernal/Bonanza,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,700,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1552_RESIDENT
DB1553,613,Yellowstone,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,840,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1553_RESIDENT
DB1554,625,Southwest Desert,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,300,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1554_RESIDENT
DB1555,621,"Wasatch Mtns, East",Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,3900,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1555_RESIDENT
DB1556,620,"Wasatch Mtns, West",Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,4740,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1556_RESIDENT
DB1559,635,Zion,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1350,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1559_RESIDENT
DB1561,607,Box Elder,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,1040,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1561_RESIDENT
DB1563,619,Manti/San Rafael,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,1800,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1563_RESIDENT
DB1564,616,Nebo,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,1060,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1564_RESIDENT
DB1566,804,Fillmore,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,460,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1566_RESIDENT
DB1568,611,Kamas,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,200,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1568_RESIDENT
DB1569,617,La Sal Mtns,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,360,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1569_RESIDENT
DB1570,629,Monroe,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,220,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1570_RESIDENT
DB1571,630,Mt Dutton,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,80,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1571_RESIDENT
DB1572,615,Nine Mile,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,280,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1572_RESIDENT
DB1573,612,North Slope,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,620,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1573_RESIDENT
DB1574,609,Ogden,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,540,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1574_RESIDENT
DB1576,634,Panguitch Lake,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,500,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1576_RESIDENT
DB1577,636,Pine Valley,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,600,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1577_RESIDENT
DB1579,633,Fishlake,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,260,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1579_RESIDENT
DB1581,618,"San Juan, Abajo Mtns",Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,560,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1581_RESIDENT
DB1582,614,Vernal/Bonanza,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,280,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1582_RESIDENT
DB1583,613,Yellowstone,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,280,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1583_RESIDENT
DB1584,625,Southwest Desert,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,100,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1584_RESIDENT
DB1585,621,"Wasatch Mtns, East",Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,1300,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1585_RESIDENT
DB1586,620,"Wasatch Mtns, West",Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,1580,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1586_RESIDENT
DB1589,635,Zion,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,675,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1589_RESIDENT
DB1591,804,Fillmore,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,460,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1591_RESIDENT
DB1592,611,Kamas,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,200,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1592_RESIDENT
DB1593,615,Nine Mile,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,280,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1593_RESIDENT
DB1594,634,Panguitch Lake,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,500,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1594_RESIDENT
DB1595,636,Pine Valley,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,600,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1595_RESIDENT
DB1596,633,Fishlake,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,260,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1596_RESIDENT
DB1597,635,Zion,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,675,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1597_RESIDENT
DB1598,612,North Slope,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,620,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1598_RESIDENT
DB1599,69,Chalk Creek,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,880,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1599_RESIDENT
DB1600,69,Chalk Creek,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,440,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1600_RESIDENT
DB1601,69,Chalk Creek,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,440,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1601_RESIDENT
DB1602,69,Chalk Creek,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,440,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1602_RESIDENT
DB1603,276,East Canyon,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,760,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1603_RESIDENT
DB1604,276,East Canyon,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,380,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1604_RESIDENT
DB1605,276,East Canyon,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,380,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1605_RESIDENT
DB1606,276,East Canyon,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,380,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1606_RESIDENT
DB1607,117,Morgan-South Rich,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,640,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1607_RESIDENT
DB1608,117,Morgan-South Rich,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,320,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1608_RESIDENT
DB1609,117,Morgan-South Rich,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,320,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1609_RESIDENT
DB1610,117,Morgan-South Rich,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,320,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1610_RESIDENT
DB1611,685,"Beaver, East",Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,440,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1611_RESIDENT
DB1612,685,"Beaver, East",Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,440,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1612_RESIDENT
DB1613,685,"Beaver, East",Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1320,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1613_RESIDENT
DB1614,672,"Beaver, West",Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,130,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1614_RESIDENT
DB1615,672,"Beaver, West",Deer,Buck,General Season,Restricted Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,130,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1615_RESIDENT
DB1616,672,"Beaver, West",Deer,Buck,General Season,Restricted Rifle,Public,Oct 17 2026 - Oct 25 2026,,,390,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1616_RESIDENT
DB1617,926,"West Desert, Swasey",Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,80,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1617_RESIDENT
DB1618,926,"West Desert, Swasey",Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,80,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1618_RESIDENT
DB1619,926,"West Desert, Swasey",Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,240,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1619_RESIDENT
DB1620,927,Oquirrh/Tintic,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,450,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1620_RESIDENT
DB1621,927,Oquirrh/Tintic,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,450,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1621_RESIDENT
DB1622,927,Oquirrh/Tintic,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,1350,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1622_RESIDENT
DB1623,925,Cedar/Stansbury,Deer,Buck,General Season,Archery,Public,Aug 15 2026 - Sept 11 2026,,,250,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1623_RESIDENT
DB1624,925,Cedar/Stansbury,Deer,Buck,General Season,Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,250,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1624_RESIDENT
DB1625,925,Cedar/Stansbury,Deer,Buck,General Season,Any Legal Weapon (Late),Public,Oct 17 2026 - Oct 25 2026,,,750,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1625_RESIDENT
DB1627,29,Cache,Deer,Buck,General Season,Restricted Rifle,Public,Oct 17 2026 - Oct 25 2026,,,3480,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1627_RESIDENT
DB1628,29,Cache,Deer,Buck,General Season,Restricted Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,1160,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1628_RESIDENT
DB1629,455,Boulder/Kaiparowits,Deer,Buck,General Season,Restricted Rifle,Public,Oct 17 2026 - Oct 25 2026,,,960,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1629_RESIDENT
DB1630,455,Boulder/Kaiparowits,Deer,Buck,General Season,Restricted Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,,,720,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1630_RESIDENT
DB1631,607,Box Elder,Deer,Buck,General Season,Any Legal Weapon (Early),Public,Oct 07 2026 - Oct 11 2026,,,1040,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1631_RESIDENT
DB1770,607,Box Elder,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,688,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1770_RESIDENT
DB1771,29,Cache,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,,,588,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1771_RESIDENT
DB1772,619,Manti/San Rafael,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,573,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1772_RESIDENT
DB1773,616,Nebo,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,349,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1773_RESIDENT
DB1775,804,Fillmore,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,42,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1775_RESIDENT
DB1777,611,Kamas,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,55,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1777_RESIDENT
DB1778,617,La Sal Mtns,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,67,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1778_RESIDENT
DB1779,629,Monroe,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,45,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1779_RESIDENT
DB1780,630,Mt Dutton,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,26,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1780_RESIDENT
DB1781,615,Nine Mile,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,62,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1781_RESIDENT
DB1782,612,North Slope,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,340,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1782_RESIDENT
DB1783,609,Ogden,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,297,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1783_RESIDENT
DB1785,634,Panguitch Lake,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,112,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1785_RESIDENT
DB1786,636,Pine Valley,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,228,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1786_RESIDENT
DB1787,455,Boulder/Kaiparowits,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,,,70,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1787_RESIDENT
DB1788,633,Fishlake,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,49,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1788_RESIDENT
DB1790,618,"San Juan, Abajo Mtns",Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,261,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1790_RESIDENT
DB1791,614,Vernal/Bonanza,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,45,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1791_RESIDENT
DB1792,613,Yellowstone,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,63,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1792_RESIDENT
DB1793,625,Southwest Desert,Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,46,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1793_RESIDENT
DB1794,621,"Wasatch Mtns, East",Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,271,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1794_RESIDENT
DB1795,620,"Wasatch Mtns, West",Deer,Buck,General Season,Dedicated Hunter,Dedicated Hunter,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,701,TOTAL_ONLY_SPLIT_MISSING,BUCK DEER.xlsx,DB1795_RESIDENT
