target_model_year,reported_hunt_year,hunt_code,species,hunt_family,hunt_names,target_harvest_sum,target_permits_sum,exact_code_history_years,name_family_match_years,crosswalk_candidates,best_match_method,status_bucket,reason_code,recommended_model_behavior,data_quality_grade,source_labels
2026,2025,LO0010,Deer,Deer,Diamond Mtn Landowner Association,2.0,2.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO0012,Deer,Deer,Diamond Mtn Landowner Association,12.0,12.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO0013,Deer,Deer,Diamond Mtn Landowner Association,9.0,9.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO0014,Deer,Deer,Diamond Mtn Landowner Association,5.0,5.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO0015,Deer,Deer,Diamond Mtn Landowner Association,0.0,2.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO1502,Deer,Deer,Cache,1.0,1.0,,2021|2022|2023|2024,2021:DB1078:Cache; 2021:DB1502:Cache; 2021:DB1532:Cache; 2021:DB1562:Cache; 2021:DB1771:Cache; 2022:DB1078:Cache; 2023:DB1078:Cache; 2024:DB1078:Cache; 2024:DB1502:Cache; 2024:DB1532:Cache; 2024:DB1562:Cache; 2024:DB1771:Cache,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO1506,Deer,Deer,Fillmore,0.0,1.0,,2021|2022|2023|2024,2021:DB1028:Fillmore; 2021:DB1506:Fillmore; 2021:DB1536:Fillmore; 2021:DB1566:Fillmore; 2021:DB1591:Fillmore; 2021:DB1775:Fillmore; 2022:DB1028:Fillmore; 2023:DB1028:Fillmore; 2024:DB1028:Fillmore; 2024:DB1506:Fillmore; 2024:DB1536:Fillmore; 2024:DB1566:Fillmore; 2024:DB1591:Fillmore; 2024:DB1775:Fillmore,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO1511,Deer,Deer,Mt Dutton,0.0,1.0,,2021|2022|2023|2024,2021:DB1053:Mt Dutton; 2021:DB1511:Mt Dutton; 2021:DB1541:Mt Dutton; 2021:DB1571:Mt Dutton; 2021:DB1780:Mt Dutton; 2022:DB1053:Mt Dutton; 2023:DB1053:Mt Dutton; 2024:DB1053:Mt Dutton; 2024:DB1511:Mt Dutton; 2024:DB1541:Mt Dutton; 2024:DB1571:Mt Dutton; 2024:DB1780:Mt Dutton,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO1512,Deer,Deer,Nine Mile,1.0,3.0,,2021|2022|2023|2024,2021:DB1033:Nine Mile; 2021:DB1512:Nine Mile; 2021:DB1542:Nine Mile; 2021:DB1572:Nine Mile; 2021:DB1593:Nine Mile; 2021:DB1781:Nine Mile; 2022:DB1033:Nine Mile; 2023:DB1033:Nine Mile; 2024:DB1033:Nine Mile; 2024:DB1512:Nine Mile; 2024:DB1542:Nine Mile; 2024:DB1572:Nine Mile; 2024:DB1593:Nine Mile; 2024:DB1781:Nine Mile,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO1514,Deer,Deer,Ogden,2.0,2.0,,2021|2022|2023|2024,2021:DB1054:Ogden; 2021:DB1514:Ogden; 2021:DB1544:Ogden; 2021:DB1574:Ogden; 2021:DB1783:Ogden; 2022:DB1054:Ogden; 2023:DB1054:Ogden; 2024:DB1054:Ogden; 2024:DB1514:Ogden; 2024:DB1544:Ogden; 2024:DB1574:Ogden; 2024:DB1783:Ogden,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,LO1516,Deer,Deer,Panguitch Lake,2.0,2.0,,2021|2022|2023|2024,2021:DB1083:Panguitch Lake; 2021:DB1516:Panguitch Lake; 2021:DB1546:Panguitch Lake; 2021:DB1576:Panguitch Lake; 2021:DB1594:Panguitch Lake; 2021:DB1785:Panguitch Lake; 2022:DB1083:Panguitch Lake; 2023:DB1083:Panguitch Lake; 2024:DB1083:Panguitch Lake; 2024:DB1516:Panguitch Lake; 2024:DB1546:Panguitch Lake; 2024:DB1576:Panguitch Lake; 2024:DB1594:Panguitch Lake; 2024:DB1785:Panguitch Lake,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
