reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5061,Pronghorn,28/29,"Panguitch Lake/Zion, North",7|7|7|1.9|100.0,"[7, 7, 7, 1.9, 100.0]","28/29 PB5061 Panguitch Lake/Zion, North 7 7 7 1.9 100.0",7.0,7,7.0,1.9,100.0,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5062,Pronghorn,30,Pine Valley,6|9|9|3.8|66.7,"[6, 9, 9, 3.8, 66.7]",30 PB5062 Pine Valley 6 9 9 3.8 66.7,6.0,9,9.0,3.8,66.7,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5067,Pronghorn,25,"Plateau, Highlands",2|6|6|2.3|33.3,"[2, 6, 6, 2.3, 33.3]","25 PB5067 Plateau, Highlands 2 6 6 2.3 33.3",2.0,6,6.0,2.3,33.3,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5056,Pronghorn,12,"San Rafael, North",22|23|23|3.2|95.7,"[22, 23, 23, 3.2, 95.7]","12 PB5056 San Rafael, North 22 23 23 3.2 95.7",22.0,23,23.0,3.2,95.7,22.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5060,Pronghorn,9,"South Slope, Bonanza/Diamond Mtn",11|12|12|2.0|91.7,"[11, 12, 12, 2.0, 91.7]","9 PB5060 South Slope, Bonanza/Diamond Mtn 11 12 12 2.0 91.7",11.0,12,12.0,2.0,91.7,11.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5024,Pronghorn,20,Southwest Desert,23|31|29|3.4|78.6,"[23, 31, 29, 3.4, 78.6]",20 PB5024 Southwest Desert 23 31 29 3.4 78.6,23.0,31,29.0,3.4,78.6,23.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5025,Pronghorn,22,Beaver,27|28|28|1.9|96.4,"[27, 28, 28, 1.9, 96.4]",22 PB5025 Beaver 27 28 28 1.9 96.4,27.0,28,28.0,1.9,96.4,27.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5026,Pronghorn,10,"Book Cliffs, Bitter Creek",29|30|29|1.6|100.0,"[29, 30, 29, 1.6, 100.0]","10 PB5026 Book Cliffs, Bitter Creek 29 30 29 1.6 100.0",29.0,30,29.0,1.6,100.0,29.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5027,Pronghorn,10,"Book Cliffs, South",17|24|23|2.5|73.9,"[17, 24, 23, 2.5, 73.9]","10 PB5027 Book Cliffs, South 17 24 23 2.5 73.9",17.0,24,23.0,2.5,73.9,17.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5028,Pronghorn,1,"Box Elder, Promontory",11|14|14|2.9|78.6,"[11, 14, 14, 2.9, 78.6]","1 PB5028 Box Elder, Promontory 11 14 14 2.9 78.6",11.0,14,14.0,2.9,78.6,11.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
