Unit,Hunt number,Hunt name,Bull harvest,Permits,Hunters afield,Mean days hunted,Success rate (%),Sex type,Hunt type,Weapon,Season,Hunt class,HUNT BOUNDARY,Page title,Source page,Source file,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
10,EB3163,"Book Cliffs, Bitter Creek/East",14,9,14,4.6,64.3,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,899.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3163,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3151,Boulder,21,18,21,5.3,85.0,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,172.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3151,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
2,EB3033,"Cache, Meadowville",8,3,7,3.3,50.0,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,33.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3033,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3037,"Cache, South",7,4,7,5.0,57.1,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,41.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3037,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3196,Diamond Mtn,17,8,17,5.8,47.1,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,206.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3196,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3043,"Fillmore, Pahvant",14,11,14,5.5,76.9,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,88.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3043,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3065,Fishlake/Thousand Lakes,61,45,61,4.9,73.2,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,175.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3065,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13B,EB3044,"La Sal, Dolores Triangle",7,6,7,8.7,83.3,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,108.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3044,1,Dolores Triangle,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3046,"La Sal, La Sal Mtns",27,15,26,6.0,57.7,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,617.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3046,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3039,Manti,115,91,115,4.7,79.1,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,51.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3039,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3048,Monroe,12,8,12,5.2,66.7,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,629.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3048,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3050,Mt Dutton,13,11,13,3.4,84.6,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,630.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3050,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
16A,EB3176,Nebo/San Pitch Mtns,14,9,14,3.9,64.3,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,901.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3176,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
28,EB3057,Panguitch Lake,10,10,10,3.3,100.0,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,634.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3057,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3067,San Juan Bull Elk,17,12,17,5.8,70.6,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,183.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3067,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3152,"Southwest Desert, South",24,16,24,5.1,65.2,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,872.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3152,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3073,Wasatch Mtns,140,93,139,5.1,66.9,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,222.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3073,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
22,EB3077,"Beaver, East",13,10,13,4.6,76.9,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,685.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3077,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3166,"Book Cliffs, Bitter Creek/East",13,9,13,5.7,69.2,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,899.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3166,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3078,"Book Cliffs, Bitter Creek/South",1,1,1,3.0,100.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,,0,,existing_hunt_number_column,historical_only
10,EB3079,"Book Cliffs, Little Creek Roadless",1,1,1,1.0,100.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,12.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3079,1,Book Cliffs Little Creek Roadless,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3154,Boulder,19,15,19,6.0,78.9,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,172.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3154,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
1,EB3153,"Box Elder, Grouse Creek",4,1,4,6.3,25.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,867.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3153,1,Box Elder Grouse Creek,existing_hunt_number_column,mapped_to_2026_codes
2,EB3081,"Cache, Meadowville",8,4,8,5.6,50.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,33.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3081,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3083,"Cache, South",5,4,5,4.4,80.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,41.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3083,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3098,Diamond Mtn,21,17,21,5.1,80.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,206.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3098,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3086,"Fillmore, Pahvant",12,8,12,7.1,66.7,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,88.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3086,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3096,Fishlake/Thousand Lakes,52,36,52,5.8,70.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,175.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3096,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3087,"La Sal, La Sal Mtns",25,17,24,5.3,70.8,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,617.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3087,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3084,Manti,103,68,103,5.9,66.3,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,51.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3084,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3088,Monroe,11,9,11,5.8,81.8,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,629.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3088,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3089,Mt Dutton,11,8,11,5.6,72.7,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,630.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3089,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
16A,EB3179,Nebo/San Pitch Mtns,12,9,12,5.8,72.7,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,901.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3179,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
8C,EB3091,"North Slope, Three Corners",4,3,4,3.5,75.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,140.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3091,1,North Slope Three Corners,existing_hunt_number_column,mapped_to_2026_codes
28,EB3093,Panguitch Lake,10,9,10,4.9,90.0,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,634.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3093,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3097,San Juan Bull Elk,17,12,17,5.3,68.8,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,183.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3097,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3155,"Southwest Desert, South",23,14,23,6.0,61.9,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,872.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3155,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3100,Wasatch Mtns,122,82,122,5.8,67.5,Bull,Limited Entry,Muzzleloader,Muzzleloader,Limited Entry,222.0,"Limited-entry muzzleloader bull elk harvest, Utah 2024.",6,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3100,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3142,Barney Top/Kaiparowits,10,4,10,8.4,44.4,Bull,Limited Entry,HAMSS,HAMSS,Limited Entry,869.0,"Limited-entry handgun-archery-muzzleloader-shotgun-short-walled-rifle (HAMSS) bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3142,1,Barney Top/Kaiparowits,existing_hunt_number_column,mapped_to_2026_codes
2,EB3139,"Cache, North",28,10,28,10.6,34.6,Bull,Limited Entry,HAMSS,HAMSS,Limited Entry,36.0,"Limited-entry handgun-archery-muzzleloader-shotgun-short-walled-rifle (HAMSS) bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3139,1,Cache North,existing_hunt_number_column,mapped_to_2026_codes
20,EB3143,"Southwest Desert, North",13,10,13,11.4,75.0,Bull,Limited Entry,HAMSS,HAMSS,Limited Entry,871.0,"Limited-entry handgun-archery-muzzleloader-shotgun-short-walled-rifle (HAMSS) bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3143,1,Southwest Desert North,existing_hunt_number_column,mapped_to_2026_codes
19,EB3144,"West Desert, Deep Creek",13,10,13,8.0,75.0,Bull,Limited Entry,HAMSS,HAMSS,Limited Entry,241.0,"Limited-entry handgun-archery-muzzleloader-shotgun-short-walled-rifle (HAMSS) bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3144,1,West Desert Deep Creek,existing_hunt_number_column,mapped_to_2026_codes
10,LE0015,Book Cliffs,1,0,1,4.0,0.0,Bull,Limited Entry,Archery,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
13A,LE0001,"La Sal, La Sal Mtns",1,1,1,3.0,100.0,Bull,Limited Entry,Archery,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
20,LE0013,Southwest Desert,1,1,1,7.0,100.0,Bull,Limited Entry,Archery,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
22,LE0014,Beaver,1,1,1,6.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
2,LE0016,Cache,1,0,1,9.0,0.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
2,LE0029,Cache,1,1,1,6.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
13A,LE0018,"La Sal, La Sal Mtns",1,1,1,2.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16B,LE0002,Manti,1,1,1,3.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16B,LE0003,Manti,1,1,1,8.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16B,LE0004,Manti,1,0,1,8.0,0.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16B,LE0005,Manti,1,1,1,4.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16A,LE0017,Nebo,1,1,1,1.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
14,LE0006,San Juan,1,0,1,5.0,0.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
14,LE0007,San Juan,1,0,1,10.0,0.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
17,LE0008,Wasatch Mtns,1,1,1,1.0,100.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
17,LE0009,Wasatch Mtns,1,0,1,7.0,0.0,Bull,Limited Entry,Any Legal Weapon,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16B,LE0011,Manti,1,1,1,1.0,100.0,Bull,Limited Entry,Muzzleloader,Landowner,Limited Entry,,"Landowner limited-entry bull elk harvest, Utah 2024.",1,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
22,EB3102,"Beaver, East",4,4,4,14.8,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,685.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3102,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3165,"Book Cliffs, Bitter Creek/East",3,3,3,12.0,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,899.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3165,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3104,"Book Cliffs, Little Creek Roadless",1,1,1,4.0,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,12.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3104,1,Book Cliffs Little Creek Roadless,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3156,Boulder,5,5,5,19.4,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,172.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3156,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
2,EB3105,"Cache, Meadowville",3,2,3,1.7,66.7,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,33.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3105,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3107,"Cache, South",2,2,2,5.0,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,41.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3107,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3122,Diamond Mtn,4,1,4,24.3,25.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,206.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3122,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3110,"Fillmore, Pahvant",3,1,3,16.0,33.3,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,88.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3110,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3120,Fishlake/Thousand Lakes,12,11,12,17.2,90.9,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,175.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3120,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3111,"La Sal, La Sal Mtns",7,4,7,12.4,57.1,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,617.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3111,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3108,Manti,22,19,22,16.3,85.7,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,51.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3108,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3112,Monroe,3,3,3,5.7,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,629.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3112,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3113,Mt Dutton,3,3,3,8.5,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,630.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3113,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
16A,EB3109,Nebo,1,1,1,6.0,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,,0,,existing_hunt_number_column,historical_only
16A,EB3178,Nebo/San Pitch Mtns,2,2,2,21.5,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,901.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3178,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
8C,EB3115,"North Slope, Three Corners",2,2,2,6.0,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,140.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3115,1,North Slope Three Corners,existing_hunt_number_column,mapped_to_2026_codes
28,EB3117,Panguitch Lake,3,2,3,13.0,50.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,634.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3117,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3121,San Juan Bull Elk,4,4,4,12.3,100.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,183.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3121,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3157,"Southwest Desert, South",6,3,6,9.3,50.0,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,872.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3157,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3124,Wasatch Mtns,27,21,27,15.0,76.9,Bull,Limited Entry,Multiseason,Multiseason,Limited Entry,222.0,"Multiseason limited-entry bull elk harvest, Utah 2024.",2,2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf,EB3124,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
