reported_hunt_year,model_target_year,source_file,source_page,source_family,species,unit_context,unit_code,table_year_start,table_year_end,permits_issued,harvest_male,harvest_female,harvest_total,percent_permits_filled,percent_female,percent_adult_male,mean_age,depredation_male,depredation_female,total_harvest_mortality,raw_line,source_sha256
2021,2022,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,23.0,3.0,4.0,7.0,30.0,57.0,14.0,12.3,0,0,7,2021 23 3 4 7 30 57 14 12.3 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2022,2023,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,24.0,4.0,3.0,7.0,29.0,43.0,20.0,4.2,0,0,7,2022 24 4 3 7 29 43 20 4.2 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2023,2024,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,24.0,4.0,5.0,9.0,38.0,56.0,11.0,5.6,0,0,9,2023 24 4 5 9 38 56 11 5.6 0 0 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2024,2025,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,24.0,2.0,0.0,2.0,8.0,0.0,50.0,4.5,0,0,2,2024 24 2 0 2 8 0 50 4.5 0 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1990,1991,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,3.0,0.0,0.0,0.0,0.0,,,,1,0,1,1990 3 0 0 0 0 — — — 1 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1991,1992,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,3.0,0.0,1.0,1.0,33.0,100.0,,,0,0,1,1991 3 0 1 1 33 100 — — 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1992,1993,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,3.0,1.0,0.0,1.0,33.0,0.0,,,0,0,1,1992 3 1 0 1 33 0 — — 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1993,1994,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,4.0,2.0,0.0,2.0,50.0,0.0,,,0,2,4,1993 4 2 0 2 50 0 — — 0 2 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1994,1995,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,5.0,0.0,1.0,1.0,20.0,100.0,,,2,2,5,1994 5 0 1 1 20 100 — — 2 2 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1995,1996,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,6.0,3.0,2.0,5.0,83.0,40.0,,,1,0,6,1995 6 3 2 5 83 40 — — 1 0 6,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1996,1997,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,2.0,2.0,4.0,50.0,50.0,,,3,0,7,1996 8 2 2 4 50 50 — — 3 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1997,1998,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,2.0,1.0,3.0,38.0,33.0,,,0,0,3,1997 8 2 1 3 38 33 — — 0 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1998,1999,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,1.0,1.0,2.0,25.0,50.0,,,2,0,4,1998 8 1 1 2 25 50 — — 2 0 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1999,2000,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,2.0,2.0,4.0,50.0,50.0,,,1,0,5,1999 8 2 2 4 50 50 — — 1 0 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2000,2001,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,3.0,1.0,4.0,50.0,25.0,,,0,0,4,2000 8 3 1 4 50 25 — — 0 0 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2001,2002,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,1.0,2.0,3.0,38.0,67.0,,7.6,1,0,5,2001 8 1 2 3 38 67 — 7.6 1 0 5*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2002,2003,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,1.0,2.0,3.0,38.0,67.0,,3.0,1,0,4,2002 8 1 2 3 38 67 — 3.0 1 0 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2003,2004,24_black_bear_mortality_report.pdf,4,black_bear_unit_mortality_history,Black Bear,Boulder,25c,1990,2003,8.0,3.0,0.0,3.0,38.0,0.0,,5.0,1,3,7,2003 8 3 0 3 38 0 — 5.0 1 3 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2004,2005,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,17.0,6.0,2.0,8.0,47.0,25.0,,8.3,2,0,12,2004 17 6 2 8 47 25 — 8.3 2 0 12**,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2005,2006,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,17.0,2.0,2.0,4.0,24.0,50.0,,4.8,1,1,7,2005 17 2 2 4 24 50 — 4.8 1 1 7*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2006,2007,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,16.0,5.0,1.0,6.0,38.0,17.0,,7.0,0,4,11,2006 16 5 1 6 38 17 — 7.0 0 4 11*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2007,2008,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,22.0,10.0,1.0,11.0,50.0,9.0,,7.1,6,0,17,2007 22 10 1 11 50 9 — 7.1 6 0 17,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2008,2009,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,25.0,6.0,4.0,10.0,40.0,40.0,,7.4,0,0,10,2008 25 6 4 10 40 40 — 7.4 0 0 10,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2009,2010,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,25.0,11.0,2.0,13.0,52.0,15.0,54.0,5.8,4,0,17,2009 25 11 2 13 52 15 54 5.8 4 0 17,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2010,2011,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,29.0,7.0,4.0,11.0,38.0,36.0,55.0,6.4,0,0,11,2010 29 7 4 11 38 36 55 6.4 0 0 11,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2011,2012,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,33.0,7.0,2.0,9.0,27.0,22.0,63.0,8.5,0,1,10,2011 33 7 2 9 27 22 63 8.5 0 1 10,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2012,2013,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,40.0,14.0,2.0,16.0,40.0,13.0,31.0,4.8,0,0,16,2012 40 14 2 16 40 13 31 4.8 0 0 16,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2013,2014,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,42.0,8.0,6.0,14.0,33.0,43.0,43.0,5.9,0,0,14,2013 42 8 6 14 33 43 43 5.9 0 0 14,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2014,2015,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,42.0,11.0,7.0,18.0,43.0,39.0,22.0,6.5,0,0,18,2014 42 11 7 18 43 39 22 6.5 0 0 18,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2015,2016,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,41.0,10.0,4.0,14.0,34.0,29.0,42.0,7.4,1,1,16,2015 41 10 4 14 34 29 42 7.4 1 1 16,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2016,2017,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,48.0,9.0,6.0,15.0,31.0,40.0,21.0,4.9,0,1,16,2016 48 9 6 15 31 40 21 4.9 0 1 16,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2017,2018,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,48.0,11.0,13.0,24.0,50.0,54.0,26.0,6.1,0,0,24,2017 48 11 13 24 50 54 26 6.1 0 0 24,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2018,2019,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,48.0,14.0,11.0,25.0,52.0,44.0,20.0,6.6,0,0,25,2018 48 14 11 25 52 44 20 6.6 0 0 25,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2019,2020,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,70.0,15.0,5.0,20.0,29.0,25.0,16.0,4.1,0,0,20,2019 70 15 5 20 29 25 16 4.1 0 0 20,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2020,2021,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,100.0,13.0,9.0,22.0,22.0,41.0,37.0,5.5,0,0,22,2020 100 13 9 22 22 41 37 5.5 0 0 22,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2021,2022,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,117.0,17.0,9.0,26.0,22.0,35.0,24.0,4.7,0,0,26,2021 117 17 9 26 22 35 24 4.7 0 0 26,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2022,2023,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,80.0,7.0,11.0,18.0,23.0,61.0,17.0,6.9,0,0,18,2022 80 7 11 18 23 61 17 6.9 0 0 18,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2023,2024,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,80.0,9.0,6.0,15.0,19.0,40.0,8.0,3.7,1,0,16,2023 80 9 6 15 19 40 8 3.7 1 0 16,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2024,2025,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Boulder/Kaiparowits,25c/26,2004,2024,80.0,11.0,8.0,19.0,24.0,42.0,18.0,6.2,0,0,19,2024 80 11 8 19 24 42 18 6.2 0 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2019,2020,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Cache/Ogden,2/3,2019,2024,9.0,2.0,0.0,2.0,22.0,0.0,50.0,3.0,0,0,2,2019 9 2 0 2 22 0 50 3.0 0 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2020,2021,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Cache/Ogden,2/3,2019,2024,9.0,1.0,0.0,1.0,11.0,0.0,0.0,3.0,0,0,1,2020 9 1 0 1 11 0 0 3.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2021,2022,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Cache/Ogden,2/3,2019,2024,9.0,1.0,0.0,1.0,11.0,0.0,100.0,17.0,0,0,1,2021 9 1 0 1 11 0 100 17.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2022,2023,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Cache/Ogden,2/3,2019,2024,9.0,2.0,0.0,2.0,22.0,0.0,50.0,5.5,2,1,5,2022 9 2 0 2 22 0 50 5.5 2 1 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2023,2024,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Cache/Ogden,2/3,2019,2024,9.0,0.0,0.0,0.0,0.0,,,,0,0,0,2023 9 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2024,2025,24_black_bear_mortality_report.pdf,5,black_bear_unit_mortality_history,Black Bear,Cache/Ogden,2/3,2019,2024,9.0,2.0,4.0,6.0,67.0,67.0,33.0,6.2,7,2,15,2024 9 2 4 6 67 67 33 6.2 7 2 15,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1990,1991,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1990 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1991,1992,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1991 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1992,1993,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1992 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1993,1994,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1993 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1994,1995,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1994 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1995,1996,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1995 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1996,1997,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1996 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1997,1998,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,1,0,1,1997 1 0 0 0 0 — — — 1 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1998,1999,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,1,1998 1 0 0 0 0 — — — 0 0 1*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1999,2000,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,1,0,1,1999 1 0 0 0 0 — — — 1 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2000,2001,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,1.0,0.0,1.0,100.0,0.0,,3.0,0,0,1,2000 1 1 0 1 100 0 — 3.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2001,2002,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2001 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2002,2003,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2002 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2003,2004,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2003 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2004,2005,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2004 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2005,2006,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2005 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2006,2007,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,2.0,0.0,0.0,0.0,0.0,,,,0,0,1,2006 2 0 0 0 0 — — — 0 0 1*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2007,2008,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,2.0,0.0,0.0,0.0,0.0,,,,3,1,4,2007 2 0 0 0 0 — — — 3 1 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2008,2009,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,0.0,0.0,0.0,0.0,,,,1,0,1,2008 4 0 0 0 0 — — — 1 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2009,2010,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,0.0,0.0,0.0,0.0,,,,0,1,1,2009 4 0 0 0 0 — — — 0 1 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2010,2011,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,1.0,0.0,1.0,25.0,0.0,100.0,6.0,1,1,3,2010 4 1 0 1 25 0 100 6.0 1 1 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2011,2012,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,1.0,0.0,1.0,25.0,0.0,100.0,6.0,1,0,2,2011 4 1 0 1 25 0 100 6.0 1 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2012,2013,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,2.0,0.0,2.0,50.0,0.0,0.0,2.0,1,0,3,2012 4 2 0 2 50 0 0 2.0 1 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2013,2014,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,1.0,0.0,1.0,25.0,0.0,100.0,5.0,2,0,3,2013 4 1 0 1 25 0 100 5.0 2 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2014,2015,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,4.0,0.0,0.0,0.0,0.0,,,,1,2,3,2014 4 0 0 0 0 — — — 1 2 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2015,2016,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,9.0,4.0,0.0,4.0,44.0,0.0,25.0,4.0,1,0,5,2015 9 4 0 4 44 0 25 4.0 1 0 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2016,2017,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,9.0,3.0,1.0,4.0,44.0,25.0,25.0,4.3,0,2,6,2016 9 3 1 4 44 25 25 4.3 0 2 6,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2017,2018,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,9.0,2.0,0.0,2.0,22.0,0.0,100.0,5.5,1,1,4,2017 9 2 0 2 22 0 100 5.5 1 1 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2018,2019,24_black_bear_mortality_report.pdf,6,black_bear_unit_mortality_history,Black Bear,Cache/Ogden/Morgan-South Rich/East Canyon,2/3/4/5,1990,2018,9.0,2.0,1.0,3.0,33.0,33.0,67.0,7.7,2,0,5,2018 9 2 1 3 33 33 67 7.7 2 0 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2002,2003,24_black_bear_mortality_report.pdf,9,black_bear_unit_mortality_history,Black Bear,Diamond Mtn/Vernal/Bonanza,9bcd,2002,2024,10.0,0.0,2.0,3.0,30.0,67.0,,2.7,2,1,6,2002 10 0 2 3* 30 67 — 2.7 2 1 6,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2003,2004,24_black_bear_mortality_report.pdf,9,black_bear_unit_mortality_history,Black Bear,Diamond Mtn/Vernal/Bonanza,9bcd,2002,2024,9.0,2.0,2.0,4.0,44.0,50.0,,7.3,0,1,6,2003 9 2 2 4 44 50 — 7.3 0 1 6*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2004,2005,24_black_bear_mortality_report.pdf,9,black_bear_unit_mortality_history,Black Bear,Diamond Mtn/Vernal/Bonanza,9bcd,2002,2024,10.0,5.0,2.0,7.0,70.0,29.0,,4.6,0,1,8,2004 10 5 2 7 70 29 — 4.6 0 1 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
