reported_hunt_year,model_target_year,source_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,male_harvest,female_harvest,unknown_harvest,total_harvest,quota,percent_female,percent_adult_male,percent_5plus,mean_age,spot_stalk_harvest,source_file,source_file_sha256,source_page,parse_status,data_quality_flags,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line,section
2022,2023,antlerless,Antlerless Elk,EA1013,"Central Mtns, Central Manti",Antlerless Elk,Any Legal Weapon,15,15,8,4.3,50.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1013 Central Mtns, Central Manti Any Legal Weapon 15 15 8 50.0 4.3",
2022,2023,antlerless,Antlerless Elk,EA1015,"Central Mtns, Ferron Canyon",Antlerless Elk,Any Legal Weapon,9,8,5,5.6,60.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1015 Central Mtns, Ferron Canyon Any Legal Weapon 9 8 5 60.0 5.6",
2022,2023,antlerless,Antlerless Elk,EA1017,"Central Mtns, Gordon Creek-Price Canyon",Antlerless Elk,Any Legal Weapon,10,10,8,6.8,83.3,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1017 Central Mtns, Gordon Creek-Price Canyon Any Legal Weapon 10 10 8 83.3 6.8",
2022,2023,antlerless,Antlerless Elk,EA1018,"Central Mtns, Horn Mtn",Antlerless Elk,Any Legal Weapon,5,3,3,6.0,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1018 Central Mtns, Horn Mtn Any Legal Weapon 5 3 3 100.0 6.0",
2022,2023,antlerless,Antlerless Elk,EA1020,"Central Mtns, Mohrland-Stump Flat",Antlerless Elk,Any Legal Weapon,10,10,7,8.2,66.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1020 Central Mtns, Mohrland-Stump Flat Any Legal Weapon 10 10 7 66.7 8.2",
2022,2023,antlerless,Antlerless Elk,EA1207,"Central Mtns, Moroni Hills",Antlerless Elk,Any Legal Weapon,20,16,3,8.0,18.2,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1207 Central Mtns, Moroni Hills Any Legal Weapon 20 16 3 18.2 8.0",
2022,2023,antlerless,Antlerless Elk,EA1226,"Central Mtns, Moroni Hills",Antlerless Elk,Any Legal Weapon,10,9,4,10.3,42.9,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1226 Central Mtns, Moroni Hills Any Legal Weapon 10 9 4 42.9 10.3",
2022,2023,antlerless,Antlerless Elk,EA1021,"Central Mtns, Nebo",Antlerless Elk,Any Legal Weapon,89,84,53,4.2,62.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1021 Central Mtns, Nebo Any Legal Weapon 89 84 53 62.7 4.2",
2022,2023,antlerless,Antlerless Elk,EA1208,"Central Mtns, Nebo",Antlerless Elk,Any Legal Weapon,100,98,85,6.3,85.9,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1208 Central Mtns, Nebo Any Legal Weapon 100 98 85 85.9 6.3",
2022,2023,antlerless,Antlerless Elk,EA1022,"Central Mtns, North Manti",Antlerless Elk,Any Legal Weapon,121,112,35,4.8,30.8,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1022 Central Mtns, North Manti Any Legal Weapon 121 112 35 30.8 4.8",
