expo_row_id,source_year,permit_class,description,normalized_description_key,expo_permits,selected_hunt_code,match_status,match_confidence,match_notes,draw_2025_public_permits,harvest_report_2025_total_permits,rac_2026_total_permits,draw_2025_plus_expo,harvest_2025_minus_draw_plus_expo,rac_2026_minus_draw_plus_expo,source_hunt_name,source_weapon,discrepancy_flags,final_assignment_type,selected_boundary_id,component_hunt_codes,user_rule_applied,issue_class
59,2025,expo,Bull Elk - Limited Entry - Archery - Boulder - Permits: 1,Bull Elk - Limited Entry - Archery - Boulder,1,EB3145,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,30.0,32.0,35.0,31.0,1.0,4.0,Boulder,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
60,2025,expo,Bull Elk - Limited Entry - Any Weapon (early) - Fishlake/Thousand Lakes - Permits: 2,Bull Elk - Limited Entry - Any Weapon (early) - Fishlake/Thousand Lakes,2,EB3063,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,35.0,38.0,38.0,37.0,1.0,1.0,Fishlake/Thousand Lakes,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
61,2025,expo,Bull Elk - Limited Entry - Any Weapon (mid) - Fishlake/Thousand Lakes - Permits: 5,Bull Elk - Limited Entry - Any Weapon (mid) - Fishlake/Thousand Lakes,5,EB3064,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,102.0,108.0,110.0,107.0,1.0,3.0,Fishlake/Thousand Lakes,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
62,2025,expo,Bull Elk - Limited Entry - Any Weapon (late) - Fishlake/Thousand Lakes - Permits: 2,Bull Elk - Limited Entry - Any Weapon (late) - Fishlake/Thousand Lakes,2,EB3065,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,60.0,64.0,63.0,62.0,2.0,1.0,Fishlake/Thousand Lakes,Late Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
63,2025,expo,Bull Elk - Limited Entry - Archery - Fishlake/Thousand Lakes - Permits: 3,Bull Elk - Limited Entry - Archery - Fishlake/Thousand Lakes,3,EB3018,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,87.0,89.0,93.0,90.0,-1.0,3.0,Fishlake/Thousand Lakes,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
64,2025,expo,Bull Elk - Limited Entry - Muzzleloader - Fishlake/Thousand Lakes - Permits: 1,Bull Elk - Limited Entry - Muzzleloader - Fishlake/Thousand Lakes,1,EB3096,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,53.0,55.0,56.0,54.0,1.0,2.0,Fishlake/Thousand Lakes,Muzzleloader,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
65,2025,expo,Bull Elk - Limited Entry - Any Weapon (early) - San Juan Bull Elk - Permits: 1,Bull Elk - Limited Entry - Any Weapon (early) - San Juan Bull Elk,1,EB3066,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,11.0,19.0,13.0,12.0,7.0,1.0,San Juan Bull Elk,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
66,2025,expo,Bull Elk - Limited Entry - Any Weapon (mid) - San Juan Bull Elk - Permits: 1,Bull Elk - Limited Entry - Any Weapon (mid) - San Juan Bull Elk,1,EB3194,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,33.0,35.0,37.0,34.0,1.0,3.0,San Juan Bull Elk,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
67,2025,expo,Bull Elk - Limited Entry - Archery - San Juan Bull Elk - Permits: 1,Bull Elk - Limited Entry - Archery - San Juan Bull Elk,1,EB3019,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,28.0,30.0,32.0,29.0,1.0,3.0,San Juan Bull Elk,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
68,2025,expo,"Bull Elk - Limited Entry - Any Weapon (early) - Southwest Desert, South - Permits: 1","Bull Elk - Limited Entry - Any Weapon (early) - Southwest Desert, South",1,EB3149,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,16.0,18.0,18.0,17.0,1.0,1.0,Southwest Desert South,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
