hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,,permits_year_res,permits_year_nr,permits_year_total,permits_2026_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
DS6601,98,"Kaiparowits, East",Either Sex,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,10,3,13,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,10,3,13,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_desert_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
DS1006,100,"Kaiparowits, West",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",,,,,,2,0,2,,,,,,,
DS6603,100,"Kaiparowits, West",Either Sex,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,1,4,,,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_desert_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
GO6804,102,High Uintas Kamas,Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,1,0,1,,,7,1,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_mountain_goat_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1035,104,"Kamas, Oakley",Antlerless,Elk,Any Legal Weapon,General Season,Nov 07 2026 - Dec 30 2026,90,10,100,,,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,90,10,100,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1207,107,"Nebo, Moroni Hills",Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2026 - Aug 19 2026,9,1,10,,,13,1,14,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1226,107,"Nebo, Moroni Hills",Antlerless,Elk,Any Legal Weapon,General Season,Sept 12 2026 - Oct 02 2026,9,1,10,,,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
BR7021,108,Dolores Triangle,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,,,,,,,,,,,,
BR7126,108,Dolores Triangle,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,,,18,2,20,,,,,,,
BR7238,108,Dolores Triangle,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,,,14,2,16,,,,,,,
DB1013,108,Dolores Triangle,Buck,Deer,Archery,Limited Entry,Oct 31 2026 - Nov 13 2026,5,0,5,,,10,1,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1020,108,Dolores Triangle,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 14 2026 - Nov 22 2026,13,2,15,,,10,1,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1031,108,Dolores Triangle,Buck,Deer,Muzzleloader,Limited Entry,Nov 23 2026 - Dec 01 2026,5,0,5,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1118,108,Dolores Triangle,Buck,Deer,Multiseason,Conservation,"Arch: Oct 31-Nov 13, 2026 | Any Legal Weapon: Nov 14-22, 2026 | Muzz: Nov 23-Dec 1, 2026",,,,,,,,,,,,,,,
EA1037,108,Dolores Triangle,Antlerless,Elk,Any Legal Weapon,General Season,Dec 12 2026 - Jan 31 2027,45,5,50,,,23,3,26,2026_RAC_CURRENT_YEAR_ALLOTMENT,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3044,108,Dolores Triangle,Bull,Elk,Late Any Legal Weapon,Limited Entry,Dec 05 2026 - Jan 31 2027,6,1,7,,,11,1,12,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EL3044,108,La Sal Dolores Triangle,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Dec 06 2025 - Jan 31 2026 - Private Land Only,,,31,,,40,5,45,,,,,,,
PD1033,110,"San Rafael, Poison Springs Bench",Doe,Pronghorn,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,13,2,15,,,23,3,26,2026_RAC_CURRENT_YEAR_ALLOTMENT,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_doe_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
DA1003,115,"Monroe/Plateau, Sevier Valley",Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Sept 01 2026 - Sept 30 2026,,,15,,,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
EA1231,116,"West Desert, Tintic Valley",Antlerless,Elk,Any Legal Weapon,General Season,Nov 07 2026 - Jan 31 2027,45,5,50,,,12,1,13,2026_RAC_CURRENT_YEAR_ALLOTMENT,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2019,116,"West Desert, Tintic Valley",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2026 - Jan 31 2027,,,60,,,12,1,13,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,60,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_private_lands_only_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
DB1103,117,Morgan-South Rich,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,7,1,8,,,13,1,14,,,,,,,
DB1607,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,640,,,6,1,7,,,,,,,
DB1608,117,Morgan-South Rich,Buck,Deer,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,320,,,36,4,40,,,,,,,
DB1609,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,320,,,6,1,7,,,,,,,
DB1610,117,Morgan-South Rich,Buck,Deer,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,320,,,4,1,5,,,,,,,
DB1801,117,Morgan-South Rich,Buck,Deer,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,211,,,10,1,11,,,,,,,
EA1228,117,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2026 - Dec 21 2026,67,8,75,,,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,67,8,75,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1229,117,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,General Season,Dec 22 2026 - Jan 31 2027,144,16,160,,,7,1,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,144,16,160,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2002,117,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2026 - Jan 31 2027,,,600,,,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,600,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_private_lands_only_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
EB3208,117,Morgan-South Rich,Bull,Elk,Late Any Legal Weapon,Limited Entry,Dec 19 2026 - Dec 27 2026,9,1,10,,,20,2,22,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EL3208,117,Morgan-South Rich,Bull,Elk,Any Legal Weapon (Late),Limited Entry - Private Land Only,Dec 20 2025 - Dec 28 2025 - Private Land Only,,,28,,,20,2,22,,,,,,,
LO1607,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Late),General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,,,27,3,30,,,,,,,
LO1608,117,Morgan-South Rich,Buck,Deer,Archery,General Season - Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,,,2,0,2,,,,,,,
LO1609,117,Morgan-South Rich,Buck,Deer,Any Legal Weapon (Early),General Season - Private Land Only,Oct 08 2025 - Oct 12 2025 - PRIVATE LAND ONLY,,,,,,10,1,11,,,,,,,
LO1610,117,Morgan-South Rich,Buck,Deer,Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,,,4,1,5,,,,,,,
MA1005,117,Morgan-South Rich,Antlerless,Moose,Any Legal Weapon,General Season,Sept 19 2026 - Oct 18 2026,6,1,7,,,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_moose_permits.csv,RAC_CURRENT_YEAR_SPLIT
MA1007,117,Morgan-South Rich,Antlerless,Moose,Archery,General Season,Aug 01 2026 - Sept 18 2026,3,0,3,,,10,1,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_moose_permits.csv,RAC_CURRENT_YEAR_SPLIT
MB6005,117,Morgan-South Rich,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,6,0,6,,,5,1,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bull_moose_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1044,122,"Morgan-South Rich, South Rich",Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2026 - Jan 31 2027,31,4,35,,,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,31,4,35,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2034,128,"Nine Mile, Anthro",Antlerless,Elk,Archery,General Season,Aug 15 2026 - Sept 16 2026,180,20,200,,,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,180,20,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2008,129,"Nine Mile, Anthro-Myton Bench",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2026 - Jan 31 2027,,,250,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,250,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_private_lands_only_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
PB5011,129,"Nine Mile, Anthro-Myton Bench",Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,30,3,33,,,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,30,3,33,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5037,129,"Nine Mile, Anthro-Myton Bench",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,89,10,99,,,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,89,10,99,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5059,129,"Nine Mile, Anthro-Myton Bench",Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,30,3,33,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,30,3,33,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1054,132,"Nine Mile, West Anthro",Antlerless,Elk,Any Legal Weapon,General Season,Dec 12 2026 - Dec 31 2026,90,10,100,,,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,90,10,100,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1056,134,"North Slope, Greendale",Antlerless,Elk,Any Legal Weapon,General Season,Nov 14 2026 - Nov 29 2026,4,1,5,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1058,135,"North Slope, Henrys Fork-Burnt Fork",Antlerless,Elk,Any Legal Weapon,General Season,Nov 07 2026 - Jan 30 2027,90,10,100,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,90,10,100,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1196,138,"North Slope, Summit",Antlerless,Elk,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,67,8,75,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,67,8,75,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1268,138,"North Slope, Summit",Antlerless,Elk,Archery,General Season,Aug 15 2026 - Sept 16 2026,180,20,200,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,180,20,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
MB6006,138,"North Slope, Summit",Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,20,3,23,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,20,3,23,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bull_moose_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5039,138,"North Slope, Summit",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,15,2,17,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,15,2,17,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1273,140,"North Slope, Three Corners",Antlerless,Elk,Any Legal Weapon,General Season,Dec 19 2026 - Jan 03 2027,22,3,25,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,22,3,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1274,140,"North Slope, Three Corners",Antlerless,Elk,Archery,General Season,Aug 15 2026 - Sept 04 2026,22,3,25,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,22,3,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1277,140,"North Slope, Three Corners",Antlerless,Elk,Any Legal Weapon,General Season,Nov 21 2026 - Nov 29 2026,22,3,25,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,22,3,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3013,140,"North Slope, Three Corners",Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,6,1,7,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3053,140,"North Slope, Three Corners",Bull,Elk,Mid Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,9,1,10,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3091,140,"North Slope, Three Corners",Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,4,0,4,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3115,140,"North Slope, Three Corners",Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,1,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3210,140,"North Slope, Three Corners",Bull,Elk,Early Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,5,0,5,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EL3013,140,North Slope Three Corners,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,16,,,1,0,1,,,,,,,
EL3053,140,North Slope Three Corners,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,16,,,2,0,2,,,,,,,
EL3091,140,North Slope Three Corners,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,3,,,2,0,2,,,,,,,
EL3210,140,North Slope Three Corners,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,21,,,1,0,1,,,,,,,
RS6708,140,"North Slope, Three Corners",Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2026 - Nov 30 2026,2,0,2,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1060,142,"North Slope, West Daggett",Antlerless,Elk,Muzzleloader,General Season,Oct 28 2026 - Nov 05 2026,18,2,20,,,13,0,13,2026_RAC_CURRENT_YEAR_ALLOTMENT,18,2,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1061,142,"North Slope, West Daggett",Antlerless,Elk,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,18,2,20,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,18,2,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1250,142,"North Slope, West Daggett",Antlerless,Elk,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,27,3,30,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,27,3,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2005,142,"North Slope, West Daggett",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2026 - Jan 31 2027,,,100,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,100,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_private_lands_only_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
RS6709,143,"North Slope, Summit/West Daggett",Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2026 - Nov 30 2026,3,0,3,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
GO6805,145,High Uintas Central,Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,5,0,5,,,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_mountain_goat_permits.csv,RAC_CURRENT_YEAR_SPLIT
GO6806,146,High Uintas East,Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,3,0,3,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_mountain_goat_permits.csv,RAC_CURRENT_YEAR_SPLIT
GO6807,147,High Uintas Leidy Peak,Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,2,0,2,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_mountain_goat_permits.csv,RAC_CURRENT_YEAR_SPLIT
GO6808,148,High Uintas West,Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Oct 31 2026,9,2,11,,,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,2,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_mountain_goat_permits.csv,RAC_CURRENT_YEAR_SPLIT
GO6810,157,"Ogden, Willard Peak",Either Sex,Mountain Goat,Any Legal Weapon,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,1,0,1,,,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_mountain_goat_permits.csv,RAC_CURRENT_YEAR_SPLIT
BR7011,163,Paunsaugunt,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,,,1,0,1,,,,,,,
BR7113,163,Paunsaugunt,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,,,1,0,1,,,,,,,
BR7214,163,Paunsaugunt,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,,,1,0,1,,,,,,,
BR7323,163,Paunsaugunt,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",1,0,1,,,14,0,14,,,,,,,
DB1001,163,Paunsaugunt Premium,Buck,Deer,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,26,3,29,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,26,3,29,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_premium_management_permits.csv,RAC_CURRENT_YEAR_SPLIT
