hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,database_sex_type,species,weapon,database_weapon,hunt_type,database_hunt_type,season,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,notes
Vernal/Bonanza,DB1086,614,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1086,614,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,6,1,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Wasatch Mtns, West",DB1087,620,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1087,620,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,36,4,40,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Book Cliffs, Floy Canyon",DB1090,301,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1090,301,Buck,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)","Book Cliffs, Floy Canyon",Limited Entry,Limited Entry,Nov 07 2026 - Nov 30 2026,Nov 07 2026 - Nov 30 2026,6,1,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Kaiparowits HAMSS,DB1091,314,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1091,314,Buck,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Kaiparowits HAMSS,Limited Entry,Limited Entry,Nov 07 2026 - Nov 30 2026,Nov 07 2026 - Nov 30 2026,4,1,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Chalk Creek,DB1100,69,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1100,69,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,10,1,11,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
East Canyon,DB1101,276,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1101,276,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Morgan-South Rich,DB1103,117,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1103,117,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,7,1,8,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
East Canyon,DB1105,276,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1105,276,Buck,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",East Canyon,Limited Entry,Limited Entry,Nov 07 2026 - Nov 30 2026,Nov 07 2026 - Nov 30 2026,6,1,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Thousand Lakes,DB1106,632,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1106,632,Buck,Buck,Deer,Restricted Archery,Restricted Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,Aug 15 2026 - Sept 11 2026,20,2,22,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Thousand Lakes,DB1107,632,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1107,632,Buck,Buck,Deer,Restricted Muzzleloader,Restricted Muzzleloader,Limited Entry,Limited Entry,Sept 23 2026 - Oct 01 2026,Sept 23 2026 - Oct 01 2026,20,2,22,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Thousand Lakes,DB1108,632,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1108,632,Buck,Buck,Deer,Restricted Rifle,Restricted Rifle,Limited Entry,Limited Entry,Oct 17 2026 - Oct 25 2026,Oct 17 2026 - Oct 25 2026,27,3,30,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Thousand Lakes,DB1109,632,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1109,632,Buck,Buck,Deer,Restricted Multiseason,Restricted Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Beaver, East",DB1110,685,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1110,685,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,10,1,11,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Beaver, West",DB1111,672,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1111,672,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,4,1,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"West Desert, Swasey",DB1112,926,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1112,926,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,4,1,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Oquirrh/Tintic,DB1113,927,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1113,927,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,10,1,11,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Cedar/Stansbury,DB1114,925,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1114,925,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,5,1,6,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Little Rockies,DB1115,928,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1115,928,Buck,Buck,Deer,Any Legal Weapon,Any Legal Weapon,Limited Entry,Limited Entry,Nov 07 2026 - Nov 30 2026,Nov 07 2026 - Nov 30 2026,4,1,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"San Juan, Mancos Mesa",DB1116,929,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1116,929,Buck,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)","San Juan, Mancos Mesa",Limited Entry,Limited Entry,Nov 07 2026 - Nov 30 2026,Nov 07 2026 - Nov 30 2026,4,1,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
