hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,source_row_numbers,notes
Cache/Ogden,BR7228,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,153;154,
"Kamas/North Slope, Summit",BR7229,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,155;156,
Monroe,BR7237,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,157;158,
Dolores Triangle,BR7238,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,159;160,
La Sal Mtns,BR7239,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,161;162,
"Book Cliffs, Bitter Creek/South",BR7300,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,163;164,
"Book Cliffs, Little Creek Roadless",BR7301,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,165;166,
"Manti, North",BR7303,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,167;168,
"Manti, South/San Rafael, North",BR7304,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,169;170,
Nebo,BR7305,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,171;172,
La Sal,BR7307,Either Sex,Black Bear,Multiseason,Multiseason - Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,4,TOTAL_ONLY,conservation-permit-hunt-table-2025-27.csv,3a8deb470e7f20f0ed96a1d9a18874f8b83f955856627c66511760610ff4c4ce,173,Conservation package total locked from BR7307 reviewed conservation evidence; no resident/nonresident split published.
"North Slope, Three Corners/West Daggett",BR7308,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,174;175,
Panguitch Lake/Zion,BR7309,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,176;177,
Boulder/Kaiparowits,BR7310,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,178;179,
Fishlake/Thousand Lakes,BR7311,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,180;181,
San Juan,BR7312,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,182;183,
Diamond Mtn/Vernal/Bonanza,BR7313,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,184;185,
Yellowstone,BR7314,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,186;187,
"Wasatch Mtns, Avintaquin/Currant Creek",BR7315,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,188;189,
"Wasatch Mtns, West-Central",BR7316,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,190;191,
Nine Mile,BR7317,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,192;193,
Beaver,BR7318,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,194;195,
Cache/Ogden,BR7320,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,196;197,
"Kamas/North Slope, Summit",BR7321,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,198;199,
Mt Dutton,BR7322,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,200;201,
Paunsaugunt,BR7323,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,202;203,
Chalk Creek/East Canyon/Morgan-South Rich,BR7324,Either Sex,Black Bear,Multiseason,Conservation,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,204,
Chalk Creek/East Canyon/Morgan-South Rich,BR7325,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,205;206,
La Sal Mtns,BR7326,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,207;208,
