key,species,area,condition,active_permit_count,extracted_permit_count,active_rows,active_hunt_codes,compare_status,match_key,species_original
bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison
antlerless elk|cache|any legal weapon,Antlerless Elk,Cache,Any Legal Weapon,4.0,4.0,3.0,CP-ELK-CACHE-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-CACHE-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-CACHE-ANTLERLESS-ANY-LEGAL-WEAPON,match,antlerless elk|cache|any legal weapon,Antlerless Elk
elk|cache meadowville|any legal weapon late,Elk,"Cache, Meadowville","Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-CACHE-MEADOWVILLE-BULL-ANY-LEGAL-WEAPON,match,elk|cache meadowville|any legal weapon late,Elk
elk|cache meadowville|alw,Elk,"Cache, Meadowville",ALW,2.0,,2.0,CP-ELK-CACHE-MEADOWVILLE-BULL-MULTISEASON;CP-ELK-CACHE-MEADOWVILLE-BULL-HUNTER-S-CHOICE,active_only,elk|cache meadowville|alw,Elk
elk|cache south|alw,Elk,"Cache, South",ALW,2.0,,2.0,CP-ELK-CACHE-SOUTH-BULL-HUNTER-S-CHOICE;CP-ELK-CACHE-SOUTH-BULL-MULTISEASON,active_only,elk|cache south|alw,Elk
elk|diamond mountain|any legal weapon late,Elk,Diamond Mtn,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-DIAMOND-MTN-BULL-ANY-LEGAL-WEAPON,match,elk|diamond mountain|any legal weapon late,Elk
elk|diamond mountain|archery,Elk,Diamond Mtn,Archery,1.0,1.0,1.0,CP-ELK-DIAMOND-MTN-BULL-ARCHERY,match,elk|diamond mountain|archery,Elk
elk|diamond mountain|alw,Elk,Diamond Mtn,ALW,2.0,,2.0,CP-ELK-DIAMOND-MTN-BULL-HUNTER-S-CHOICE;CP-ELK-DIAMOND-MTN-BULL-MULTISEASON,active_only,elk|diamond mountain|alw,Elk
elk|diamond mountain|any legal weapon mid,Elk,Diamond Mtn,"Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-DIAMOND-MTN-BULL-ANY-LEGAL-WEAPON,match,elk|diamond mountain|any legal weapon mid,Elk
elk|fillmore pahvant|alw,Elk,"Fillmore, Pahvant",ALW,2.0,,2.0,CP-ELK-FILLMORE-PAHVANT-BULL-MULTISEASON;CP-ELK-FILLMORE-PAHVANT-BULL-HUNTER-S-CHOICE,active_only,elk|fillmore pahvant|alw,Elk
elk|fillmore pahvant|any legal weapon late,Elk,"Fillmore, Pahvant","Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-FILLMORE-PAHVANT-BULL-ANY-LEGAL-WEAPON,match,elk|fillmore pahvant|any legal weapon late,Elk
elk|fillmore pahvant|archery,Elk,"Fillmore, Pahvant",Archery,1.0,1.0,1.0,CP-ELK-FILLMORE-PAHVANT-BULL-ARCHERY,match,elk|fillmore pahvant|archery,Elk
antlerless elk|fishlake|any legal weapon,Antlerless Elk,Fishlake,Any Legal Weapon,4.0,4.0,2.0,CP-ELK-FISHLAKE-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-FISHLAKE-ANTLERLESS-ANY-LEGAL-WEAPON,match,antlerless elk|fishlake|any legal weapon,Antlerless Elk
elk|fishlake thousand lakes|alw,Elk,Fishlake/Thousand Lakes,ALW,4.0,,4.0,CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-MULTISEASON;CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-HUNTER-S-CHOICE;CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-MULTISEASON;CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-HUNTER-S-CHOICE,active_only,elk|fishlake thousand lakes|alw,Elk
elk|fishlake thousand lakes|muzzleloader,Elk,Fishlake/Thousand Lakes,Muzzleloader,1.0,1.0,1.0,CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-MUZZLELOADER,match,elk|fishlake thousand lakes|muzzleloader,Elk
elk|fishlake thousand lakes|system object,Elk,Fishlake/Thousand Lakes,System.Object[],2.0,,1.0,CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-ANY-LEGAL-WEAPON,active_only,elk|fishlake thousand lakes|system object,Elk
elk|fishlake thousand lakes|archery,Elk,Fishlake/Thousand Lakes,Archery,1.0,1.0,1.0,CP-ELK-FISHLAKE-THOUSAND-LAKES-BULL-ARCHERY,match,elk|fishlake thousand lakes|archery,Elk
antlerless elk|la sal|any legal weapon,Antlerless Elk,La Sal,Any Legal Weapon,4.0,4.0,3.0,CP-ELK-LA-SAL-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-LA-SAL-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-LA-SAL-ANTLERLESS-ANY-LEGAL-WEAPON,match,antlerless elk|la sal|any legal weapon,Antlerless Elk
elk|la sal la sal mountains|archery,Elk,"La Sal, La Sal Mtns",Archery,1.0,1.0,1.0,CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-ARCHERY,match,elk|la sal la sal mountains|archery,Elk
elk|la sal la sal mountains|alw,Elk,"La Sal, La Sal Mtns",ALW,4.0,,3.0,CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-HUNTER-S-CHOICE;CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-MULTISEASON;CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-MULTISEASON,active_only,elk|la sal la sal mountains|alw,Elk
elk|la sal la sal mountains|any legal weapon late,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-ANY-LEGAL-WEAPON,match,elk|la sal la sal mountains|any legal weapon late,Elk
elk|la sal la sal mountains|any legal weapon mid,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-ANY-LEGAL-WEAPON,match,elk|la sal la sal mountains|any legal weapon mid,Elk
elk|la sal la sal mountains|muzzleloader,Elk,"La Sal, La Sal Mtns",Muzzleloader,1.0,1.0,1.0,CP-ELK-LA-SAL-LA-SAL-MTNS-BULL-MUZZLELOADER,match,elk|la sal la sal mountains|muzzleloader,Elk
antlerless elk|manti|any legal weapon,Antlerless Elk,Manti,Any Legal Weapon,4.0,4.0,2.0,CP-ELK-MANTI-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-MANTI-ANTLERLESS-ANY-LEGAL-WEAPON,match,antlerless elk|manti|any legal weapon,Antlerless Elk
elk|manti|any legal weapon late,Elk,Manti,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-MANTI-BULL-ANY-LEGAL-WEAPON,match,elk|manti|any legal weapon late,Elk
elk|manti|alw,Elk,Manti,ALW,4.0,,4.0,CP-ELK-MANTI-BULL-HUNTER-S-CHOICE;CP-ELK-MANTI-BULL-MULTISEASON;CP-ELK-MANTI-BULL-MULTISEASON;CP-ELK-MANTI-BULL-HUNTER-S-CHOICE,active_only,elk|manti|alw,Elk
elk|manti|muzzleloader,Elk,Manti,Muzzleloader,1.0,1.0,1.0,CP-ELK-MANTI-BULL-MUZZLELOADER,match,elk|manti|muzzleloader,Elk
elk|manti|any legal weapon mid,Elk,Manti,"Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-MANTI-BULL-ANY-LEGAL-WEAPON,match,elk|manti|any legal weapon mid,Elk
elk|manti|archery,Elk,Manti,Archery,1.0,1.0,1.0,CP-ELK-MANTI-BULL-ARCHERY,match,elk|manti|archery,Elk
elk|monroe|alw,Elk,Monroe,ALW,2.0,,2.0,CP-ELK-MONROE-BULL-HUNTER-S-CHOICE;CP-ELK-MONROE-BULL-MULTISEASON,active_only,elk|monroe|alw,Elk
elk|monroe|any legal weapon late,Elk,Monroe,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-MONROE-BULL-ANY-LEGAL-WEAPON,match,elk|monroe|any legal weapon late,Elk
elk|monroe|archery,Elk,Monroe,Archery,1.0,1.0,1.0,CP-ELK-MONROE-BULL-ARCHERY,match,elk|monroe|archery,Elk
elk|mt dutton|archery,Elk,Mt Dutton,Archery,1.0,1.0,1.0,CP-ELK-MT-DUTTON-BULL-ARCHERY,match,elk|mt dutton|archery,Elk
