path,size_bytes,file_type,page_dependency,is_large,is_blocking_likely,should_lazy_load,should_cloudflare_r2,should_compress,should_split,should_not_publish,recommendation
data/boundaries/kmz/EB1003.kmz,1369045,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1004.kmz,1369045,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1005.kmz,2630255,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1007.kmz,1315769,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1009.kmz,1369045,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1010.kmz,1342552,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1011.kmz,2704507,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1012.kmz,139074,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB3128.kmz,11117,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EX1000.kmz,167558,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/GO1000.kmz,555880,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/MB1000.kmz,747082,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/PB1000.kmz,2059687,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/RS0001.kmz,550267,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/TK1001.kmz,90013,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/TK1019.kmz,6600,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/TK1020.kmz,145348,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/TK1022.kmz,24185,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/conservation-permit-areas.json,22437,JSON,index.html,false,false,false,false,false,false,false,OK for current audit threshold.
data/conservation-permit-hunt-table-2025-27-audit.json,932,JSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/conservation-permit-hunt-table-2025-27-summary.json,395,JSON,,false,false,false,false,false,false,false,OK for current audit threshold.
