folder,title,type,year,href
"HARVEST DATA","22 black bear report","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/22_black_bear_report.pdf"
"HARVEST DATA","Antlerless big game","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/e8ee2db2__Antlerless big game.pdf"
"HARVEST DATA","bear 2021","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/62474ddf__bear_2021.pdf"
"HARVEST DATA","cougar 2021","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/8817544e__cougar_2021.pdf"
"HARVEST DATA","General season buck deer","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/5a118f11__General-season buck deer.pdf"
"HARVEST DATA","Limited entry and once in a lifetime species","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/5a24be8c__Limited-entry and once-in-a-lifetime species.pdf"
"HARVEST DATA","mixed 2021 22","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/a62a6cbd__mixed_2021-22.pdf"
"HARVEST DATA","2020","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/bd5fef65__2020.pdf"
"HARVEST DATA","2020 antlerless hr","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/0B112A6A__2020_antlerless_hr.pdf"
"HARVEST DATA","2020 central mtns nebo","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/3D2221CC__2020-central-mtns-nebo.pdf"
"HARVEST DATA","2020 gs buck deer hr","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/8D421406__2020_gs_buck_deer_hr.pdf"
"HARVEST DATA","2020 harvest data","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/4C032162__2020-harvest-data.pdf"
"HARVEST DATA","2020 kaiparowits escalante","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/AD0B9A6E__2020-kaiparowits-escalante.pdf"
"HARVEST DATA","2020 la sal potash","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/8EA9424D__2020-la-sal-potash.pdf"
"HARVEST DATA","2020 le oial all","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/0461C97A__2020_le_oial_all.pdf"
"HARVEST DATA","2020 north slope bare top","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/C939DB7B__2020-north-slope-bare-top.pdf"
"HARVEST DATA","2020 north slope goslin mtn","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/97AF213E__2020-north-slope-goslin-mtn.pdf"
"HARVEST DATA","2020 north slope red canyon","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/71A9E811__2020-north-slope-red-canyon.pdf"
"HARVEST DATA","2020 north slope sheep creek","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/F30B053D__2020-north-slope-sheep-creek.pdf"
"HARVEST DATA","2020 san juan lockhart","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/EC6B4470__2020-san-juan-lockhart.pdf"
"HARVEST DATA","2020 san juan north","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/ABA2F9C3__2020-san-juan-north.pdf"
"HARVEST DATA","2020 san juan river","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/DED44DA9__2020-san-juan-river.pdf"
"HARVEST DATA","2020 san juan south","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/D4C661D9__2020-san-juan-south.pdf"
"HARVEST DATA","2020 wasatch mtns west","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/AEF83DEF__2020-wasatch-mtns-west.pdf"
"HARVEST DATA","Antlerless big game","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/4275246d__Antlerless big game.pdf"
"HARVEST DATA","bear 2020","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/a34306f2__bear_2020.pdf"
"HARVEST DATA","cougar 2020","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/a7d1d7ba__cougar_2020.pdf"
"HARVEST DATA","General season buck deer","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/e38eeb18__General-season buck deer.pdf"
"HARVEST DATA","Limited entry and once in a lifetime species","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/0b5ca51c__Limited-entry and once-in-a-lifetime species.pdf"
"HARVEST DATA","mixed 2020 21","pdf","2020","./pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/847a57a8__mixed_2020-21.pdf"
"HARVEST DATA","2019 antlerless hr","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/494E8D81__2019_antlerless_hr.pdf"
"HARVEST DATA","2019 book cliffs rattlesnake","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/4B03444B__2019-book-cliffs-rattlesnake.pdf"
"HARVEST DATA","2019 box elder newfoundland","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/F4D5A08B__2019-box-elder-newfoundland.pdf"
"HARVEST DATA","2019 fillmore oak creek","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/F64065F0__2019-fillmore-oak-creek.pdf"
"HARVEST DATA","2019 gs deer hr","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/E3B82D73__2019_gs_deer_hr.pdf"
"HARVEST DATA","2019 harvest data","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/D0579D88__2019-harvest-data.pdf"
"HARVEST DATA","2019 henry mountains","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/CB027DE6__2019-henry-mountains.pdf"
"HARVEST DATA","2019 le oial all","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/F9A1C29D__2019_le_oial_all.pdf"
"HARVEST DATA","2019 nine mile range creek","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/21F05C54__2019-nine-mile-range-creek.pdf"
"HARVEST DATA","2019 oquirrh stansbury","pdf","2019","./pipeline/RAW/hunt_unit_database/2019/pdf/harvest_report/53131416__2019-oquirrh-stansbury.pdf"
